instrument,block,fold,train_rows_B0,test_rows_B0,train_up_rate_B0,auc_B0,brier_skill_B0,logloss_skill_B0,return_spread_B0,train_rows_B1,test_rows_B1,train_up_rate_B1,auc_B1,brier_skill_B1,logloss_skill_B1,return_spread_B1,delta_auc,delta_brier_skill,delta_logloss_skill,delta_return_spread,train_rows_B2,test_rows_B2,train_up_rate_B2,auc_B2,brier_skill_B2,logloss_skill_B2,return_spread_B2,train_rows_B3,test_rows_B3,train_up_rate_B3,auc_B3,brier_skill_B3,logloss_skill_B3,return_spread_B3
AG,B1,0,5277,1759,0.48019708167519426,0.5153038705590346,0.006386799219352146,0.0045396040580818475,-0.00012395015567759598,5277.0,1759.0,0.48019708167519426,0.5098568402031343,0.003924939165785513,0.0027953252998271783,-0.00013932546012864047,-0.005447030355900329,-0.0024618600535666335,-0.0017442787582546693,-1.5375304451044488e-05,,,,,,,,,,,,,,
AG,B1,1,7036,1759,0.49303581580443434,0.4965954830777195,-0.012203920194551632,-0.009140669245351729,-0.0006269070901591929,7036.0,1759.0,0.49303581580443434,0.49920015530964856,-0.007559578781069609,-0.0056425597666467375,-0.0005175150741455067,0.0026046722319290616,0.004644341413482023,0.0034981094787049916,0.0001093920160136863,,,,,,,,,,,,,,
AG,B1,2,8795,1759,0.49789653212052304,0.5156435856062722,-0.0024129849982112983,-0.0018531167988602437,-0.00042056422612785587,8795.0,1759.0,0.49789653212052304,0.5237430312057177,-0.00030737377421519163,-0.00023045406680854974,-0.0003255481755405505,0.008099445599445532,0.0021056112239961067,0.001622662732051694,9.501605058730535e-05,,,,,,,,,,,,,,
AG,B1,3,10554,1759,0.4989577411407997,0.530150165456253,5.740647581531366e-05,5.12551851363785e-05,8.530344937195109e-05,10554.0,1759.0,0.4989577411407997,0.5352386890793699,0.0008980604391930491,0.0006508314424952255,6.747633975006536e-05,0.005088523623116847,0.0008406539633777355,0.000599576257358847,-1.7827109621885724e-05,,,,,,,,,,,,,,
AG,B1,4,12313,1759,0.497279298302607,0.5202033337732817,0.001597968500336,0.0011434974361547168,-0.00010696133907883205,12313.0,1759.0,0.497279298302607,0.5230371187006514,0.0022451229415778595,0.001615548858347804,-0.0002564434519657377,0.0028337849273697424,0.0006471544412418595,0.00047205142219308716,-0.00014948211288690565,,,,,,,,,,,,,,
AG,B1,5,14072,1759,0.49950255827174533,0.5351402029129839,0.0012395040136146118,0.0008906409298585771,8.167814681253998e-05,14072.0,1759.0,0.49950255827174533,0.5379268849329848,0.0014489866220808167,0.0010507483564563547,4.601532069057537e-05,0.0027866820200008746,0.00020948260846620492,0.00016010742659777755,-3.5662826121964604e-05,,,,,,,,,,,,,,
AG,B1,6,15831,1759,0.4964942202008717,0.5167943414336311,-0.0013412848257268184,-0.0009854956634696155,-9.139456697039709e-05,15831.0,1759.0,0.4964942202008717,0.5188135948402319,-0.0008364529175326485,-0.0006254552726776552,-0.00021915101467827704,0.002019253406600807,0.0005048319081941699,0.00036004039079196026,-0.00012775644770787997,,,,,,,,,,,,,,
AG,B2,0,5277,1759,0.48019708167519426,0.5153038705590346,0.006386799219352146,0.0045396040580818475,-0.00012395015567759598,,,,,,,,0.011073854254291748,0.0027167752063450568,0.001997986822380393,-3.7884458056646397e-06,5277.0,1759.0,0.48019708167519426,0.5263777248133263,0.009103574425697203,0.006537590880462241,-0.00012773860148326062,,,,,,,
AG,B2,1,7036,1759,0.49303581580443434,0.4965954830777195,-0.012203920194551632,-0.009140669245351729,-0.0006269070901591929,,,,,,,,0.012086973403222734,0.006671006880555996,0.004963197506678618,0.0004299697655733266,7036.0,1759.0,0.49303581580443434,0.5086824564809422,-0.0055329133139956355,-0.004177471738673111,-0.00019693732458586632,,,,,,,
AG,B2,2,8795,1759,0.49789653212052304,0.5156435856062722,-0.0024129849982112983,-0.0018531167988602437,-0.00042056422612785587,,,,,,,,0.0090607254786359,0.002571093039065442,0.0018948366149528217,1.0167861375476317e-05,8795.0,1759.0,0.49789653212052304,0.5247043110849081,0.00015810804085414354,4.171981609257802e-05,-0.00041039636475237955,,,,,,,
AG,B2,3,10554,1759,0.4989577411407997,0.530150165456253,5.740647581531366e-05,5.12551851363785e-05,8.530344937195109e-05,,,,,,,,0.004738594643822758,0.001525364797719142,0.0010955385034064902,0.00012744049388517797,10554.0,1759.0,0.4989577411407997,0.5348887601000758,0.0015827712735344557,0.0011467936885428687,0.00021274394325712905,,,,,,,
AG,B2,4,12313,1759,0.497279298302607,0.5202033337732817,0.001597968500336,0.0011434974361547168,-0.00010696133907883205,,,,,,,,-0.005100165886405272,-0.001523355632881418,-0.0011016406609516416,-0.00019526849365800436,12313.0,1759.0,0.497279298302607,0.5151031678868764,7.461286745458207e-05,4.185677520307518e-05,-0.0003022298327368364,,,,,,,
AG,B2,5,14072,1759,0.49950255827174533,0.5351402029129839,0.0012395040136146118,0.0008906409298585771,8.167814681253998e-05,,,,,,,,-0.004843950993817181,-0.0008658142891135867,-0.0006304918145754179,-4.876072447076127e-05,14072.0,1759.0,0.49950255827174533,0.5302962519191667,0.0003736897245010251,0.0002601491152831592,3.291742234177871e-05,,,,,,,
AG,B2,6,15831,1759,0.4964942202008717,0.5167943414336311,-0.0013412848257268184,-0.0009854956634696155,-9.139456697039709e-05,,,,,,,,0.005127687702604411,0.0005029397371603128,0.0003589665923928731,-0.00017184716732999674,15831.0,1759.0,0.4964942202008717,0.5219220291362355,-0.0008383450885665056,-0.0006265290710767424,-0.0002632417343003938,,,,,,,
AG,B3,0,5277,1759,0.48019708167519426,0.5153038705590346,0.006386799219352146,0.0045396040580818475,-0.00012395015567759598,,,,,,,,0.0020484780509081313,0.0005053117966324905,0.0004336622981644389,7.574928457846047e-05,,,,,,,,5277.0,1759.0,0.48019708167519426,0.5173523486099427,0.006892111015984637,0.0049732663562462864,-4.820087109913551e-05
AG,B3,1,7036,1759,0.49303581580443434,0.4965954830777195,-0.012203920194551632,-0.009140669245351729,-0.0006269070901591929,,,,,,,,-0.0002264932375590223,0.00567106780911808,0.004255119354104275,-0.00017518441843062857,,,,,,,,7036.0,1759.0,0.49303581580443434,0.4963689898401605,-0.006532852385433552,-0.004885549891247454,-0.0008020915085898215
AG,B3,2,8795,1759,0.49789653212052304,0.5156435856062722,-0.0024129849982112983,-0.0018531167988602437,-0.00042056422612785587,,,,,,,,0.012473366018142085,0.002601163795278305,0.001956891759654189,0.0001223056447059142,,,,,,,,8795.0,1759.0,0.49789653212052304,0.5281169516244143,0.0001881787970670068,0.00010377496079394533,-0.00029825858142194166
AG,B3,3,10554,1759,0.4989577411407997,0.530150165456253,5.740647581531366e-05,5.12551851363785e-05,8.530344937195109e-05,,,,,,,,0.012361354386854595,0.0028567329045290357,0.0020501313816085887,5.220137711927831e-05,,,,,,,,10554.0,1759.0,0.4989577411407997,0.5425115198431076,0.0029141393803443494,0.002101386566744967,0.0001375048264912294
AG,B3,4,12313,1759,0.497279298302607,0.5202033337732817,0.001597968500336,0.0011434974361547168,-0.00010696133907883205,,,,,,,,0.0010934010336197675,2.869396939608748e-06,5.277906617306982e-06,-0.00016181796384805034,,,,,,,,12313.0,1759.0,0.497279298302607,0.5212967348069014,0.0016008378972756088,0.0011487753427720238,-0.0002687793029268824
AG,B3,5,14072,1759,0.49950255827174533,0.5351402029129839,0.0012395040136146118,0.0008906409298585771,8.167814681253998e-05,,,,,,,,-0.0003566019336902482,6.155999765045106e-05,4.952551453729637e-05,0.0001141026581496165,,,,,,,,14072.0,1759.0,0.49950255827174533,0.5347836009792937,0.0013010640112650629,0.0009401664443958735,0.00019578080496215647
AG,B3,6,15831,1759,0.4964942202008717,0.5167943414336311,-0.0013412848257268184,-0.0009854956634696155,-9.139456697039709e-05,,,,,,,,0.008148806428495692,0.0007336412775094114,0.0005241564081814865,-0.00010132457455478619,,,,,,,,15831.0,1759.0,0.4964942202008717,0.5249431478621268,-0.000607643548217407,-0.000461339255288129,-0.00019271914152518328
CU,B1,0,3777,1259,0.4583002382843527,0.5448911438741253,0.004702419891961962,0.0032498816929789065,4.090064665718439e-05,3777.0,1259.0,0.4583002382843527,0.5408374792703151,0.004062063962000484,0.002792219604082935,3.909424033662328e-05,-0.004053664603810181,-0.0006403559299614781,-0.0004576620888959715,-1.8064063205611096e-06,,,,,,,,,,,,,,
CU,B1,1,5036,1259,0.46326449563145355,0.5102105539803597,0.005931124622579054,0.004313662353084724,8.122515109684362e-05,5036.0,1259.0,0.46326449563145355,0.5059461535740098,0.0042692571206436325,0.0030833802260443743,-7.240215504971785e-05,-0.0042644004063499,-0.0016618675019354212,-0.0012302821270403497,-0.00015362730614656148,,,,,,,,,,,,,,
CU,B1,2,6295,1259,0.4743447180301827,0.5141561693731977,-0.002968400957144901,-0.0021228858050603705,3.0633409490219e-05,6295.0,1259.0,0.4743447180301827,0.5257664288966459,-2.333060568093792e-05,-5.3581086334464345e-06,0.000147877948153323,0.011610259523448185,0.002945070351463963,0.002117527696426924,0.00011724453866310401,,,,,,,,,,,,,,
CU,B1,3,7554,1259,0.4745830023828435,0.512787704383272,-0.0016460292689541856,-0.001228090449804542,-4.092248781821936e-05,7554.0,1259.0,0.4745830023828435,0.5192106367806442,0.0004777662008964567,0.00032746212302681155,7.859207213355477e-05,0.0064229323973721275,0.0021237954698506423,0.0015555525728313535,0.00011951455995177412,,,,,,,,,,,,,,
CU,B1,4,8813,1259,0.4749801429706116,0.5428853076453156,0.00625633447553986,0.004551505987903215,0.00014453322162903394,8813.0,1259.0,0.4749801429706116,0.5409276565237366,0.004223954184457868,0.003038959745144898,0.00017137097173617878,-0.001957651121578974,-0.002032380291081992,-0.001512546242758317,2.6837750107144842e-05,,,,,,,,,,,,,,
CU,B1,5,10072,1259,0.477065131056394,0.5344241037376048,0.004461365088284319,0.003257292829126013,2.3333838724020952e-05,10072.0,1259.0,0.477065131056394,0.5307576913297737,0.0037847384680032015,0.002750786659283855,2.831909434263311e-05,-0.0036664124078311655,-0.0006766266202811178,-0.000506506169842158,4.985255618612158e-06,,,,,,,,,,,,,,
CU,B1,6,11331,1259,0.4747153825787662,0.5515851815670172,0.006934970615383396,0.0050542715556496365,9.503128785578975e-05,11331.0,1259.0,0.4747153825787662,0.5402833534311258,0.005578538912744513,0.00408600169009421,6.46681816998823e-05,-0.011301828135891423,-0.0013564317026388828,-0.0009682698655554267,-3.036310615590745e-05,,,,,,,,,,,,,,
CU,B2,0,3777,1259,0.4583002382843527,0.5448911438741253,0.004702419891961962,0.0032498816929789065,4.090064665718439e-05,,,,,,,,0.004119392873033201,0.0017127268402674645,0.0013047488674348129,1.0575382154875967e-05,3777.0,1259.0,0.4583002382843527,0.5490105367471585,0.0064151467322294264,0.004554630560413719,5.1476028812060356e-05,,,,,,,
CU,B2,1,5036,1259,0.46326449563145355,0.5102105539803597,0.005931124622579054,0.004313662353084724,8.122515109684362e-05,,,,,,,,0.0026483505930990914,-0.0046510263831287535,-0.0035052779082683783,-8.480411473457032e-06,5036.0,1259.0,0.46326449563145355,0.5128589045734588,0.0012800982394503002,0.0008083844448163457,7.274473962338659e-05,,,,,,,
CU,B2,2,6295,1259,0.4743447180301827,0.5141561693731977,-0.002968400957144901,-0.0021228858050603705,3.0633409490219e-05,,,,,,,,-0.0015594172105023452,-0.000444600080767632,-0.0003087345497778671,-8.84287657241809e-05,6295.0,1259.0,0.4743447180301827,0.5125967521626954,-0.003413001037912533,-0.0024316203548382376,-5.7795356233961896e-05,,,,,,,
CU,B2,3,7554,1259,0.4745830023828435,0.512787704383272,-0.0016460292689541856,-0.001228090449804542,-4.092248781821936e-05,,,,,,,,0.0119405853466108,0.002894501256588966,0.0021129956345413703,7.175042775028147e-05,7554.0,1259.0,0.4745830023828435,0.5247282897298828,0.0012484719876347805,0.0008849051847368283,3.08279399320621e-05,,,,,,,
CU,B2,4,8813,1259,0.4749801429706116,0.5428853076453156,0.00625633447553986,0.004551505987903215,0.00014453322162903394,,,,,,,,0.005176226466534262,0.0003314810949337499,0.0002334235941527929,1.3103907700995706e-05,8813.0,1259.0,0.4749801429706116,0.5480615341118499,0.00658781557047361,0.004784929582056008,0.00015763712933002965,,,,,,,
