block,metric,instrument_fold_pairs,positive_pairs,positive_share,median_delta
B1,auc,56,31,0.5535714285714286,0.002587424385710191
B1,brier_skill,56,32,0.5714285714285714,0.0006878186022151733
B1,logloss_skill,56,32,0.5714285714285714,0.0004922439416361057
B1,return_spread,56,27,0.48214285714285715,-1.1521385555194562e-06
B2,auc,56,36,0.6428571428571429,0.002348804797577153
B2,brier_skill,56,28,0.5,-3.105016504478808e-05
B2,logloss_skill,56,27,0.48214285714285715,-9.283700999340727e-05
B2,return_spread,56,35,0.625,1.0175510266023164e-05
B3,auc,56,32,0.5714285714285714,0.0010610276380183525
B3,brier_skill,56,35,0.625,0.00036745946054461687
B3,logloss_skill,56,35,0.625,0.00024990118167134145
B3,return_spread,56,32,0.5714285714285714,1.818339833709724e-05
