wf,target,model,n_train,n_test,r2,mae,spearman
WF1,delta_E_R_lower,W0,464766,543295,0.0007305485263198186,0.9145339913441023,0.14017404821685991
WF1,delta_E_R_lower,W1,464766,543295,0.0016155195616697204,0.9221589486075453,0.11402828898334777
WF1,delta_E_R_lower,W2,464766,543295,0.0012946139358921416,0.9194607326790752,0.11945761807284162
WF1,delta_E_R_lower,W3,464766,543295,2.6443596778724654e-05,0.9145839974420441,0.09691354324590216
WF1,delta_E_R_lower,W4,464766,543295,0.0007274858294362696,0.9211697414836871,0.1219135193383201
WF1,delta_E_R_lower,W5,464766,543295,0.0012973019775666117,0.9247936315899784,0.1104342012649839
WF1,delta_E_R_upper,W0,464766,543295,0.00597054940013908,3.9378177456368997,-0.03121571267751239
WF1,delta_E_R_upper,W1,464766,543295,0.005114504874135228,5.625371238153735,-0.03588935255115435
WF1,delta_E_R_upper,W2,464766,543295,0.005849174700685911,4.247604116260577,-0.031679453171621484
WF1,delta_E_R_upper,W3,464766,543295,0.005403394828868202,5.107524760814638,-0.027054398061973163
WF1,delta_E_R_upper,W4,464766,543295,0.0058599930845379955,4.3551796335259185,-0.022182248810624274
WF1,delta_E_R_upper,W5,464766,543295,0.005654120143236296,4.749970956945951,-0.024061200193975524
WF1,delta_RR,W0,511706,598325,0.3446579154050031,20.439407358924253,0.28366090493521856
WF1,delta_RR,W1,511706,598325,0.3446671640106461,20.84372595054279,0.22765829039297872
WF1,delta_RR,W2,511706,598325,0.3446649053208415,20.647154426799965,0.2422325944645372
WF1,delta_RR,W3,511706,598325,0.3446038988953525,21.29830888581444,0.18640282489571247
WF1,delta_RR,W4,511706,598325,0.34464118233049834,20.67686272811346,0.23670797615917114
WF1,delta_RR,W5,511706,598325,0.34465156330784696,20.8683563499722,0.21343978597854768
WF1,delta_target_distance_atr,W0,511706,598325,0.05778740022356921,1.1012589116407907,0.2720431746557077
WF1,delta_target_distance_atr,W1,511706,598325,0.07135133328536059,1.105505876963609,0.2730027644447827
WF1,delta_target_distance_atr,W2,511706,598325,0.06670411347053662,1.1057807444344658,0.2751629025635268
WF1,delta_target_distance_atr,W3,511706,598325,0.0802459436566364,1.0988491066598471,0.27811454868618457
WF1,delta_target_distance_atr,W4,511706,598325,0.06983116656174149,1.1059609713867007,0.2673937700929891
WF1,delta_target_distance_atr,W5,511706,598325,0.0738146194171605,1.10958685054468,0.2727569962810559
WF1,delta_risk_distance_atr,W0,511706,598325,0.4111167919098687,0.4963428670458939,0.6336371483969611
WF1,delta_risk_distance_atr,W1,511706,598325,0.4349327188901554,0.49671340797190683,0.6050522016755513
WF1,delta_risk_distance_atr,W2,511706,598325,0.4308919341298677,0.49464488184316924,0.6270777196963855
WF1,delta_risk_distance_atr,W3,511706,598325,0.41927666840798417,0.49458353634762664,0.6319670347274635
