wf,k,component,reconstruction_error,n_rows,density_0p5,density_1p0,density_2p0,density_4p0,liq_intensity_up_0p5,liq_intensity_up_1p0,liq_intensity_up_2p0,liq_intensity_up_4p0,liq_intensity_dn_0p5,liq_intensity_dn_1p0,liq_intensity_dn_2p0,liq_intensity_dn_4p0
WF1,2,1,16.81963206670553,138090,0.3356124817257501,0.6222175699505398,0.98850967497042,1.3784752864540162,0.6837306765027773,1.6165995476542887,3.5235966759110524,6.689124378791183,0.0,0.0,0.0,0.6663661094437872
WF1,2,2,16.81963206670553,138090,0.30165003003069224,0.5944272549123026,1.0238317973987912,1.4922111874820119,0.0,0.0,0.0,0.6045114161087723,0.5212204124744093,1.2405769429362226,2.8283589439433316,5.7360360583442365
WF1,3,1,13.045423619011832,138090,0.0,0.32372046997627063,1.030172445471137,1.845701508132706,0.0,0.1358407706665492,1.9263792573975804,6.373793140192198,0.0,0.0,0.0,0.2999522211346723
WF1,3,2,13.045423619011832,138090,0.3344383726784974,0.6138431638434143,0.9720006210220508,1.35257483468494,0.0,0.0,0.0,0.17292375081598066,0.5365707079565996,1.2771825229948781,2.913060256732266,5.9227371717467765
WF1,3,3,13.045423619011832,138090,0.4958251773969753,0.5369782022229352,0.30707348333893264,0.0,1.1281612256996774,2.2204435240777656,2.9179417785640713,2.683254170643778,0.0,0.0,0.0,0.6152624131507098
WF1,4,1,8.560855723294932,138090,0.0,0.3428566597100023,0.9972471397275234,1.7370007192414232,0.0,0.14566042316279806,1.971624325101385,6.447869455088532,0.0,0.0,0.0,0.0
WF1,4,2,8.560855723294932,138090,0.0,0.28707220755205953,0.9452083623851691,1.704661221500831,0.0,0.0,0.0,0.0,0.0,0.09489134352282184,1.8021578311494635,6.465725560011545
WF1,4,3,8.560855723294932,138090,0.5273539300102752,0.5510939698084655,0.3070400467632646,0.0,1.1130519035453108,2.1853937314152136,2.8981896932193676,2.7636874191167715,0.0,0.0,0.0384810978171003,0.4302997283108473
WF1,4,4,8.560855723294932,138090,0.9563389517184939,1.0692352984971876,0.6129573734820055,0.0,0.0,0.0,0.0,0.7519825021572507,1.772847068417137,3.5182656006628616,4.041078102163165,1.8523142340089502
WF2,2,1,17.914790254473267,150000,0.3556260473733155,0.6607755428677923,1.059970960884386,1.493728590091508,0.6949845668095196,1.651072150563145,3.6637396869560344,7.1197547155540315,0.0,0.0,0.0,0.9005191662401748
