wf,model,n_train,n_test,roc_auc,log_loss,brier
WF1,M0,637908,745031,0.8241537638611931,0.3906260483824495,0.12228273166422023
WF1,M1,637908,745031,0.8245279001711583,0.38986451564602337,0.12198855673109398
WF1,M2,637908,745031,0.8243352398221591,0.39017329460177885,0.12202928483618901
WF1,M3,637908,745031,0.825013195019243,0.38987221231306163,0.12228526343887988
WF1,M4,637908,745031,0.8254445891816448,0.3896056904200014,0.12217420843587694
WF1,M5,637908,745031,0.8260455103429667,0.3887740006240649,0.12182986086064519
WF2,M0,1382939,720027,0.8182332098195197,0.3937315750448077,0.12329002063173616
WF2,M1,1382939,720027,0.81839542649944,0.39344983752561324,0.1231429142697271
WF2,M2,1382939,720027,0.8184741223909537,0.39343319438253194,0.12309035466686813
WF2,M3,1382939,720027,0.819124260846409,0.39298667126988546,0.12319032033262128
WF2,M4,1382939,720027,0.8187979121217674,0.3931588240378141,0.12324470727628477
WF2,M5,1382939,720027,0.8192764023557977,0.39265322786558793,0.12295532242565704
WF3,M0,2102966,703702,0.8224290868448715,0.3882558873479106,0.12170543163523116
WF3,M1,2102966,703702,0.8232531000567098,0.38743854742750705,0.12131991755846687
WF3,M2,2102966,703702,0.8230138927439026,0.38768028779302094,0.12141541091909423
WF3,M3,2102966,703702,0.8235761604477757,0.38705000068036133,0.12148546764347155
WF3,M4,2102966,703702,0.8236700785574038,0.38703051026200413,0.12145471289335438
WF3,M5,2102966,703702,0.824739342032935,0.38600744451664487,0.12098362294083662
