block,wf,component,feature,loading
liquidity,WF1,1,density_0p5,-0.2991110680073227
liquidity,WF1,1,density_1p0,-0.33328930465856565
liquidity,WF1,1,density_2p0,-0.3343828952038598
liquidity,WF1,1,density_4p0,-0.3079704509541738
liquidity,WF1,1,imbalance_0p5,-0.33571262557222914
liquidity,WF1,1,imbalance_1p0,-0.34886630337765445
liquidity,WF1,1,imbalance_2p0,-0.3438943037968951
liquidity,WF1,1,imbalance_4p0,-0.30266872049140453
liquidity,WF1,1,room_up_atr,0.3576581568205572
liquidity,WF1,1,room_down_atr,0.09778706869220437
liquidity,WF1,1,depletion_share,-0.10501956978277467
liquidity,WF1,2,density_0p5,-0.3210134828860822
liquidity,WF1,2,density_1p0,-0.3596720758401102
liquidity,WF1,2,density_2p0,-0.36235632501626047
liquidity,WF1,2,density_4p0,-0.32997618835543563
liquidity,WF1,2,imbalance_0p5,0.3412501471785158
liquidity,WF1,2,imbalance_1p0,0.3569972089801695
liquidity,WF1,2,imbalance_2p0,0.36370768324091524
liquidity,WF1,2,imbalance_4p0,0.3457008685123165
liquidity,WF1,2,room_up_atr,0.014665038857294825
liquidity,WF1,2,room_down_atr,0.09070675517204038
liquidity,WF1,2,depletion_share,-0.15253239721180892
liquidity,WF1,3,density_0p5,0.11068249610079595
liquidity,WF1,3,density_1p0,0.10914305690029652
liquidity,WF1,3,density_2p0,0.09118154370927622
liquidity,WF1,3,density_4p0,0.07260611112310154
liquidity,WF1,3,imbalance_0p5,0.0165869667215685
liquidity,WF1,3,imbalance_1p0,0.00981155073215334
liquidity,WF1,3,imbalance_2p0,-0.011282087327460574
liquidity,WF1,3,imbalance_4p0,-0.05801454091077796
liquidity,WF1,3,room_up_atr,-0.06256564692358478
liquidity,WF1,3,room_down_atr,0.8651740119449571
liquidity,WF1,3,depletion_share,-0.45381335297397946
liquidity,WF1,4,density_0p5,0.22209623287056632
liquidity,WF1,4,density_1p0,0.08835811081713478
liquidity,WF1,4,density_2p0,-0.1126305125293148
liquidity,WF1,4,density_4p0,-0.2729111671820204
liquidity,WF1,4,imbalance_0p5,0.030556134045520197
liquidity,WF1,4,imbalance_1p0,0.034363128031508795
liquidity,WF1,4,imbalance_2p0,0.03898358800219728
liquidity,WF1,4,imbalance_4p0,0.04409298194729851
liquidity,WF1,4,room_up_atr,0.1814007169241854
liquidity,WF1,4,room_down_atr,0.42838011929357844
liquidity,WF1,4,depletion_share,0.7960564114930709
liquidity,WF1,5,density_0p5,0.3481928393760217
