wf,block,d_W1_W0_r2,d_W2_W0_r2,d_W1_W2_r2,d_W3_W0_r2,d_W4_W0_r2,d_W3_W4_r2,d_W5_W0_r2,d_W1_W0_spearman,d_W1_W2_spearman,d_W3_W0_spearman,d_W3_W4_spearman
WF1,wait,0.0008849710353499018,0.000564065409572323,0.00032090562577757886,-0.0007041049295410939,-3.0626968835489876e-06,-0.000701042232657545,0.0005667534512467931,-0.026145759233512145,-0.005429329089493853,-0.04326050497095775,-0.02499997609241794
WF2,wait,0.0011335721256334752,0.0008164294100735381,0.0003171427155599371,-1.8615757083617623e-05,-0.00010520913379952201,8.659337671590439e-05,0.0007026202947774118,-0.004366329289251555,-0.0016523178409161704,-0.0165627117132133,-0.006476525919549683
WF3,wait,0.001162071353062788,0.0006947298291742898,0.00046734152388849814,-0.00012948295514325636,-5.8446995754413145e-05,-7.103595938884322e-05,0.0006499046577331802,-0.0033802045013180404,0.0037134827945928817,-0.014272117954277394,-0.007769947930044166
