wf,test_block,n_test_rows,n_test_evaluable,n_train_evaluable,evaluable_coverage_overall
WF1,TB2,745031,745031,637908,0.6034287925696594
WF2,TB3,720027,720027,1382939,0.6034287925696594
WF3,TB4,703702,703702,2102966,0.6034287925696594
