block,wf,component,feature,loading
reaction,WF1,1,path_efficiency,-0.12542667770812166
reaction,WF1,1,total_variation_atr,0.34903258735580933
reaction,WF1,1,amplitude_atr,0.31219787448635067
reaction,WF1,1,cross_count,0.23151545390414557
reaction,WF1,1,boundary_occupancy,0.05946216263616657
reaction,WF1,1,boundary_touch_bars,0.2693006054032216
reaction,WF1,1,dc_pivots_0p20,0.35188848500292413
reaction,WF1,1,dc_pivots_0p40,0.3904214842072894
reaction,WF1,1,dc_pivots_0p80,0.3904283260732574
reaction,WF1,1,dc_pivots_1p20,0.3616820465947618
reaction,WF1,1,outward_mfe_atr,0.06358193972560724
reaction,WF1,1,inward_mae_atr,-0.2679060161694333
reaction,WF1,2,path_efficiency,-0.1673594675422162
reaction,WF1,2,total_variation_atr,0.43351997094627526
reaction,WF1,2,amplitude_atr,0.43235483732611724
reaction,WF1,2,cross_count,0.2644525724597514
reaction,WF1,2,boundary_occupancy,-0.07923496431651295
reaction,WF1,2,boundary_touch_bars,0.14892694007200225
reaction,WF1,2,dc_pivots_0p20,-0.3021042641588315
reaction,WF1,2,dc_pivots_0p40,-0.3006450572403164
reaction,WF1,2,dc_pivots_0p80,-0.2652814972332551
reaction,WF1,2,dc_pivots_1p20,-0.21911317185994428
reaction,WF1,2,outward_mfe_atr,0.435784734300261
reaction,WF1,2,inward_mae_atr,0.09370344472553696
reaction,WF1,3,path_efficiency,-0.26963984848917055
reaction,WF1,3,total_variation_atr,-0.10176958867699629
reaction,WF1,3,amplitude_atr,-0.2180680031136002
reaction,WF1,3,cross_count,0.42498046102259035
reaction,WF1,3,boundary_occupancy,0.30709396654259186
reaction,WF1,3,boundary_touch_bars,0.5018754884381278
reaction,WF1,3,dc_pivots_0p20,-0.054446505273305024
reaction,WF1,3,dc_pivots_0p40,-0.11471823142132581
reaction,WF1,3,dc_pivots_0p80,-0.1856987643612611
reaction,WF1,3,dc_pivots_1p20,-0.20924432331454274
reaction,WF1,3,outward_mfe_atr,-0.4476653159855133
reaction,WF1,3,inward_mae_atr,-0.2186170141925644
reaction,WF1,4,path_efficiency,-0.03040881545043306
reaction,WF1,4,total_variation_atr,-0.19525277645205216
reaction,WF1,4,amplitude_atr,-0.2187930832499873
reaction,WF1,4,cross_count,0.15676303497011584
reaction,WF1,4,boundary_occupancy,0.39855595349010453
reaction,WF1,4,boundary_touch_bars,0.25126279711726685
reaction,WF1,4,dc_pivots_0p20,0.10039630817271199
reaction,WF1,4,dc_pivots_0p40,0.11669092213312379
reaction,WF1,4,dc_pivots_0p80,0.11118463375509818
reaction,WF1,4,dc_pivots_1p20,0.09528269887576886
reaction,WF1,4,outward_mfe_atr,0.4123322535006507
reaction,WF1,4,inward_mae_atr,0.6718421397722609
reaction,WF1,5,path_efficiency,0.7031536239837057
reaction,WF1,5,total_variation_atr,0.035329657048148784
reaction,WF1,5,amplitude_atr,0.23713615000438362
reaction,WF1,5,cross_count,-0.09789197028956205
reaction,WF1,5,boundary_occupancy,0.5980508713644337
reaction,WF1,5,boundary_touch_bars,0.08318500973253165
reaction,WF1,5,dc_pivots_0p20,-0.12395057576345508
reaction,WF1,5,dc_pivots_0p40,-0.10634019355494305
reaction,WF1,5,dc_pivots_0p80,-0.03579722971629138
reaction,WF1,5,dc_pivots_1p20,0.021239115732375427
reaction,WF1,5,outward_mfe_atr,0.01470387238467493
reaction,WF1,5,inward_mae_atr,-0.21284991611098436
reaction,WF1,6,path_efficiency,0.5727050398020951
reaction,WF1,6,total_variation_atr,-0.1646443519046087
reaction,WF1,6,amplitude_atr,-0.07439976594172258
reaction,WF1,6,cross_count,0.5015321896718842
reaction,WF1,6,boundary_occupancy,-0.5643890984935239
reaction,WF1,6,boundary_touch_bars,0.23142617804113308
reaction,WF1,6,dc_pivots_0p20,-0.03934208865724499
reaction,WF1,6,dc_pivots_0p40,-0.005774528093425968
reaction,WF1,6,dc_pivots_0p80,0.05027282912736133
reaction,WF1,6,dc_pivots_1p20,0.07209554549447518
reaction,WF1,6,outward_mfe_atr,-0.01002570182468886
reaction,WF1,6,inward_mae_atr,0.07957007666558326
reaction,WF1,7,path_efficiency,-0.1569526670386123
reaction,WF1,7,total_variation_atr,-0.03972497363137778
reaction,WF1,7,amplitude_atr,-0.08195957268796629
reaction,WF1,7,cross_count,0.011548653619438022
reaction,WF1,7,boundary_occupancy,0.029467562672819147
reaction,WF1,7,boundary_touch_bars,0.009774904730645486
reaction,WF1,7,dc_pivots_0p20,-0.6004961855774462
reaction,WF1,7,dc_pivots_0p40,-0.33232885741839463
reaction,WF1,7,dc_pivots_0p80,0.3361665447308732
reaction,WF1,7,dc_pivots_1p20,0.6133946073505643
reaction,WF1,7,outward_mfe_atr,-0.0726986635155869
reaction,WF1,7,inward_mae_atr,-0.01972393584933982
reaction,WF1,8,path_efficiency,0.021601463754228493
reaction,WF1,8,total_variation_atr,-0.009913130797237671
reaction,WF1,8,amplitude_atr,0.00311489701635075
reaction,WF1,8,cross_count,-0.636373592288418
reaction,WF1,8,boundary_occupancy,-0.24442880341283668
reaction,WF1,8,boundary_touch_bars,0.7269988063775448
reaction,WF1,8,dc_pivots_0p20,-0.013364687777259588
reaction,WF1,8,dc_pivots_0p40,-0.03961094852714193
reaction,WF1,8,dc_pivots_0p80,-0.03891774354107856
reaction,WF1,8,dc_pivots_1p20,0.010564735565694225
reaction,WF1,8,outward_mfe_atr,0.052946849519322055
reaction,WF1,8,inward_mae_atr,0.0020335307348575667
reaction,WF2,1,path_efficiency,-0.12195252229627208
reaction,WF2,1,total_variation_atr,0.36664010952656345
reaction,WF2,1,amplitude_atr,0.33591536437101516
reaction,WF2,1,cross_count,0.23881003315907912
reaction,WF2,1,boundary_occupancy,0.05514766514523246
reaction,WF2,1,boundary_touch_bars,0.26463566252545623
reaction,WF2,1,dc_pivots_0p20,0.33443466254730586
reaction,WF2,1,dc_pivots_0p40,0.3770976342774452
reaction,WF2,1,dc_pivots_0p80,0.3811033142314775
reaction,WF2,1,dc_pivots_1p20,0.35718732568013
reaction,WF2,1,outward_mfe_atr,0.09164764977618645
reaction,WF2,1,inward_mae_atr,-0.2692377515091496
reaction,WF2,2,path_efficiency,-0.1828427938891951
reaction,WF2,2,total_variation_atr,0.4137368753541119
reaction,WF2,2,amplitude_atr,0.4041775705381931
reaction,WF2,2,cross_count,0.27995019830538526
reaction,WF2,2,boundary_occupancy,-0.08535243473388283
reaction,WF2,2,boundary_touch_bars,0.1648885816817537
reaction,WF2,2,dc_pivots_0p20,-0.32141337022514666
reaction,WF2,2,dc_pivots_0p40,-0.33137626729113706
reaction,WF2,2,dc_pivots_0p80,-0.2989365850544929
reaction,WF2,2,dc_pivots_1p20,-0.2571796188967927
reaction,WF2,2,outward_mfe_atr,0.3851911314562672
reaction,WF2,2,inward_mae_atr,0.04681853327275971
reaction,WF2,3,path_efficiency,-0.24390562415701866
reaction,WF2,3,total_variation_atr,-0.13127975766473327
reaction,WF2,3,amplitude_atr,-0.23935297001301617
reaction,WF2,3,cross_count,0.40480066934578834
reaction,WF2,3,boundary_occupancy,0.3546314345133463
reaction,WF2,3,boundary_touch_bars,0.5137004801010212
reaction,WF2,3,dc_pivots_0p20,-0.014201474478904023
reaction,WF2,3,dc_pivots_0p40,-0.08292887650800115
reaction,WF2,3,dc_pivots_0p80,-0.15404413360343389
reaction,WF2,3,dc_pivots_1p20,-0.18418525775214722
reaction,WF2,3,outward_mfe_atr,-0.46249863917880174
reaction,WF2,3,inward_mae_atr,-0.18393730460362367
reaction,WF2,4,path_efficiency,-0.05374545388644807
reaction,WF2,4,total_variation_atr,-0.1623514955663655
reaction,WF2,4,amplitude_atr,-0.1992075382421258
reaction,WF2,4,cross_count,0.15385316784767822
reaction,WF2,4,boundary_occupancy,0.3424386051115874
reaction,WF2,4,boundary_touch_bars,0.23011783230383154
reaction,WF2,4,dc_pivots_0p20,0.09999986185315306
reaction,WF2,4,dc_pivots_0p40,0.11788073098785176
reaction,WF2,4,dc_pivots_0p80,0.10644988440389311
