wf,n,mean_delta_target_first,mean_delta_E_R_lower
WF1,598325,-0.06739648184515104,-0.125212844489573
WF2,577549,-0.06239990026820235,-0.09695832208756133
WF3,567740,-0.061713108112868564,-0.10697065640720284
