decile,n,pred,actual,模型
1,892,0.369455,0.602018,Model2_LightGBM
2,889,0.479177,0.584927,Model2_LightGBM
3,889,0.529869,0.582677,Model2_LightGBM
4,889,0.568166,0.605174,Model2_LightGBM
5,892,0.598591,0.593049,Model2_LightGBM
6,888,0.627336,0.599099,Model2_LightGBM
7,889,0.656989,0.572553,Model2_LightGBM
8,889,0.691161,0.586052,Model2_LightGBM
9,889,0.733916,0.607424,Model2_LightGBM
10,892,0.815696,0.568386,Model2_LightGBM
