集合,模型,n,base_rate,AUC,PR_AUC,Brier,Lift@10,Lift@20,Lift@30
ALL_EVENTS,Baseline1_symbol_source_tf,8898,0.5901,0.4945,0.5803,0.241908,0.9492,0.9487,0.979
ALL_EVENTS,Model1_Logistic,8898,0.5901,0.5282,0.6095,0.246815,1.0846,1.0516,1.0565
ALL_EVENTS,Model2_LightGBM,8898,0.5901,0.498,0.5845,0.259637,0.9836,1.0001,0.9974
DEDUP_EVENTS,Baseline1_symbol_source_tf,6202,0.5921,0.5082,0.6,0.241498,1.0216,1.057,1.0307
DEDUP_EVENTS,Model1_Logistic,6202,0.5921,0.5214,0.6096,0.245116,1.0406,1.0393,1.037
DEDUP_EVENTS,Model2_LightGBM,6202,0.5921,0.5068,0.5992,0.253525,1.0161,1.0325,1.017
