n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift,decile_spearman,symbol,模型
2416,0.3506,0.5845,0.4244,0.223866,0.2397,0.5,0.2603,0.5,1.4262,0.1494,0.436,1.2435,0.0854,0.44,1.2551,0.0894,0.1397,AL,NEW12_zero_shot
2558,0.3815,0.5929,0.4537,0.234707,0.2695,0.4766,0.207,0.4766,1.249,0.095,0.5078,1.3309,0.1263,0.4557,1.1944,0.0742,0.1563,AU,NEW12_zero_shot
1754,0.37,0.5767,0.4242,0.231654,0.2614,0.4148,0.1534,0.4148,1.121,0.0448,0.4017,1.0857,0.0317,0.424,1.1458,0.0539,0.1283,CF,NEW12_zero_shot
2137,0.3107,0.5788,0.366,0.212553,0.1776,0.3925,0.215,0.3925,1.2633,0.0818,0.3785,1.2182,0.0678,0.3557,1.1448,0.045,0.1264,I,NEW12_zero_shot
1741,0.39,0.6028,0.4543,0.233381,0.1714,0.4655,0.2941,0.4686,1.2014,0.0786,0.4556,1.1682,0.0656,0.4551,1.1668,0.0651,0.1737,MA,NEW12_zero_shot
2529,0.378,0.5752,0.4135,0.25552,0.1937,0.4308,0.2372,0.4308,1.1397,0.0528,0.4209,1.1136,0.0429,0.4282,1.1327,0.0502,0.1263,NI,NEW12_zero_shot
1998,0.3954,0.6245,0.5183,0.2282,0.2,0.59,0.39,0.59,1.4922,0.1946,0.5575,1.41,0.1621,0.5283,1.3362,0.1329,0.2108,P,NEW12_zero_shot
2106,0.3718,0.5719,0.4392,0.231488,0.2701,0.5024,0.2322,0.5024,1.3512,0.1306,0.4787,1.2875,0.1069,0.4636,1.2469,0.0918,0.1204,RU,NEW12_zero_shot
2643,0.3693,0.5771,0.4143,0.240571,0.2151,0.4075,0.1925,0.4075,1.1036,0.0383,0.4575,1.2388,0.0882,0.4464,1.2089,0.0771,0.1289,SC,NEW12_zero_shot
2379,0.3876,0.5256,0.3987,0.344225,0.3109,0.3824,0.0714,0.3824,0.9866,-0.0052,0.4055,1.0462,0.0179,0.3866,0.9974,-0.001,0.0431,SN,NEW12_zero_shot
1616,0.3465,0.5601,0.4075,0.227932,0.2469,0.4815,0.2346,0.4815,1.3894,0.1349,0.4105,1.1846,0.064,0.3773,1.0888,0.0308,0.0991,TA,NEW12_zero_shot
2633,0.3756,0.6306,0.4934,0.22294,0.2045,0.5606,0.3561,0.5606,1.4925,0.185,0.5256,1.3993,0.15,0.5013,1.3345,0.1256,0.2192,AG,ALL16_refit
2416,0.3506,0.606,0.4479,0.219644,0.1488,0.4835,0.3347,0.4835,1.3791,0.1329,0.4731,1.3496,0.1226,0.4607,1.3141,0.1101,0.1751,AL,ALL16_refit
2558,0.3815,0.6218,0.4881,0.227885,0.2266,0.5312,0.3047,0.5312,1.3924,0.1497,0.5312,1.3924,0.1497,0.5013,1.3139,0.1198,0.2049,AU,ALL16_refit
1754,0.37,0.6037,0.461,0.226552,0.233,0.5398,0.3068,0.5398,1.4588,0.1698,0.4672,1.2628,0.0972,0.4563,1.2331,0.0863,0.1734,CF,ALL16_refit
2391,0.3852,0.5999,0.4726,0.230768,0.2708,0.5272,0.2564,0.5292,1.3738,0.144,0.4969,1.2899,0.1117,0.4847,1.2583,0.0995,0.1683,CU,ALL16_refit
2137,0.3107,0.5866,0.3723,0.210831,0.1589,0.4065,0.2477,0.4065,1.3084,0.0958,0.3879,1.2482,0.0771,0.3651,1.1749,0.0543,0.1388,I,ALL16_refit
1821,0.363,0.6016,0.4428,0.223847,0.2077,0.4396,0.2319,0.4426,1.2194,0.0796,0.4575,1.2605,0.0945,0.4461,1.2289,0.0831,0.1692,M,ALL16_refit
1741,0.39,0.6313,0.4862,0.226917,0.1714,0.5517,0.3803,0.5543,1.4212,0.1643,0.4699,1.2049,0.0799,0.5019,1.2869,0.1119,0.2218,MA,ALL16_refit
2529,0.378,0.6233,0.4883,0.226004,0.17,0.5613,0.3913,0.5613,1.4848,0.1832,0.5257,1.3907,0.1477,0.5007,1.3244,0.1226,0.2071,NI,ALL16_refit
1998,0.3954,0.6705,0.5325,0.225334,0.17,0.6,0.43,0.6,1.5175,0.2046,0.5475,1.3847,0.1521,0.565,1.4289,0.1696,0.2887,P,ALL16_refit
2053,0.3546,0.5759,0.4242,0.226233,0.3058,0.4709,0.165,0.4709,1.3279,0.1163,0.4842,1.3654,0.1296,0.4399,1.2406,0.0853,0.1257,RB,ALL16_refit
2106,0.3718,0.5825,0.4373,0.230773,0.3081,0.455,0.1469,0.455,1.2237,0.0832,0.4763,1.2811,0.1045,0.4525,1.2172,0.0807,0.1381,RU,ALL16_refit
2643,0.3693,0.6115,0.4675,0.22473,0.1849,0.4943,0.3094,0.4943,1.3387,0.1251,0.4972,1.3463,0.1279,0.4792,1.2977,0.1099,0.1864,SC,ALL16_refit
2379,0.3876,0.5812,0.4443,0.24087,0.2605,0.4664,0.2059,0.4664,1.2034,0.0788,0.4664,1.2034,0.0788,0.4762,1.2287,0.0886,0.137,SN,ALL16_refit
1616,0.3465,0.57,0.4066,0.224342,0.2778,0.4321,0.1543,0.4321,1.2469,0.0856,0.3889,1.1222,0.0424,0.3979,1.1483,0.0514,0.1155,TA,ALL16_refit
