模型,coverage,事件数,实际tradable率,precision,recall,lift,base_rate
Baseline1_symbol_source_tf,0.1,889,0.5602,0.5602,0.0948,0.9492,0.5901
Baseline1_symbol_source_tf,0.2,1779,0.5599,0.5599,0.1897,0.9487,0.5901
Baseline1_symbol_source_tf,0.3,2669,0.5777,0.5777,0.2937,0.979,0.5901
Baseline1_symbol_source_tf,0.5,4449,0.5806,0.5806,0.4919,0.9838,0.5901
Model1_Logistic,0.1,889,0.64,0.64,0.1084,1.0846,0.5901
Model1_Logistic,0.2,1779,0.6206,0.6206,0.2102,1.0516,0.5901
Model1_Logistic,0.3,2669,0.6235,0.6235,0.3169,1.0565,0.5901
Model1_Logistic,0.5,4449,0.6085,0.6085,0.5155,1.031,0.5901
Model2_LightGBM,0.1,889,0.5804,0.5804,0.0983,0.9836,0.5901
Model2_LightGBM,0.2,1779,0.5902,0.5902,0.2,1.0001,0.5901
Model2_LightGBM,0.3,2669,0.5886,0.5886,0.2992,0.9974,0.5901
Model2_LightGBM,0.5,4449,0.5873,0.5873,0.4976,0.9952,0.5901
