折,模型,n,base_rate,AUC,PR_AUC,Brier,Lift@10,Lift@20,Lift@30,Lift@50
F1,Baseline1_symbol_source_tf,2053,0.5981,0.4691,0.5829,0.24054,0.9623,0.9949,0.9841,0.963
F1,Model1_Logistic,2053,0.5981,0.5191,0.6127,0.256503,0.9868,1.0031,1.0167,1.0184
F1,Model2_LightGBM,2053,0.5981,0.4705,0.5636,0.27132,0.8155,0.9175,0.9406,0.9712
F2,Baseline1_symbol_source_tf,2165,0.5986,0.5219,0.604,0.240306,0.959,0.9568,1.009,1.0283
F2,Model1_Logistic,2165,0.5986,0.5249,0.61,0.245181,1.1059,1.0108,1.0013,1.0236
F2,Model2_LightGBM,2165,0.5986,0.5197,0.6141,0.253804,0.9745,1.034,1.0167,1.0144
F3,Baseline1_symbol_source_tf,2133,0.5917,0.5244,0.6048,0.241483,1.0554,1.0316,1.0342,1.0322
F3,Model1_Logistic,2133,0.5917,0.5415,0.6404,0.241014,1.1585,1.1109,1.0659,1.0591
F3,Model2_LightGBM,2133,0.5917,0.4836,0.5854,0.259775,1.0395,1.0117,0.9892,0.9783
F4,Baseline1_symbol_source_tf,2547,0.5752,0.4778,0.5573,0.244727,0.9377,0.9222,0.9626,0.9615
F4,Model1_Logistic,2547,0.5752,0.526,0.5952,0.245253,1.0815,1.1101,1.0673,1.0175
F4,Model2_LightGBM,2547,0.5752,0.5072,0.5876,0.255062,1.013,1.0179,1.0263,1.0093
