维度,取值,事件数
总计,ALL,21481
status,RESOLVED,21421
status,AMBIGUOUS_INTRABAR,56
status,END_OF_DATA_CENSORED,4
label,1.0,12613
label,0.0,8808
label,nan,60
symbol×status,AG|RESOLVED,6332
symbol×status,AG|AMBIGUOUS,32
symbol×status,CU|RESOLVED,5623
symbol×status,CU|AMBIGUOUS,9
symbol×status,M|RESOLVED,4630
symbol×status,M|AMBIGUOUS,3
symbol×status,RB|RESOLVED,4836
symbol×status,RB|AMBIGUOUS,12
source_tf×status,15m|RESOLVED,6029
source_tf×status,15m|AMBIGUOUS,13
source_tf×status,1h|RESOLVED,2494
source_tf×status,1h|AMBIGUOUS,5
source_tf×status,5m|RESOLVED,12898
source_tf×status,5m|AMBIGUOUS,38
