模型,decile,事件数,成功事件数,成功中位bars,成功均值bars,失败中位bars
Model1_Logistic,1,890,477,11.0,23.49,13.0
Model1_Logistic,2,890,508,9.0,14.3,12.0
Model1_Logistic,3,890,502,10.0,22.57,12.0
Model1_Logistic,4,889,538,8.0,18.01,13.0
Model1_Logistic,5,890,519,9.0,14.65,12.0
Model1_Logistic,6,890,535,9.0,15.42,12.0
Model1_Logistic,7,889,507,9.0,14.44,11.0
Model1_Logistic,8,890,561,10.0,15.23,12.0
Model1_Logistic,9,890,535,9.0,15.27,12.0
Model1_Logistic,10,890,569,8.0,15.18,12.0
Model2_LightGBM,1,890,536,10.0,17.32,14.0
Model2_LightGBM,2,890,517,10.0,26.53,12.0
Model2_LightGBM,3,890,523,9.0,17.89,12.0
Model2_LightGBM,4,889,518,9.0,15.5,11.0
Model2_LightGBM,5,890,544,9.0,14.51,12.0
Model2_LightGBM,6,890,529,9.0,14.5,12.0
Model2_LightGBM,7,889,512,9.0,15.44,13.0
Model2_LightGBM,8,890,521,8.0,13.55,12.0
Model2_LightGBM,9,890,535,10.0,15.59,12.0
Model2_LightGBM,10,890,516,10.0,16.99,14.0
