维度,取值,事件数,p25,p50,p75,p90,p95,p99,max,mean_bars,median_hours
全部,ALL,21421,5.0,10.0,19.0,35.0,51.0,103.0,791.0,16.77283973670697,0.833
source_tf,15m,6029,5.0,10.0,20.0,37.0,53.0,103.0,791.0,17.21147785702438,0.833
source_tf,1h,2494,5.0,11.0,21.0,39.0,62.0,129.07000000000016,662.0,19.29149959903769,0.917
source_tf,5m,12898,5.0,10.0,19.0,33.0,48.0,93.0,791.0,16.080787719026205,0.833
symbol,AG,6332,5.0,10.0,19.0,41.0,66.0,111.0,507.0,17.775584333543904,0.833
symbol,CU,5623,6.0,10.0,19.0,37.0,53.0,107.0,292.0,16.79494931531211,0.833
symbol,M,4630,5.0,10.0,20.0,32.0,44.0,74.0,791.0,16.857883369330455,0.833
symbol,RB,4836,5.0,10.0,20.0,33.0,43.0,74.64999999999964,248.0,15.35277088502895,0.833
