n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift,decile_spearman,折
5725,0.4824,0.5544,0.5183,0.26687,0.37,0.5079,0.1379,0.5087,1.0544,0.0263,0.5362,1.1115,0.0538,0.5326,1.104,0.0502,0.0941,F1
5474,0.4885,0.5515,0.5154,0.27004,0.4325,0.5201,0.0876,0.5201,1.0647,0.0316,0.5242,1.0731,0.0357,0.5219,1.0684,0.0334,0.0892,F2
5711,0.509,0.5604,0.5563,0.255404,0.3934,0.5884,0.1951,0.5892,1.1574,0.0801,0.5906,1.1602,0.0815,0.5618,1.1038,0.0528,0.1047,F3
6945,0.4994,0.557,0.5383,0.251574,0.3928,0.5468,0.154,0.5468,1.0949,0.0474,0.5522,1.1058,0.0528,0.5446,1.0907,0.0453,0.0987,F4
