decile,事件数,success_by_6bar,success_by_12bar,success_by_24bar,success_by_48bar,success_by_96bar,最终tradable率,维度,Lift_by_6bar,Lift_by_12bar,Lift_by_24bar,Lift_by_48bar,Lift_by_96bar,模型,source_tf
1,257,0.1907,0.3191,0.3891,0.4553,0.4981,0.5214,15m,0.8583,0.8706,0.813,0.8406,0.875,Model1_Logistic,15m
2,257,0.2062,0.3502,0.4864,0.5525,0.5642,0.5681,15m,0.9281,0.9554,1.0163,1.0201,0.9911,Model1_Logistic,15m
3,257,0.1907,0.3113,0.4514,0.5175,0.5331,0.5409,15m,0.8583,0.8493,0.9432,0.9554,0.9365,Model1_Logistic,15m
4,257,0.1907,0.3658,0.4747,0.5214,0.5525,0.5564,15m,0.8583,0.998,0.9919,0.9626,0.9706,Model1_Logistic,15m
5,257,0.2685,0.4163,0.5136,0.5759,0.5914,0.5953,15m,1.2085,1.1358,1.0731,1.0633,1.0389,Model1_Logistic,15m
6,257,0.214,0.3696,0.5253,0.5837,0.6226,0.6265,15m,0.9632,1.0084,1.0976,1.0777,1.0937,Model1_Logistic,15m
7,257,0.2062,0.323,0.4436,0.5019,0.5214,0.5214,15m,0.9281,0.8812,0.9269,0.9266,0.9159,Model1_Logistic,15m
8,257,0.2763,0.4086,0.5253,0.5953,0.6342,0.6342,15m,1.2436,1.1148,1.0976,1.0991,1.1141,Model1_Logistic,15m
9,257,0.2568,0.3969,0.4591,0.5253,0.5642,0.5681,15m,1.1558,1.0828,0.9593,0.9698,0.9911,Model1_Logistic,15m
10,257,0.2218,0.4047,0.5175,0.5875,0.6109,0.6226,15m,0.9983,1.1041,1.0813,1.0847,1.0731,Model1_Logistic,15m
1,105,0.1333,0.2381,0.3238,0.3714,0.4381,0.4857,1h,0.6972,0.6537,0.6801,0.6768,0.75,Model1_Logistic,1h
2,105,0.219,0.3238,0.4667,0.5714,0.5905,0.6,1h,1.1454,0.889,0.9803,1.0413,1.0109,Model1_Logistic,1h
3,104,0.1635,0.3846,0.4904,0.5288,0.5769,0.5769,1h,0.8551,1.0559,1.03,0.9636,0.9876,Model1_Logistic,1h
4,105,0.1048,0.2762,0.4857,0.5524,0.5714,0.5905,1h,0.5481,0.7583,1.0202,1.0066,0.9782,Model1_Logistic,1h
5,104,0.2404,0.4327,0.4712,0.5577,0.6058,0.6058,1h,1.2573,1.1879,0.9897,1.0163,1.0371,Model1_Logistic,1h
6,105,0.2476,0.3619,0.4571,0.5143,0.5429,0.5429,1h,1.2949,0.9936,0.9601,0.9372,0.9294,Model1_Logistic,1h
7,104,0.1923,0.3558,0.4519,0.5385,0.5865,0.5865,1h,1.0057,0.9768,0.9492,0.9813,1.0041,Model1_Logistic,1h
8,105,0.1429,0.3714,0.5048,0.6,0.6286,0.6286,1h,0.7474,1.0196,1.0603,1.0934,1.0761,Model1_Logistic,1h
9,104,0.1827,0.3846,0.4904,0.5865,0.6154,0.6346,1h,0.9555,1.0559,1.03,1.0688,1.0535,Model1_Logistic,1h
10,105,0.2857,0.5143,0.619,0.6667,0.6857,0.6952,1h,1.4942,1.412,1.3001,1.2149,1.1739,Model1_Logistic,1h
1,529,0.1588,0.2703,0.4045,0.4726,0.5198,0.5388,5m,0.706,0.7225,0.8008,0.8304,0.8803,Model1_Logistic,5m
2,528,0.214,0.3636,0.5038,0.5663,0.5758,0.5795,5m,0.9515,0.9719,0.9974,0.9951,0.9751,Model1_Logistic,5m
3,528,0.2045,0.3655,0.5019,0.5549,0.5701,0.5814,5m,0.9092,0.977,0.9936,0.975,0.9655,Model1_Logistic,5m
4,528,0.2557,0.4186,0.5303,0.5852,0.6136,0.6193,5m,1.1369,1.119,1.0499,1.0283,1.0391,Model1_Logistic,5m
5,528,0.2311,0.3636,0.5227,0.5682,0.5795,0.5833,5m,1.0275,0.9719,1.0348,0.9984,0.9814,Model1_Logistic,5m
6,528,0.2235,0.3845,0.5133,0.5758,0.5909,0.5947,5m,0.9937,1.0278,1.0162,1.0118,1.0007,Model1_Logistic,5m
7,528,0.2254,0.3731,0.4981,0.5758,0.589,0.5909,5m,1.0022,0.9973,0.9861,1.0118,0.9975,Model1_Logistic,5m
8,528,0.2254,0.375,0.536,0.608,0.6383,0.6383,5m,1.0022,1.0024,1.0612,1.0683,1.081,Model1_Logistic,5m
9,528,0.25,0.4091,0.5019,0.5739,0.6004,0.6023,5m,1.1115,1.0936,0.9936,1.0084,1.0168,Model1_Logistic,5m
10,529,0.2609,0.4178,0.5388,0.6106,0.6276,0.6352,5m,1.16,1.1168,1.0667,1.0729,1.0628,Model1_Logistic,5m
