rollover_ATR阈值,RESOLVED,AMBIGUOUS,ROLL_CENSORED,END_CENSORED,base_rate,状态与10ATR不同,标签与10ATR不同
3,21019,56,402,4,0.5888,402,0
5,21421,56,0,4,0.5888,0,0
10,21421,56,0,4,0.5888,0,0
