n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift,decile_spearman,source_tf
6656,0.4808,0.5493,0.5096,0.262785,0.3949,0.521,0.1261,0.521,1.0837,0.0403,0.5293,1.1009,0.0485,0.5173,1.0759,0.0365,0.0853,15m
3006,0.4721,0.5811,0.5309,0.253396,0.3422,0.5615,0.2193,0.5615,1.1894,0.0894,0.5615,1.1894,0.0894,0.5443,1.1531,0.0723,0.1402,1h
14193,0.5067,0.5529,0.5398,0.260763,0.3937,0.5521,0.1585,0.5521,1.0896,0.0454,0.5558,1.0969,0.0491,0.5484,1.0822,0.0417,0.0916,5m
