折,TRAIN原始,TRAIN可用,TRAIN因label未resolution删除,SELECTION原始,SELECTION可用,SELECTION因label未resolution删除,TEST
F1,10527,10520,7,1996,1990,6,2053
F2,12523,12517,6,2053,2043,10,2165
F3,14576,14566,10,2165,2160,5,2133
F4,16741,16736,5,2133,2121,12,2547
