n,base_rate,AUC,PR_AUC,Brier,Lift@10,Lift@20,Lift@30,Lift@50,模型,decile_spearman
8898,0.5901,0.4945,0.5803,0.241908,0.9492,0.9487,0.979,0.9838,Baseline1_symbol_source_tf,-0.1094
8898,0.5901,0.5282,0.6095,0.246815,1.0846,1.0516,1.0565,1.031,Model1_Logistic,0.8061
8898,0.5901,0.498,0.5845,0.259637,0.9836,1.0001,0.9974,0.9952,Model2_LightGBM,-0.1879
8898,0.5901,,,,,,,,Baseline0_base_rate,
