symbol,折,n,Lift20,D10_minus_D1
AL,F1,552,1.1051,0.1429
AL,F2,590,0.8935,0.0
AL,F3,571,1.2068,0.2532
AL,F4,700,1.2353,0.4286
AU,F1,573,1.0529,0.1897
AU,F2,544,1.3729,0.4727
AU,F3,647,1.24,0.4
AU,F4,794,1.0384,0.1
CF,F1,389,0.9779,0.0513
CF,F2,450,1.0337,0.0889
CF,F3,406,1.2149,0.0976
CF,F4,507,1.1024,0.1765
I,F1,487,1.2598,0.2653
I,F2,491,0.8636,0.1878
I,F3,506,1.0827,0.0
I,F4,652,1.1022,0.2727
MA,F1,544,1.1517,0.2
MA,F2,317,1.1338,0.5625
MA,F3,441,0.9704,0.1465
MA,F4,439,1.192,0.2955
NI,F1,544,0.9481,0.2182
NI,F2,697,1.1047,0.1
NI,F3,596,1.1957,0.3167
NI,F4,689,1.0122,0.3333
P,F1,571,1.1962,0.1319
P,F2,420,1.3717,0.4048
P,F3,491,1.1868,0.2563
P,F4,516,1.2173,0.5
RU,F1,500,1.0746,0.16
RU,F2,530,1.0909,0.1887
RU,F3,503,0.9363,-0.0392
RU,F4,569,1.0695,0.193
SC,F1,663,1.0495,0.0299
SC,F2,547,1.1283,0.0545
SC,F3,623,1.127,0.4762
SC,F4,808,1.0784,0.2716
SN,F1,478,1.2289,0.4167
SN,F2,601,0.7867,-0.0429
SN,F3,504,1.0745,0.1765
SN,F4,789,1.101,0.1646
TA,F1,424,1.0118,0.2558
TA,F2,287,0.8542,0.069
TA,F3,423,1.123,0.186
TA,F4,482,1.1954,0.2449
