decile,rows,weighted_action_accuracy,mean_chosen_utility,mean_regret,trade_rate
0,8964,0.3948229097157785,0.17489106714946626,1.033710944373244,0.3519634091923248
1,8962,0.47909651403197256,0.042239536408503496,0.607476243643393,0.031912519526891316
2,8961,0.5912912572527999,0.004072743747145951,0.40300980965140293,0.001450730945207008
3,8962,0.6501115118123452,0.0,0.24210564692927078,0.0
4,8962,0.6742724227907457,0.0,0.2010758306819809,0.0
5,8962,0.7223953928166507,0.0,0.18611894249802202,0.0
6,8962,0.7503376981894505,0.0,0.15400576105732164,0.0
7,8963,0.7651444328319725,0.0,0.15432845322219924,0.0
8,8961,0.7740810751281667,0.0,0.12652175395492168,0.0
9,8962,0.7789472140015312,0.0,0.1169364277528795,0.0
