fold,model,symbol,test_episodes,selected_episodes,trade_coverage,selected_mean_entry_value,positive_rate,caev,weighted_row_regret
0,ACTION3-M0,AG,239,1,0.0041841004184100415,-0.32950819193608,0.0,-0.0013786953637492886,0.7107747308727856
0,ACTION3-M0,I,126,0,0.0,,,0.0,0.3019102210531498
0,ACTION3-M0,RB,138,3,0.021739130434782608,-0.445816641212049,0.3333333333333333,-0.009691666113305413,0.4588572102550423
0,ACTION3-M1,AG,239,114,0.4769874476987448,-1.3672768936164155,0.37719298245614036,-0.6521739157835621,0.6581795045694733
0,ACTION3-M1,I,126,13,0.10317460317460317,-1.6067777111812647,0.23076923076923078,-0.16577865274092413,0.309843252516928
0,ACTION3-M1,RB,138,36,0.2608695652173913,-1.302452935221044,0.2777777777777778,-0.3397703309272289,0.460197370945747
1,ACTION3-M0,AL,153,4,0.026143790849673203,-1.3939034067768883,0.0,-0.03644191913142192,0.4501136239584364
1,ACTION3-M0,M,160,13,0.08125,-1.8999978079987612,0.23076923076923078,-0.15437482189989934,0.5684382106907699
1,ACTION3-M0,RU,174,7,0.040229885057471264,-0.5926195662173465,0.42857142857142855,-0.023841017031732328,0.5416395434095599
1,ACTION3-M1,AL,153,42,0.27450980392156865,-2.0760174770907076,0.23809523809523808,-0.5698871505739198,0.5329035332295222
1,ACTION3-M1,M,160,62,0.3875,-0.7686400791909169,0.3387096774193548,-0.2978480306864803,0.5026936973268004
1,ACTION3-M1,RU,174,63,0.3620689655172414,-0.9956138502603404,0.3333333333333333,-0.36048087681839913,0.4649411834402727
2,ACTION3-M0,AU,314,18,0.05732484076433121,-1.6480969218415005,0.3333333333333333,-0.09447689360874843,0.8591025078914264
2,ACTION3-M0,MA,161,9,0.055900621118012424,-1.4884650491911318,0.1111111111111111,-0.08320612076223718,0.5953247896805971
2,ACTION3-M0,SC,258,3,0.011627906976744186,-2.0956981957575844,0.0,-0.024368583671599817,0.9422007164239825
2,ACTION3-M1,AU,314,91,0.2898089171974522,-0.5388356117289875,0.4725274725274725,-0.15615936518260465,0.7917404528938822
2,ACTION3-M1,MA,161,57,0.35403726708074534,-1.215868731722578,0.3157894736842105,-0.43046284290799347,0.45105227407100107
2,ACTION3-M1,SC,258,74,0.2868217054263566,-0.981924574426572,0.3783783783783784,-0.2816372810370788,0.8044123216091021
3,ACTION3-M0,CF,160,11,0.06875,-2.2075994572776874,0.18181818181818182,-0.151772462687841,0.4775808092937822
3,ACTION3-M0,NI,144,0,0.0,,,0.0,0.5065817480532104
3,ACTION3-M0,SN,150,2,0.013333333333333334,-1.615874209794611,0.0,-0.021544989463928146,0.4109533353993084
3,ACTION3-M1,CF,160,61,0.38125,-0.8848112564485813,0.36065573770491804,-0.3373342915210216,0.46240508573635386
3,ACTION3-M1,NI,144,43,0.2986111111111111,-0.9736900078670585,0.3023255813953488,-0.29075465512696885,0.49437224594174684
3,ACTION3-M1,SN,150,23,0.15333333333333332,-1.4884687257888913,0.43478260869565216,-0.22823187128763,0.3776553671654678
4,ACTION3-M0,CU,162,21,0.12962962962962962,-1.0099145600491042,0.42857142857142855,-0.13091485037673573,0.5853443856761359
4,ACTION3-M0,P,130,13,0.1,-1.1585151333233816,0.3076923076923077,-0.11585151333233816,0.43077739782357344
4,ACTION3-M0,TA,150,5,0.03333333333333333,-4.414337947546413,0.0,-0.1471445982515471,0.5116492216489452
4,ACTION3-M1,CU,162,78,0.48148148148148145,-1.2189629393354164,0.358974358974359,-0.5869080819022375,0.47323814394198077
4,ACTION3-M1,P,130,45,0.34615384615384615,-1.582400119982548,0.28888888888888886,-0.5477538876862665,0.37113206391431924
4,ACTION3-M1,TA,150,26,0.17333333333333334,-1.0980961889534118,0.2692307692307692,-0.1903366727519247,0.49740512165350464
