kappa,model,selected_mean_entry_value,sel_ci_lower,sel_ci_upper,caev,caev_ci_lower,caev_ci_upper,delta_mean,ci_lower,ci_upper
0.0,REG-M0,-1.9002328281214442,-2.8649823432136268,-1.0999447624208203,-0.0660256538217073,-0.10243581528819329,-0.03600275665414301,,,
0.0,REG-M1,-0.975237241087287,-1.297218072095035,-0.6685081419395856,-0.18171659933203363,-0.24622889330014075,-0.1251492118645626,,,
0.0,ACTION3-M0,-1.3518664435393444,-1.8343490371210833,-0.9112144442033637,-0.08155589846476381,-0.11054139842402634,-0.0522397833865325,,,
0.0,ACTION3-M1,-0.9219427641534661,-1.1356087422127066,-0.724803872572422,-0.33723603209584596,-0.4111669826109689,-0.26120528133719506,,,
0.0,ACTION3-M1-MARGIN,-1.2424237110147878,-1.412281150132635,-1.0719171634490472,-0.6684135199770279,-0.7620281475473093,-0.5679402619555988,,,
0.0,ACTION3-M1_minus_REG-M1,,,,,,,-0.15419235965509562,-0.23302020142470004,-0.07951455023405693
0.0,ACTION3-M1_minus_ACTION3-M0,,,,,,,-0.2544694888388196,-0.33538175602317294,-0.17618892876833986
0.005,REG-M0,-1.7770388852100418,-3.029049803544212,-0.574308880748401,-0.03935404938609485,-0.07272501726713697,-0.011935369414014437,,,
0.005,REG-M1,-0.7724709789721946,-1.0711457201300556,-0.48883673667913463,-0.14069059067191175,-0.19612932310403355,-0.08552385592558849,,,
0.005,ACTION3-M0,-1.22404207421545,-1.6786231480279004,-0.7907946505305524,-0.08552871308951025,-0.1194112443816939,-0.05334051013087789,,,
0.005,ACTION3-M1,-1.1661121385565083,-1.370619603414206,-0.9792720937291424,-0.4777542285876798,-0.5587789933257673,-0.3907584706173388,,,
0.005,ACTION3-M1_minus_REG-M1,,,,,,,-0.3359245375548812,-0.4213535186814614,-0.2557769122166003
0.005,ACTION3-M1_minus_ACTION3-M0,,,,,,,-0.3917691572983835,-0.4744286335308707,-0.3100706196716288
0.01,REG-M0,-2.1525413618629208,-3.1231164493944377,-1.1383493712104242,-0.06082018357306458,-0.09589610433386894,-0.0316550060789249,,,
0.01,REG-M1,-0.989086936110449,-1.3410769936283413,-0.6790377949110736,-0.16541431004825377,-0.22388300852533694,-0.10995866958830568,,,
0.01,ACTION3-M0,-1.2547147356302224,-1.646302965421194,-0.9425423438953954,-0.09485815870743951,-0.12360472874203628,-0.0656885731036505,,,
0.01,ACTION3-M1,-1.0906515277757478,-1.2941091201266663,-0.8908346078807745,-0.43517787190746715,-0.5152552917394938,-0.3486092271099401,,,
0.01,ACTION3-M1_minus_REG-M1,,,,,,,-0.26823514537993864,-0.3561966393608162,-0.18620689315660177
0.01,ACTION3-M1_minus_ACTION3-M0,,,,,,,-0.3396255381336702,-0.42373990293151476,-0.2570036068341714
0.02,REG-M0,-1.687014624963759,-2.700804545432482,-0.7748593774825341,-0.04895498720780667,-0.08249948435945935,-0.02083637076974237,,,
0.02,REG-M1,-0.8691005737233671,-1.2478414030376082,-0.4669040537825006,-0.11714108534721214,-0.17183060243900028,-0.06174040043102062,,,
0.02,ACTION3-M0,-1.2583496259841858,-1.6364553947783533,-0.8265315465501794,-0.10282047344811597,-0.1359457041105548,-0.07083086477193495,,,
0.02,ACTION3-M1,-1.1467523268123367,-1.3426256999559136,-0.9559126682878204,-0.46456823930809066,-0.5456339085014875,-0.3794165605493717,,,
0.02,ACTION3-M1_minus_REG-M1,,,,,,,-0.345568221971707,-0.42769707161320986,-0.26836892233880066
0.02,ACTION3-M1_minus_ACTION3-M0,,,,,,,-0.36044995729991114,-0.43942093623728573,-0.2791587708509426
0.05,REG-M0,-1.4022773670376507,-3.450046382973818,0.21292944916564266,-0.016598166620147833,-0.04315208094452491,0.003581841297705791,,,
0.05,REG-M1,-0.9827112079354268,-1.366152819542553,-0.6262619984931491,-0.1463372932778986,-0.20520887817115052,-0.09176023324459567,,,
0.05,ACTION3-M0,-1.543160165630049,-1.982125314981427,-1.1378968668432718,-0.14435824382564416,-0.18982852771776368,-0.10403063422256865,,,
0.05,ACTION3-M1,-0.984848536769402,-1.178946539283343,-0.7929044667385281,-0.37152743578776987,-0.4500776232549092,-0.28875937043762884,,,
0.05,ACTION3-M1_minus_REG-M1,,,,,,,-0.22435271811419386,-0.30442176961053385,-0.1400568800616431
0.05,ACTION3-M1_minus_ACTION3-M0,,,,,,,-0.22726399372681572,-0.30493701098751336,-0.15089627667134242
