kappa,model,symbol,test_episodes,selected_episodes,trade_coverage,selected_mean_entry_value,positive_rate,caev,weighted_row_regret
0.0,REG-M0,AG,239,10,0.04184100418410042,-2.209858550134075,0.3,-0.0924627008424299,0.7149934586892273
0.0,REG-M0,AL,153,7,0.0457516339869281,-2.3952076199022647,0.2857142857142857,-0.10958466234846963,0.4578223138098186
0.0,REG-M0,AU,314,20,0.06369426751592357,-1.0773789887390475,0.35,-0.0686228655247801,0.8574653010414415
0.0,REG-M0,CF,160,3,0.01875,-7.163067259074668,0.0,-0.13430751110765002,0.47681534877024945
0.0,REG-M0,CU,162,4,0.024691358024691357,1.77921548513859,0.25,0.04393124654663185,0.49890950281434365
0.0,REG-M0,I,126,0,0.0,,,0.0,0.3019102210531498
0.0,REG-M0,M,160,3,0.01875,-3.119849631005534,0.0,-0.05849718058135376,0.5184241203731214
0.0,REG-M0,MA,161,7,0.043478260869565216,-1.110878147638393,0.42857142857142855,-0.04829904989732144,0.5829590705656338
0.0,REG-M0,NI,144,3,0.020833333333333332,-6.842140026101165,0.0,-0.1425445838771076,0.5116970613981139
0.0,REG-M0,P,130,4,0.03076923076923077,-3.1771611547801197,0.0,-0.09775880476246522,0.41086507092324714
0.0,REG-M0,RB,138,4,0.028985507246376812,-0.33543453663611433,0.5,-0.00972274019235114,0.45477586474699205
0.0,REG-M0,RU,174,5,0.028735632183908046,-0.1310205166310197,0.6,-0.003764957374454589,0.5391309388382327
0.0,REG-M0,SC,258,14,0.05426356589147287,-1.2247934076429952,0.14285714285714285,-0.06646165777907725,0.9464769019437075
0.0,REG-M0,SN,150,4,0.02666666666666667,-1.9016172163646101,0.25,-0.0507097924363896,0.4048701280374016
0.0,REG-M0,TA,150,3,0.02,-7.005016993624992,0.0,-0.14010033987249984,0.49814102213164774
0.0,REG-M1,AG,239,43,0.1799163179916318,-1.5477417978169705,0.37209302325581395,-0.27846400546497796,0.6878936678250892
0.0,REG-M1,AL,153,28,0.1830065359477124,-0.7851148505104758,0.39285714285714285,-0.14368114911302826,0.44338977125065315
0.0,REG-M1,AU,314,80,0.25477707006369427,-0.7835956521013832,0.4625,-0.1996422043570403,0.7837913894495395
0.0,REG-M1,CF,160,29,0.18125,-0.889125685074364,0.3448275862068966,-0.16115403041972848,0.4392523102462892
