kappa,model,weighted_action_accuracy,weighted_mean_chosen_utility,weighted_mean_oracle_utility,weighted_mean_regret,predicted_short_rate,predicted_wait_rate,predicted_long_rate,trade_rows,mean_chosen_entry_value,positive_entry_value_rate
0.0,REG-M0,0.5404825423480639,0.0002305937242718133,0.5903186081879561,0.5900880144636843,0.00044632396424945046,0.9968534160520414,0.0027002599837091753,282,-2.158602264917775,0.16666666666666666
0.0,REG-M1,0.5556876142341342,0.03881020632724768,0.5903186081879561,0.5515084018607084,0.005132725588868681,0.9848249852155186,0.010042289195612635,1360,-1.578000111614984,0.2786764705882353
0.0,ACTION3-M0,0.5390148822118278,-0.01494919093243866,0.5903186081879561,0.6052677991203947,0.0030461610560024994,0.9862197476037983,0.010734091340199283,1235,-1.56787472592586,0.2
0.0,ACTION3-M1,0.5659659059657962,0.05883705558473577,0.5903186081879561,0.5314815526032203,0.017663270885172003,0.96145992568706,0.020876803427768046,3454,-1.5192927367186209,0.2521713954834974
0.0,ACTION3-M1-MARGIN,0.5684586518927466,0.04581668611274011,0.5903186081879561,0.544501922075216,0.028787895694089554,0.9273049843228708,0.04390711998303969,6515,-1.9042348686402535,0.21918649270913276
0.005,REG-M0,0.5329856300088549,0.002897916559564247,0.5881421498845933,0.5852442333250292,0.00042400776603697794,0.998437866125127,0.0011381261088360987,140,-2.2125742855289032,0.21428571428571427
0.005,REG-M1,0.5499999541532247,0.04382409660114835,0.5881421498845933,0.544318053283445,0.003068477254214972,0.9866883877662601,0.010243134979524888,1193,-1.4180907172688042,0.3067896060352054
0.005,ACTION3-M0,0.5300735542881696,-0.0141941410202796,0.5881421498845933,0.602336290904873,0.00265562758728423,0.9842336059628881,0.013110766449827607,1413,-1.4467585844259387,0.20382165605095542
0.005,ACTION3-M1,0.5614939975600733,0.046004882569088516,0.5881421498845933,0.5421372673155048,0.01985025830999431,0.9538947344930317,0.026255007196973924,4132,-1.642619646054896,0.2495159728944821
0.01,REG-M0,0.532855946268643,0.0002644938880235091,0.5859681487389201,0.5857036548508967,0.0005021144597806318,0.9972551076198659,0.002242777920353489,246,-2.175125589348518,0.15040650406504066
0.01,REG-M1,0.5479593885318227,0.0359755514305843,0.5859681487389201,0.5499925973083358,0.0033474297318708784,0.9866102810725165,0.010042289195612635,1200,-1.7010484871031815,0.2825
0.01,ACTION3-M0,0.5306406840894626,-0.0173931251817025,0.5859681487389201,0.6033612739206227,0.003202374443489807,0.9825152587005278,0.014282366855982415,1567,-1.5063368681785096,0.200382897255903
0.01,ACTION3-M1,0.561481203485049,0.05181645807649905,0.5859681487389201,0.5341516906624211,0.018488970219033486,0.955746978944667,0.025764050836299526,3966,-1.604261592828672,0.25239536056480083
0.02,REG-M0,0.5335006299679721,-0.0003302852086350566,0.5816329282205571,0.5819632134291921,0.00027895247765590654,0.9975005858002031,0.0022204617221410162,224,-1.9813212811792802,0.20089285714285715
0.02,REG-M1,0.5452651590464258,0.029599386600170148,0.5816329282205571,0.552033541620387,0.002599837091753049,0.9891654857678446,0.008234677140402361,971,-1.5543905102728222,0.29351184346035014
0.02,ACTION3-M0,0.5322928148956356,-0.016881449062212797,0.5816329282205571,0.5985143772827699,0.0037491212996953838,0.9811986030059919,0.015052275694312717,1685,-1.5662533669909753,0.19762611275964392
0.02,ACTION3-M1,0.5564312314357305,0.02580124038936988,0.5816329282205571,0.5558316878311873,0.020062262193012798,0.9538054697001819,0.026132268106805325,4140,-1.6400147791237718,0.24082125603864735
0.05,REG-M0,0.5353666287419221,0.0032261833322258667,0.5687038311798681,0.5654776478476422,0.00010042289195612636,0.999196616864351,0.0007029602436928844,72,-2.3095529203137564,0.2222222222222222
0.05,REG-M1,0.547374498672289,0.02959064220095888,0.5687038311798681,0.5391131889789093,0.0021088807310786534,0.9888753751910825,0.0090157440778389,997,-1.6571016771851843,0.2848545636910732
0.05,ACTION3-M0,0.531553693426739,-0.027998241828235623,0.5687038311798681,0.5967020730081036,0.003994599480032582,0.9780743352562458,0.017931065263721672,1965,-1.6198948872105878,0.1969465648854962
0.05,ACTION3-M1,0.5667125791499571,0.056810313349401405,0.5687038311798681,0.5118935178304667,0.017049575434329008,0.9594514678479374,0.02349895671773357,3634,-1.629021493588658,0.25509080902586684
