kappa,candidate_rows,train_rows,validation_rows,test_rows,n_short,n_flat,n_long,total_test_episodes
0.0,426038,249938,86479,89621,50026,322855,53157,2619
0.005,426038,249938,86479,89621,51947,318672,55419,2619
0.01,426038,249938,86479,89621,51939,318685,55414,2619
0.02,426038,249938,86479,89621,51913,318738,55387,2619
0.05,426038,249938,86479,89621,51783,319001,55254,2619
