kappa,model,weighted_mean_regret,weighted_action_accuracy,episode_trade_coverage,selected_mean_entry_value,selected_positive_rate,caev
0.0,REG-M0,0.5900880144636843,0.5404825423480639,0.034746086292478044,-1.9002328281214442,0.26373626373626374,-0.0660256538217073
0.0,REG-M1,0.5515084018607084,0.5556876142341342,0.1863306605574647,-0.975237241087287,0.36885245901639346,-0.18171659933203363
0.0,ACTION3-M0,0.6052677991203947,0.5390148822118278,0.060328369606720125,-1.3518664435393444,0.2848101265822785,-0.08155589846476381
0.0,ACTION3-M1,0.5314815526032203,0.5659659059657962,0.3657884688812524,-0.9219427641534661,0.3705636743215031,-0.33723603209584596
0.0,ACTION3-M1-MARGIN,0.544501922075216,0.5684586518927466,0.53799159984727,-1.2424237110147878,0.34279630943931866,-0.6684135199770279
0.005,REG-M0,0.5852442333250292,0.5329856300088549,0.022145857197403588,-1.7770388852100418,0.29310344827586204,-0.03935404938609485
0.005,REG-M1,0.544318053283445,0.5499999541532247,0.18213058419243985,-0.7724709789721946,0.38784067085953877,-0.14069059067191175
0.005,ACTION3-M0,0.602336290904873,0.5300735542881696,0.06987399770904926,-1.22404207421545,0.2677595628415301,-0.08552871308951025
0.005,ACTION3-M1,0.5421372673155048,0.5614939975600733,0.4096983581519664,-1.1661121385565083,0.3634669151910531,-0.4777542285876798
0.01,REG-M0,0.5857036548508967,0.532855946268643,0.028255059182894234,-2.1525413618629208,0.21621621621621623,-0.06082018357306458
0.01,REG-M1,0.5499925973083358,0.5479593885318227,0.1672394043528064,-0.989086936110449,0.3789954337899543,-0.16541431004825377
0.01,ACTION3-M0,0.6033612739206227,0.5306406840894626,0.07560137457044673,-1.2547147356302224,0.25252525252525254,-0.09485815870743951
0.01,ACTION3-M1,0.5341516906624211,0.561481203485049,0.39900725467735776,-1.0906515277757478,0.3674641148325359,-0.43517787190746715
0.02,REG-M0,0.5819632134291921,0.5335006299679721,0.029018709431080564,-1.687014624963759,0.27631578947368424,-0.04895498720780667
0.02,REG-M1,0.552033541620387,0.5452651590464258,0.13478426880488736,-0.8691005737233671,0.39660056657223797,-0.11714108534721214
0.02,ACTION3-M0,0.5985143772827699,0.5322928148956356,0.08171057655593739,-1.2583496259841858,0.2850467289719626,-0.10282047344811597
0.02,ACTION3-M1,0.5558316878311873,0.5564312314357305,0.4051164566628484,-1.1467523268123367,0.3600377002827521,-0.46456823930809066
0.05,REG-M0,0.5654776478476422,0.5353666287419221,0.011836578846888126,-1.4022773670376507,0.25806451612903225,-0.016598166620147833
0.05,REG-M1,0.5391131889789093,0.547374498672289,0.14891179839633448,-0.9827112079354268,0.3717948717948718,-0.1463372932778986
0.05,ACTION3-M0,0.5967020730081036,0.531553693426739,0.0935471554028255,-1.543160165630049,0.24081632653061225,-0.14435824382564416
0.05,ACTION3-M1,0.5118935178304667,0.5667125791499571,0.37724322260404736,-0.984848536769402,0.3815789473684211,-0.37152743578776987
