fold,held_out_symbols,train_symbols,n_train_rows,n_validation_rows,n_eval_rows,model,weighted_action_accuracy,weighted_mean_chosen_utility,weighted_mean_regret,episode_trade_coverage,selected_mean_entry_value,caev
0,"AG,I,RB","AL,AU,CF,CU,M,MA,NI,P,RU,SC,SN,TA",200484,68661,17791,ACTION3-M0,0.5791477422652104,-0.0019214449740275392,0.5392408420407325,0.007952286282306162,-0.41673952889305665,-0.0033140320389109875
0,"AG,I,RB","AL,AU,CF,CU,M,MA,NI,P,RU,SC,SN,TA",200484,68661,17791,ACTION3-M1,0.6019176862451123,0.020714250745134253,0.5166051463215707,0.3240556660039761,-1.3720612379483765,-0.44462421826160115
1,"AL,M,RU","AG,AU,CF,CU,I,MA,NI,P,RB,SC,SN,TA",203143,70186,16696,ACTION3-M0,0.5622417429753749,-0.017889150445079077,0.5216894840439986,0.049281314168377825,-1.4343300872755365,-0.0706856716521825
1,"AL,M,RU","AG,AU,CF,CU,I,MA,NI,P,RB,SC,SN,TA",203143,70186,16696,ACTION3-M1,0.585806940064812,0.005104238989037858,0.4986960946098818,0.34291581108829566,-1.1830664162517845,-0.40569217970030397
2,"AU,MA,SC","AG,AL,CF,CU,I,M,NI,P,RB,RU,SN,TA",193553,67158,19349,ACTION3-M0,0.45569121435115084,-0.007504616404364488,0.8304137291321576,0.040927694406548434,-1.6449674874379983,-0.06732472663457019
2,"AU,MA,SC","AG,AL,CF,CU,I,M,NI,P,RB,RU,SN,TA",193553,67158,19349,ACTION3-M1,0.48426660575888,0.1015389936155714,0.7213701191122217,0.30286493860845837,-0.8603647607346445,-0.2605743204407791
3,"CF,NI,SN","AG,AL,AU,CU,I,M,MA,P,RB,RU,SC,TA",198191,69327,18865,ACTION3-M0,0.5797042992864425,-0.004160982681929638,0.46476586237128564,0.028634361233480177,-2.1165648038187523,-0.06060648116661626
3,"CF,NI,SN","AG,AL,AU,CU,I,M,MA,P,RB,RU,SC,TA",198191,69327,18865,ACTION3-M1,0.59172939648476,0.01606143870202494,0.44454344098733106,0.27973568281938327,-1.0242278557070192,-0.2865130785788358
4,"CU,P,TA","AG,AL,AU,CF,I,M,MA,NI,RB,RU,SC,SN",204381,70584,16920,ACTION3-M0,0.5671165090215601,-0.021400938451018238,0.5148738358460189,0.08823529411764706,-1.495912621332493,-0.1319922901175729
4,"CU,P,TA","AG,AL,AU,CF,I,M,MA,NI,RB,RU,SC,SN",204381,70584,16920,ACTION3-M1,0.5787235926332782,0.04206449043688279,0.4514084069581178,0.33710407239819007,-1.3076350038937306,-0.44080908502299965
