candidate_id,symbol,step,bar_index,bar_start_time,open,high,low,close,gap_minutes,contiguous_from_previous,open_atr,high_atr,low_atr,close_atr
CU:15m:1:-1:2015:2021:13,CU,1,6422.0,2025-04-21 09:40:00,76260.0,76380.0,76260.0,76330.0,0.0,False,0.0,1.464409631258719,0.0,0.854238951567586
CU:15m:1:-1:2015:2021:13,CU,2,6423.0,2025-04-21 09:45:00,76330.0,76340.0,76250.0,76270.0,5.0,True,0.854238951567586,0.9762730875058125,-0.12203413593822657,0.12203413593822657
CU:15m:1:-1:2015:2021:13,CU,3,6424.0,2025-04-21 09:50:00,76270.0,76270.0,76180.0,76180.0,5.0,True,0.12203413593822657,0.12203413593822657,-0.9762730875058125,-0.9762730875058125
CU:15m:1:-1:2015:2021:13,CU,4,6425.0,2025-04-21 09:55:00,76190.0,76220.0,76180.0,76180.0,5.0,True,-0.854238951567586,-0.48813654375290627,-0.9762730875058125,-0.9762730875058125
CU:15m:1:-1:2015:2021:13,CU,5,6426.0,2025-04-21 10:00:00,76180.0,76250.0,76170.0,76220.0,5.0,True,-0.9762730875058125,-0.12203413593822657,-1.0983072234440392,-0.48813654375290627
CU:15m:1:-1:2015:2021:13,CU,6,6427.0,2025-04-21 10:05:00,76220.0,76300.0,76210.0,76290.0,5.0,True,-0.48813654375290627,0.48813654375290627,-0.6101706796911329,0.36610240781467973
CU:15m:1:-1:2015:2021:13,CU,7,6428.0,2025-04-21 10:10:00,76300.0,76300.0,76180.0,76230.0,5.0,True,0.48813654375290627,0.48813654375290627,-0.9762730875058125,-0.36610240781467973
CU:15m:1:-1:2015:2021:13,CU,8,6429.0,2025-04-21 10:30:00,76220.0,76220.0,76130.0,76180.0,20.0,False,-0.48813654375290627,-0.48813654375290627,-1.5864437671969456,-0.9762730875058125
CU:15m:1:-1:2015:2021:13,CU,9,6430.0,2025-04-21 10:35:00,76160.0,76250.0,76150.0,76230.0,5.0,True,-1.2203413593822658,-0.12203413593822657,-1.3423754953204923,-0.36610240781467973
CU:15m:1:-1:2015:2021:13,CU,10,6431.0,2025-04-21 10:40:00,76220.0,76250.0,76190.0,76220.0,5.0,True,-0.48813654375290627,-0.12203413593822657,-0.854238951567586,-0.48813654375290627
CU:15m:1:-1:2015:2021:13,CU,11,6432.0,2025-04-21 10:45:00,76230.0,76250.0,76220.0,76230.0,5.0,True,-0.36610240781467973,-0.12203413593822657,-0.48813654375290627,-0.36610240781467973
