factor,bucket,status,discovery_bucket_rate,discovery_rest_rate,discovery_delta_pp,validation_bucket_rate,validation_rest_rate,validation_delta_pp,discovery_bucket_n,validation_bucket_n,symbol_available,symbol_same_sign
source_tf,5m,SURVIVES_HIGHER_INVALIDATION,0.3914047526757615,0.21691561059315614,17.44891420826054,0.3962297570921412,0.2034011372528695,19.28286198392717,4113,1818,4,4
source_tf,15m,SURVIVES_LOWER_INVALIDATION,0.2441142908322378,0.355432045759714,-11.13177549274762,0.25195964504206975,0.344196171636305,-9.223652659423525,1982,924,4,4
source_tf,1h,SURVIVES_LOWER_INVALIDATION,0.1524359701883558,0.3478321291679182,-19.539615897956242,0.1041958046496595,0.35194332809734796,-24.774752344768846,801,427,4,4
source_ob_structure,internal,FAIL_DISCOVERY_EFFECT,0.32797468179602446,0.3050071100469212,2.2967571749103244,0.3230491298327483,0.2854894481784893,3.755968165425899,6144,2796,4,3
source_ob_structure,swing,FAIL_DISCOVERY_EFFECT,0.3050071100469212,0.32797468179602446,-2.2967571749103244,0.2854894481784893,0.3230491298327483,-3.755968165425899,752,373,4,3
touch_bin,1,SURVIVES_HIGHER_INVALIDATION,0.36106372114777674,0.2960365533093303,6.502716783844642,0.3811284247567891,0.2693652235725041,11.176320118428501,3191,1438,4,4
touch_bin,2,FAIL_DISCOVERY_EFFECT,0.3200797409511094,0.328007844246985,-0.7928103295875566,0.32899831424920933,0.31676236210957026,1.2235952139639072,1528,692,4,2
touch_bin,3,FAIL_DISCOVERY_EFFECT,0.28834668058420576,0.33149690347032545,-4.315022288611969,0.2595960433036757,0.32805519299260694,-6.8459149688931245,868,385,4,2
touch_bin,4+,SURVIVES_LOWER_INVALIDATION,0.26999593984038867,0.3384211546021223,-6.8425214761733635,0.20563091529999492,0.347458010383837,-14.182709508384209,1309,654,4,4
ob_width_bucket,NARROW_LE_0.5,FAIL_SUPPORT,0.4695547279405598,0.3227727458632936,14.678198207726624,0.5321670531947919,0.31514786332347644,21.701918987131542,207,81,1,1
ob_width_bucket,MEDIUM_0.5_1.0,SURVIVES_HIGHER_INVALIDATION,0.47000075173705386,0.27479868200270197,19.52020697343519,0.4749161329206066,0.26813089561421105,20.678523730639554,1803,774,4,4
ob_width_bucket,WIDE_GT_1.0,SURVIVES_LOWER_INVALIDATION,0.26851304938041703,0.4699648371682564,-20.145178778783933,0.260750239045276,0.4792598080906967,-21.85095690454207,4886,2314,4,4
quant_state,LOW,FAIL_VALIDATION,0.26935397757608115,0.33654056085016076,-6.718658327407962,0.28068027210884355,0.30354028471342326,-2.2860012604579705,392,295,4,3
quant_state,MID,FAIL_DISCOVERY_EFFECT,0.2941798941798942,0.33857694550585393,-4.439705132595972,0.2904932932639449,0.3058255990771328,-1.5332305813187896,701,716,4,2
quant_state,HIGH,FAIL_VALIDATION,0.36383471368777265,0.2852041308753981,7.863058281237456,0.3170343415965431,0.287537775956564,2.9496565639979098,1155,753,4,3
smc_internal_align_count,0,FAIL_DISCOVERY_EFFECT,0.32762139928364015,0.3257108337225927,0.19105655610474614,0.28659982554335106,0.3345052525423381,-4.790542699898703,1710,1052,4,3
smc_internal_align_count,1,FAIL_DISCOVERY_EFFECT,0.3354433837793716,0.3212817280539078,1.4161655725463795,0.3476426064828019,0.3067099640119837,4.093264247081818,2436,1037,4,3
smc_internal_align_count,2,FAIL_DISCOVERY_EFFECT,0.32517731014776374,0.32653712729558215,-0.13598171478184096,0.3254382205102228,0.3177862203836449,0.7652000126577907,1932,722,4,2
smc_internal_align_count,3,FAIL_DISCOVERY_EFFECT,0.30323636821558997,0.3299577478874509,-2.6721379671860945,0.3201347935973041,0.31949118720194825,0.0643606395355878,818,358,4,2
smc_swing_align_count,0,FAIL_DISCOVERY_EFFECT,0.3565775153422923,0.31766308826551587,3.891442707677645,0.31551131458112014,0.3209060198602123,-0.5394705279092138,1415,831,4,1
smc_swing_align_count,1,FAIL_DISCOVERY_EFFECT,0.3216395696988884,0.3279903068619533,-0.635073716306489,0.31557280896037515,0.32129632620282866,-0.5723517242453513,2095,960,4,3
smc_swing_align_count,2,FAIL_DISCOVERY_EFFECT,0.3078454078978438,0.33346496947602344,-2.5619561578179626,0.31029783518245097,0.3231136569393962,-1.2815821756945234,2012,849,4,3
smc_swing_align_count,3,FAIL_DISCOVERY_EFFECT,0.32562882812586813,0.32629211515219725,-0.0663287026329118,0.3461689931300048,0.313783291245088,3.2385701884916793,1374,529,4,3
