factor,bucket,horizon,split,bucket_candidate_n,bucket_analyzable_n,bucket_analyzable_weight,bucket_invalidated_n,bucket_invalidation_rate,bucket_survival_rate,bucket_mean_first_invalidation_step,bucket_median_first_invalidation_step,rest_candidate_n,rest_analyzable_n,rest_analyzable_weight,rest_invalidated_n,rest_invalidation_rate,rest_survival_rate,rest_mean_first_invalidation_step,rest_median_first_invalidation_step,delta_invalidation_pp,delta_mean_first_step
source_tf,5m,6,DISCOVERY,8277,6209,4574.1896825396825,1739,0.2697758908843394,0.7302241091156606,2.9529851930249005,3.0,5509,4185,2770.9603535353535,647,0.1297282586570487,0.8702717413429513,3.1173489848021383,3.0,14.00476322272907,-0.1643637917772378
source_tf,5m,6,VALIDATION,3633,2754,2022.4421356421356,771,0.2689564264596886,0.7310435735403114,2.9047551305817025,3.0,2594,2004,1332.1358225108224,293,0.11845281496733875,0.8815471850326613,3.0908199293840726,3.0,15.050361149234984,-0.18606479880237003
source_tf,5m,12,DISCOVERY,8277,4113,2910.811111111111,1636,0.3914047526757615,0.6085952473242384,4.79137507625894,4.0,5509,2783,1738.674639249639,684,0.21691561059315614,0.7830843894068439,5.11079319311782,4.0,17.44891420826054,-0.31941811685887966
source_tf,5m,12,VALIDATION,3633,1818,1281.8921356421356,736,0.3962297570921412,0.6037702429078589,4.603045544888623,4.0,2594,1351,845.7191558441558,320,0.2034011372528695,0.7965988627471305,5.144985709045863,4.0,19.28286198392717,-0.5419401641572401
source_tf,5m,24,DISCOVERY,8277,1494,1066.3099206349207,789,0.5249534721620066,0.4750465278379934,7.015782612116945,5.0,5509,1054,692.6789682539682,372,0.3183739690218161,0.6816260309781839,8.086555175280438,6.0,20.657950314019054,-1.0707725631634926
source_tf,5m,24,VALIDATION,3633,645,463.5944444444444,345,0.5260447606607445,0.47395523933925554,6.754183508093648,5.0,2594,515,322.38928571428573,176,0.3071190921948103,0.6928809078051896,7.806420584345316,6.750793650793647,21.892566846593414,-1.052237076251668
source_tf,15m,6,DISCOVERY,3927,2963,1928.7887806637805,526,0.14729535251592016,0.8527046474840798,3.2043503883091646,3.0,9859,7431,5416.361255411255,1860,0.2417446460884035,0.7582553539115965,2.9435691821161565,3.0,-9.444929357248332,0.26078120619300815
source_tf,15m,6,VALIDATION,1802,1378,902.7802308802309,248,0.14610817441135424,0.8538918255886457,3.1140804519896395,3.0,4425,3380,2451.797727272727,816,0.23241740941832992,0.7675825905816701,2.907825080536324,3.0,-8.630923500697568,0.2062553714533153
source_tf,15m,12,DISCOVERY,3927,1982,1222.8530663780664,550,0.2441142908322378,0.7558857091677622,5.091765650202462,4.0,9859,4914,3426.632683982684,1770,0.355432045759714,0.644567954240286,4.816660328021904,4.0,-11.13177549274762,0.2751053221805586
source_tf,15m,12,VALIDATION,1802,924,567.7968975468975,266,0.25195964504206975,0.7480403549579302,5.154645008820689,4.544973544973523,4425,2245,1559.814393939394,790,0.344196171636305,0.655803828363695,4.629702803444049,4.0,-9.223652659423525,0.5249422053766404
