instrument,horizon,fold,model,feature,importance,selected
AG,1,0,LASSO,past_return_1,0.0,False
AG,1,0,LASSO,volume_sum_1,0.0,False
AG,1,0,LASSO,volume_max_1,0.0,False
AG,1,0,LASSO,price_impact_proxy_1,0.0,False
AG,1,0,LASSO,return_autocov_1,0.0,False
AG,1,0,LASSO,abs_return_sum_1,0.0,False
AG,1,0,LASSO,past_return_2,0.0,False
AG,1,0,LASSO,volume_sum_2,0.0,False
AG,1,0,LASSO,volume_max_2,0.0,False
AG,1,0,LASSO,price_impact_proxy_2,0.0,False
AG,1,0,LASSO,return_autocov_2,0.0,False
AG,1,0,LASSO,abs_return_sum_2,0.0,False
AG,1,0,LASSO,past_return_4,0.0,False
AG,1,0,LASSO,volume_sum_4,0.0,False
AG,1,0,LASSO,volume_max_4,0.0,False
AG,1,0,LASSO,price_impact_proxy_4,0.0,False
AG,1,0,LASSO,return_autocov_4,0.0,False
AG,1,0,LASSO,abs_return_sum_4,0.0,False
AG,1,0,LASSO,past_return_8,0.0,False
AG,1,0,LASSO,volume_sum_8,0.0,False
AG,1,0,LASSO,volume_max_8,0.0,False
AG,1,0,LASSO,price_impact_proxy_8,0.0,False
AG,1,0,LASSO,return_autocov_8,0.0,False
AG,1,0,LASSO,abs_return_sum_8,0.0,False
AG,1,0,LASSO,past_return_16,0.0,False
AG,1,0,LASSO,volume_sum_16,0.0,False
AG,1,0,LASSO,volume_max_16,0.0,False
AG,1,0,LASSO,price_impact_proxy_16,0.0,False
AG,1,0,LASSO,return_autocov_16,0.0,False
AG,1,0,LASSO,abs_return_sum_16,0.0,False
AG,1,0,RF,past_return_1,0.03777232409930501,True
AG,1,0,RF,volume_sum_1,0.03844747594854763,True
AG,1,0,RF,volume_max_1,0.04116893368012222,True
AG,1,0,RF,price_impact_proxy_1,4.9978311329385376e-05,True
AG,1,0,RF,return_autocov_1,0.006189367883477799,True
AG,1,0,RF,abs_return_sum_1,0.02674407294895247,True
AG,1,0,RF,past_return_2,0.06471779016299553,True
AG,1,0,RF,volume_sum_2,0.07164105032611072,True
AG,1,0,RF,volume_max_2,0.05447361723101685,True
AG,1,0,RF,price_impact_proxy_2,0.0,True
AG,1,0,RF,return_autocov_2,0.00048469821182745677,True
AG,1,0,RF,abs_return_sum_2,0.0526977040102308,True
AG,1,0,RF,past_return_4,0.07563112657474388,True
AG,1,0,RF,volume_sum_4,0.03481115566255811,True
AG,1,0,RF,volume_max_4,0.042101728072240364,True
AG,1,0,RF,price_impact_proxy_4,0.0,True
AG,1,0,RF,return_autocov_4,0.0,True
AG,1,0,RF,abs_return_sum_4,0.040759335598823464,True
AG,1,0,RF,past_return_8,0.06465600192861101,True
AG,1,0,RF,volume_sum_8,0.03552117065437268,True
AG,1,0,RF,volume_max_8,0.035292433813717924,True
AG,1,0,RF,price_impact_proxy_8,0.0,True
AG,1,0,RF,return_autocov_8,0.0,True
AG,1,0,RF,abs_return_sum_8,0.055768603890866256,True
AG,1,0,RF,past_return_16,0.06111866124810039,True
AG,1,0,RF,volume_sum_16,0.051474699369714785,True
AG,1,0,RF,volume_max_16,0.06033698083644307,True
AG,1,0,RF,price_impact_proxy_16,0.0,True
AG,1,0,RF,return_autocov_16,0.0,True
AG,1,0,RF,abs_return_sum_16,0.04814108953589205,True
AG,1,1,LASSO,past_return_1,0.0,False
AG,1,1,LASSO,volume_sum_1,0.0,False
AG,1,1,LASSO,volume_max_1,0.0,False
AG,1,1,LASSO,price_impact_proxy_1,0.0,False
AG,1,1,LASSO,return_autocov_1,0.0,False
AG,1,1,LASSO,abs_return_sum_1,0.0,False
AG,1,1,LASSO,past_return_2,0.0,False
AG,1,1,LASSO,volume_sum_2,0.0,False
AG,1,1,LASSO,volume_max_2,0.0,False
AG,1,1,LASSO,price_impact_proxy_2,0.0,False
AG,1,1,LASSO,return_autocov_2,0.0,False
AG,1,1,LASSO,abs_return_sum_2,0.0,False
AG,1,1,LASSO,past_return_4,0.0,False
AG,1,1,LASSO,volume_sum_4,0.0,False
AG,1,1,LASSO,volume_max_4,0.0,False
AG,1,1,LASSO,price_impact_proxy_4,0.0,False
AG,1,1,LASSO,return_autocov_4,0.0,False
AG,1,1,LASSO,abs_return_sum_4,0.0,False
AG,1,1,LASSO,past_return_8,0.0,False
AG,1,1,LASSO,volume_sum_8,0.0,False
AG,1,1,LASSO,volume_max_8,0.0,False
AG,1,1,LASSO,price_impact_proxy_8,0.0,False
AG,1,1,LASSO,return_autocov_8,0.0,False
AG,1,1,LASSO,abs_return_sum_8,0.0,False
AG,1,1,LASSO,past_return_16,0.0,False
AG,1,1,LASSO,volume_sum_16,0.0,False
AG,1,1,LASSO,volume_max_16,0.0,False
AG,1,1,LASSO,price_impact_proxy_16,0.0,False
AG,1,1,LASSO,return_autocov_16,0.0,False
AG,1,1,LASSO,abs_return_sum_16,0.0,False
AG,1,1,RF,past_return_1,0.03568490925253671,True
AG,1,1,RF,volume_sum_1,0.03356219709171023,True
AG,1,1,RF,volume_max_1,0.03479769901216898,True
AG,1,1,RF,price_impact_proxy_1,0.0,True
AG,1,1,RF,return_autocov_1,0.006141369344661415,True
AG,1,1,RF,abs_return_sum_1,0.029619593598572205,True
AG,1,1,RF,past_return_2,0.07719227691801098,True
AG,1,1,RF,volume_sum_2,0.051483010973916554,True
AG,1,1,RF,volume_max_2,0.04935870031724026,True
AG,1,1,RF,price_impact_proxy_2,0.0,True
AG,1,1,RF,return_autocov_2,0.0007076860636889952,True
AG,1,1,RF,abs_return_sum_2,0.04946412651268875,True
AG,1,1,RF,past_return_4,0.06988723318665442,True
AG,1,1,RF,volume_sum_4,0.04480989930312816,True
AG,1,1,RF,volume_max_4,0.0482336574805404,True
AG,1,1,RF,price_impact_proxy_4,0.0,True
AG,1,1,RF,return_autocov_4,0.0,True
AG,1,1,RF,abs_return_sum_4,0.04203710150425828,True
AG,1,1,RF,past_return_8,0.09162465493652926,True
AG,1,1,RF,volume_sum_8,0.052158465250540194,True
AG,1,1,RF,volume_max_8,0.05498905940427764,True
AG,1,1,RF,price_impact_proxy_8,0.0,True
AG,1,1,RF,return_autocov_8,0.0,True
AG,1,1,RF,abs_return_sum_8,0.04644820071772222,True
AG,1,1,RF,past_return_16,0.05800036774846944,True
AG,1,1,RF,volume_sum_16,0.03662576645079018,True
AG,1,1,RF,volume_max_16,0.040425296542211754,True
AG,1,1,RF,price_impact_proxy_16,0.0,True
AG,1,1,RF,return_autocov_16,0.0,True
AG,1,1,RF,abs_return_sum_16,0.04674872838968315,True
AG,1,2,LASSO,past_return_1,0.0,False
AG,1,2,LASSO,volume_sum_1,0.0,False
AG,1,2,LASSO,volume_max_1,0.0,False
AG,1,2,LASSO,price_impact_proxy_1,0.0,False
AG,1,2,LASSO,return_autocov_1,0.07416572954847166,True
AG,1,2,LASSO,abs_return_sum_1,0.0,False
AG,1,2,LASSO,past_return_2,0.0,False
AG,1,2,LASSO,volume_sum_2,0.0,False
AG,1,2,LASSO,volume_max_2,0.0,False
AG,1,2,LASSO,price_impact_proxy_2,0.0,False
AG,1,2,LASSO,return_autocov_2,0.0,False
AG,1,2,LASSO,abs_return_sum_2,0.0,False
AG,1,2,LASSO,past_return_4,0.002718427617378454,True
AG,1,2,LASSO,volume_sum_4,0.0,False
AG,1,2,LASSO,volume_max_4,0.0,False
AG,1,2,LASSO,price_impact_proxy_4,0.0,False
AG,1,2,LASSO,return_autocov_4,0.0,False
AG,1,2,LASSO,abs_return_sum_4,0.0,False
AG,1,2,LASSO,past_return_8,0.0,False
AG,1,2,LASSO,volume_sum_8,0.0,False
AG,1,2,LASSO,volume_max_8,0.0,False
AG,1,2,LASSO,price_impact_proxy_8,0.0,False
AG,1,2,LASSO,return_autocov_8,0.0,False
AG,1,2,LASSO,abs_return_sum_8,0.0,False
AG,1,2,LASSO,past_return_16,0.0,False
AG,1,2,LASSO,volume_sum_16,0.0,False
AG,1,2,LASSO,volume_max_16,0.0,False
AG,1,2,LASSO,price_impact_proxy_16,0.0,False
AG,1,2,LASSO,return_autocov_16,0.0,False
AG,1,2,LASSO,abs_return_sum_16,0.0,False
AG,1,2,RF,past_return_1,0.034997156689754526,True
AG,1,2,RF,volume_sum_1,0.03162291307689443,True
AG,1,2,RF,volume_max_1,0.0401220160217097,True
AG,1,2,RF,price_impact_proxy_1,0.0,True
AG,1,2,RF,return_autocov_1,0.0031956988734842856,True
AG,1,2,RF,abs_return_sum_1,0.03146183688721364,True
AG,1,2,RF,past_return_2,0.07362283136325867,True
AG,1,2,RF,volume_sum_2,0.0626010066904977,True
AG,1,2,RF,volume_max_2,0.04242680207583033,True
AG,1,2,RF,price_impact_proxy_2,0.0,True
AG,1,2,RF,return_autocov_2,0.0008907342626682959,True
AG,1,2,RF,abs_return_sum_2,0.04380733352096251,True
AG,1,2,RF,past_return_4,0.09314973908580976,True
AG,1,2,RF,volume_sum_4,0.04342125068831281,True
AG,1,2,RF,volume_max_4,0.04728903804244647,True
AG,1,2,RF,price_impact_proxy_4,0.0,True
AG,1,2,RF,return_autocov_4,0.0,True
AG,1,2,RF,abs_return_sum_4,0.04067011843342905,True
AG,1,2,RF,past_return_8,0.09839811650617086,True
AG,1,2,RF,volume_sum_8,0.04110426750649093,True
AG,1,2,RF,volume_max_8,0.049901071088039234,True
AG,1,2,RF,price_impact_proxy_8,0.0,True
AG,1,2,RF,return_autocov_8,0.0,True
AG,1,2,RF,abs_return_sum_8,0.03886440578791147,True
AG,1,2,RF,past_return_16,0.054948008141066824,True
AG,1,2,RF,volume_sum_16,0.038059462070276336,True
AG,1,2,RF,volume_max_16,0.04296671695679323,True
AG,1,2,RF,price_impact_proxy_16,0.0,True
AG,1,2,RF,return_autocov_16,0.0,True
AG,1,2,RF,abs_return_sum_16,0.04647947623097901,True
AG,1,3,LASSO,past_return_1,0.0,False
AG,1,3,LASSO,volume_sum_1,0.0,False
AG,1,3,LASSO,volume_max_1,0.0,False
AG,1,3,LASSO,price_impact_proxy_1,0.0,False
AG,1,3,LASSO,return_autocov_1,0.0,False
AG,1,3,LASSO,abs_return_sum_1,0.0,False
AG,1,3,LASSO,past_return_2,0.0,False
AG,1,3,LASSO,volume_sum_2,0.0,False
AG,1,3,LASSO,volume_max_2,0.0,False
AG,1,3,LASSO,price_impact_proxy_2,0.0,False
AG,1,3,LASSO,return_autocov_2,0.0,False
AG,1,3,LASSO,abs_return_sum_2,0.0,False
AG,1,3,LASSO,past_return_4,0.0,False
AG,1,3,LASSO,volume_sum_4,0.0,False
