instrument,horizon,fold,model,oos_r2,spearman_ic,gross_mean_all,gross_win_rate_all
AG,1,0,LASSO,0.0,,1.0820645096421483e-05,0.4519927536231884
AG,1,0,RF,-0.008765694208475283,-0.0065073305364525295,1.197944414405258e-05,0.4375
AG,1,1,LASSO,0.0,,1.7631633275789597e-05,0.43452380952380953
AG,1,1,RF,0.001035797231707436,0.029482130712447336,3.869660990962291e-06,0.42658730158730157
AG,1,2,LASSO,0.0010044742717872923,0.01688107893721215,5.523080547849626e-05,0.4974721941354904
AG,1,2,RF,-0.012142399475376653,-0.042227638577624835,4.454559174513388e-06,0.46814964610717896
AG,1,3,LASSO,0.0,,4.731812579651091e-06,0.48284313725490197
AG,1,3,RF,-8.323582362357307e-05,0.039684009928236,4.085360265007473e-05,0.48651960784313725
AG,1,4,LASSO,0.0,0.030745881158055488,9.985670008007498e-05,0.5291113381001021
AG,1,4,RF,-0.00926234610067711,-0.006036460412231338,3.5591002123017295e-06,0.48314606741573035
AG,1,5,LASSO,0.0,-0.0036866800889648835,6.493767534285299e-05,0.5351976856316297
AG,1,5,RF,-0.0028695339792059738,0.006972683390293,4.796783407330682e-05,0.5226615236258437
AG,1,6,LASSO,0.0,,0.0001234960211939885,0.5270833333333333
AG,1,6,RF,0.00041944987241548937,-0.021843216600206983,0.00015481133117980586,0.5020833333333333
AG,1,7,LASSO,-0.036231792466693724,-0.037775744256456446,-0.00022025153503110864,0.4375
AG,1,7,RF,-0.017088831575241104,-0.07331748259481767,-3.881978130676851e-05,0.44871794871794873
AG,1,8,LASSO,0.0,,5.106621124562205e-05,0.5004651162790698
AG,1,8,RF,-0.009446340730463021,-0.008374067134354284,6.241550315051201e-05,0.4790697674418605
AG,1,9,LASSO,0.0,,2.881262894484637e-06,0.48600223964165734
AG,1,9,RF,-0.008333605531948729,-0.07072875557848242,-6.520869153637656e-05,0.4658454647256439
AG,1,10,LASSO,0.0,0.03608268454113755,9.417213936957744e-05,0.5175537938844847
AG,1,10,RF,-0.003926837075162171,-0.003265134371113683,8.983502745185655e-05,0.5028312570781427
AG,1,11,LASSO,-0.020831013690027822,0.06290761241246214,-5.7967055800972845e-06,0.515625
AG,1,11,RF,-0.013657449116955434,-0.015224553804230196,-5.874255786762865e-05,0.490625
AG,1,12,LASSO,0.0,,6.109689558079474e-06,0.47096774193548385
AG,1,12,RF,-0.0005194248149948955,-0.009946728836539081,1.5814655036801006e-05,0.46543778801843316
AG,1,13,LASSO,0.0,-0.037947575277578145,-1.709633503976458e-05,0.48685491723466406
