instrument,horizon,model,folds,median_oos_r2,mean_oos_r2,median_ic,positive_ic_fold_share
AG,1,LASSO,14,0.0,-0.004004166563209589,0.01688107893721215,0.2857142857142857
AG,1,RF,14,-0.00613022130355545,-0.0056493673266892,-0.007440698835403407,0.2857142857142857
AG,3,LASSO,14,0.0,-0.0036312992834158946,0.003076628831152636,0.35714285714285715
AG,3,RF,14,-0.007218461141938581,-0.010819770158677506,0.004145093387051207,0.5714285714285714
AL,1,LASSO,12,0.0,-0.007422729002476092,-0.0012205100835941706,0.4166666666666667
AL,1,RF,12,-0.008697041245642967,-0.007939959212740155,0.003916590636155378,0.5833333333333334
AL,3,LASSO,10,0.0,-0.01201018355353114,-0.0282835687377402,0.1
AL,3,RF,10,-0.01431147059730753,-0.022418937516442937,0.029471464600413125,0.6
AU,1,LASSO,14,0.0,-0.002081353619985523,-0.0030115917925963393,0.07142857142857142
AU,1,RF,14,-0.005708984462701183,-0.005265849974335078,0.03586522418177676,0.8571428571428571
AU,3,LASSO,14,0.0,4.0306414692659054e-05,0.06219956904024312,0.14285714285714285
AU,3,RF,14,-0.007087568927951593,-0.009336698679885918,0.037139229009733314,0.7857142857142857
CU,1,LASSO,12,-0.0030406974240365647,-0.0018450373233275252,-0.0030984980406087515,0.3333333333333333
CU,1,RF,12,-0.004196175738945929,-0.00549699001202041,-0.0034479869643395528,0.5
CU,3,LASSO,10,-0.014565249305356076,-0.015069283750538976,-0.01553414739633878,0.2
CU,3,RF,10,-0.01926484100542769,-0.019935240277772902,0.009669756938986182,0.6
NI,1,LASSO,12,0.0,-0.0006324247045171871,0.031591787370104256,0.75
NI,1,RF,12,-0.0019889987790638886,-0.0036067858633201666,0.03723064819742967,0.75
NI,3,LASSO,10,0.0,-0.002232388766413873,-0.02007111827926711,0.1
NI,3,RF,10,-0.007958997143284408,-0.01289652319379606,0.004902018650153314,0.5
SC,1,LASSO,14,0.0,-0.0006364659696015328,-0.008628340884909227,0.35714285714285715
SC,1,RF,14,-0.0012038841625841012,-0.001302777681767675,0.006724855480938053,0.5714285714285714
SC,3,LASSO,14,0.0,0.00011636212924358886,-0.017040399073856426,0.14285714285714285
SC,3,RF,14,-0.001786630605581374,-0.0040855204343216356,0.01554527512301472,0.5714285714285714
SN,1,LASSO,12,0.0,-5.593671105804295e-05,0.009145811448964127,0.3333333333333333
SN,1,RF,12,-0.00814598673734579,-0.005126355287668731,-0.01384075164939867,0.3333333333333333
SN,3,LASSO,10,0.0,0.0,0.03677076708416047,0.2
SN,3,RF,10,-0.02429304945740729,-0.026178080428697115,0.0036611171863061695,0.6
