instrument,horizon,folds,median_rf_minus_lasso_r2,rf_better_r2_fold_share,median_rf_minus_lasso_ic,rf_better_ic_fold_share
AG,1,14,-0.0016944793971004346,0.35714285714285715,-0.03678234157028683,0.14285714285714285
AG,3,14,-0.007675509094566102,0.14285714285714285,-0.007100833278288556,0.21428571428571427
AL,1,12,-0.002042034170877838,0.4166666666666667,0.013379541318877442,0.5
AL,3,10,-0.0008895033709872546,0.3,0.11575930572788769,0.3
AU,1,14,-0.0042383286123752195,0.21428571428571427,0.03614645102738531,0.2857142857142857
AU,3,14,-0.007087568927951593,0.21428571428571427,0.030599043895039358,0.14285714285714285
CU,1,12,-0.002056202870104884,0.4166666666666667,-0.0031125952001927644,0.4166666666666667
CU,3,10,-0.0009533038244760594,0.5,0.02248661736596777,0.6
NI,1,12,-0.0019889987790638886,0.3333333333333333,0.004439705623232544,0.5
NI,3,10,-0.006023515509216759,0.2,0.04383201829299106,0.4
SC,1,14,0.0004611112077831936,0.5714285714285714,-0.014073120394887818,0.35714285714285715
SC,3,14,-0.001786630605581374,0.5,0.0521262092612475,0.42857142857142855
SN,1,12,-0.00814598673734579,0.25,-0.03572221409660285,0.16666666666666666
SN,3,10,-0.02429304945740729,0.2,0.0017586168088884295,0.1
