目标,视图,目标类型,模型,分层,状态数,真实有利比例,AUC,真实平均
1.5R,S0_CURRENT,A,LightGBM,R<-0.75,634,0.8423,0.5205,-0.091457
1.5R,S0_CURRENT,A,LightGBM,-0.75~-0.50,2130,0.7446,0.5228,-0.040483
1.5R,S0_CURRENT,A,LightGBM,-0.50~-0.25,3697,0.6354,0.4964,-0.016091
1.5R,S0_CURRENT,A,LightGBM,-0.25~0,2999,0.5762,0.4885,0.002496
1.5R,S0_CURRENT,A,LightGBM,0~0.25,6122,0.5235,0.4821,0.060227
1.5R,S0_CURRENT,A,LightGBM,0.25~0.50,4735,0.442,0.5285,0.02824
1.5R,S0_CURRENT,A,LightGBM,0.50~1.00,6112,0.3622,0.5145,0.021433
1.5R,S0_CURRENT,A,LightGBM,R>=1.00,1765,0.2164,0.5072,0.085182
1.5R,S0_CURRENT,A,线性,R<-0.75,634,0.8423,0.4721,-0.091457
1.5R,S0_CURRENT,A,线性,-0.75~-0.50,2130,0.7446,0.4568,-0.040483
1.5R,S0_CURRENT,A,线性,-0.50~-0.25,3697,0.6354,0.4788,-0.016091
1.5R,S0_CURRENT,A,线性,-0.25~0,2999,0.5762,0.483,0.002496
1.5R,S0_CURRENT,A,线性,0~0.25,6122,0.5235,0.485,0.060227
1.5R,S0_CURRENT,A,线性,0.25~0.50,4735,0.442,0.5428,0.02824
1.5R,S0_CURRENT,A,线性,0.50~1.00,6112,0.3622,0.5251,0.021433
1.5R,S0_CURRENT,A,线性,R>=1.00,1765,0.2164,0.5068,0.085182
1.5R,S0_CURRENT,B,LightGBM,R<-0.75,634,0.3265,0.4989,0.259543
1.5R,S0_CURRENT,B,LightGBM,-0.75~-0.50,2130,0.4662,0.4925,0.314662
1.5R,S0_CURRENT,B,LightGBM,-0.50~-0.25,3697,0.5948,0.4946,0.4314
1.5R,S0_CURRENT,B,LightGBM,-0.25~0,2999,0.6732,0.5002,0.486732
1.5R,S0_CURRENT,B,LightGBM,0~0.25,6122,0.6777,0.5098,0.462495
1.5R,S0_CURRENT,B,LightGBM,0.25~0.50,4735,0.7014,0.458,0.450549
1.5R,S0_CURRENT,B,LightGBM,0.50~1.00,6112,0.7302,0.4748,0.360102
1.5R,S0_CURRENT,B,LightGBM,R>=1.00,1765,0.7943,0.4691,0.139106
1.5R,S1_PATH_ONLY,A,LightGBM,R<-0.75,634,0.8423,0.4403,-0.091457
1.5R,S1_PATH_ONLY,A,LightGBM,-0.75~-0.50,2130,0.7446,0.5009,-0.040483
1.5R,S1_PATH_ONLY,A,LightGBM,-0.50~-0.25,3697,0.6354,0.4895,-0.016091
1.5R,S1_PATH_ONLY,A,LightGBM,-0.25~0,2999,0.5762,0.4818,0.002496
1.5R,S1_PATH_ONLY,A,LightGBM,0~0.25,6122,0.5235,0.4959,0.060227
1.5R,S1_PATH_ONLY,A,LightGBM,0.25~0.50,4735,0.442,0.5092,0.02824
1.5R,S1_PATH_ONLY,A,LightGBM,0.50~1.00,6112,0.3622,0.5084,0.021433
1.5R,S1_PATH_ONLY,A,LightGBM,R>=1.00,1765,0.2164,0.5246,0.085182
1.5R,S1_PATH_ONLY,A,线性,R<-0.75,634,0.8423,0.4198,-0.091457
1.5R,S1_PATH_ONLY,A,线性,-0.75~-0.50,2130,0.7446,0.4842,-0.040483
1.5R,S1_PATH_ONLY,A,线性,-0.50~-0.25,3697,0.6354,0.4863,-0.016091
1.5R,S1_PATH_ONLY,A,线性,-0.25~0,2999,0.5762,0.4892,0.002496
1.5R,S1_PATH_ONLY,A,线性,0~0.25,6122,0.5235,0.4797,0.060227
1.5R,S1_PATH_ONLY,A,线性,0.25~0.50,4735,0.442,0.5093,0.02824
1.5R,S1_PATH_ONLY,A,线性,0.50~1.00,6112,0.3622,0.514,0.021433
1.5R,S1_PATH_ONLY,A,线性,R>=1.00,1765,0.2164,0.4807,0.085182
1.5R,S1_PATH_ONLY,B,LightGBM,R<-0.75,634,0.3265,0.4684,0.259543
1.5R,S1_PATH_ONLY,B,LightGBM,-0.75~-0.50,2130,0.4662,0.5249,0.314662
1.5R,S1_PATH_ONLY,B,LightGBM,-0.50~-0.25,3697,0.5948,0.4782,0.4314
1.5R,S1_PATH_ONLY,B,LightGBM,-0.25~0,2999,0.6732,0.4932,0.486732
1.5R,S1_PATH_ONLY,B,LightGBM,0~0.25,6122,0.6777,0.4812,0.462495
1.5R,S1_PATH_ONLY,B,LightGBM,0.25~0.50,4735,0.7014,0.4697,0.450549
1.5R,S1_PATH_ONLY,B,LightGBM,0.50~1.00,6112,0.7302,0.4621,0.360102
1.5R,S1_PATH_ONLY,B,LightGBM,R>=1.00,1765,0.7943,0.5137,0.139106
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,R<-0.75,634,0.8423,0.452,-0.091457
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.75~-0.50,2130,0.7446,0.4923,-0.040483
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.50~-0.25,3697,0.6354,0.4913,-0.016091
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.25~0,2999,0.5762,0.4703,0.002496
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,0~0.25,6122,0.5235,0.4761,0.060227
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,0.25~0.50,4735,0.442,0.5076,0.02824
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,0.50~1.00,6112,0.3622,0.5035,0.021433
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,R>=1.00,1765,0.2164,0.4901,0.085182
1.5R,S2_CURRENT_PLUS_PATH,A,线性,R<-0.75,634,0.8423,0.4625,-0.091457
1.5R,S2_CURRENT_PLUS_PATH,A,线性,-0.75~-0.50,2130,0.7446,0.4596,-0.040483
1.5R,S2_CURRENT_PLUS_PATH,A,线性,-0.50~-0.25,3697,0.6354,0.4821,-0.016091
1.5R,S2_CURRENT_PLUS_PATH,A,线性,-0.25~0,2999,0.5762,0.488,0.002496
1.5R,S2_CURRENT_PLUS_PATH,A,线性,0~0.25,6122,0.5235,0.4843,0.060227
1.5R,S2_CURRENT_PLUS_PATH,A,线性,0.25~0.50,4735,0.442,0.5415,0.02824
1.5R,S2_CURRENT_PLUS_PATH,A,线性,0.50~1.00,6112,0.3622,0.5243,0.021433
1.5R,S2_CURRENT_PLUS_PATH,A,线性,R>=1.00,1765,0.2164,0.5058,0.085182
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,R<-0.75,634,0.3265,0.4887,0.259543
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.75~-0.50,2130,0.4662,0.4954,0.314662
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.50~-0.25,3697,0.5948,0.4967,0.4314
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.25~0,2999,0.6732,0.501,0.486732
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,0~0.25,6122,0.6777,0.4989,0.462495
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,0.25~0.50,4735,0.7014,0.456,0.450549
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,0.50~1.00,6112,0.7302,0.4834,0.360102
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,R>=1.00,1765,0.7943,0.4823,0.139106
2.0R,S0_CURRENT,A,LightGBM,R<-0.75,662,0.8414,0.4819,-0.089396
2.0R,S0_CURRENT,A,LightGBM,-0.75~-0.50,2209,0.7501,0.5051,-0.038849
2.0R,S0_CURRENT,A,LightGBM,-0.50~-0.25,3890,0.6388,0.4802,-0.03789
2.0R,S0_CURRENT,A,LightGBM,-0.25~0,3159,0.5856,0.4893,-0.005708
2.0R,S0_CURRENT,A,LightGBM,0~0.25,6597,0.5418,0.4751,0.057042
2.0R,S0_CURRENT,A,LightGBM,0.25~0.50,5331,0.4828,0.5135,0.011256
2.0R,S0_CURRENT,A,LightGBM,0.50~1.00,7802,0.4437,0.5096,0.00977
2.0R,S0_CURRENT,A,LightGBM,R>=1.00,5335,0.298,0.513,-0.027832
2.0R,S0_CURRENT,A,线性,R<-0.75,662,0.8414,0.4811,-0.089396
2.0R,S0_CURRENT,A,线性,-0.75~-0.50,2209,0.7501,0.462,-0.038849
