目标,退出方式,品种,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
1.5R,S0_CURRENT-B-LightGBM,CU,F4,-0.6052,-2.0928,0.9062,0.7379687011641394,202,-39.2587,-0.19435,0.0149,1.0446
1.5R,S0_CURRENT-B-LightGBM,M,F4,-0.5146,-1.7474,0.8679,0.763417930803093,202,-35.4458,-0.175474,0.005,0.6089
1.5R,S0_CURRENT-B-LightGBM,RB,F4,-0.5214,-1.7692,0.8747,0.760525564098308,202,-35.8792,-0.17762,0.0,0.0297
1.5R,S1_PATH_ONLY-A-LightGBM,AG,F1,0.6118,2.1359,0.6701,1.075293683560964,559,22.2503,0.039804,0.127,0.8193
1.5R,S1_PATH_ONLY-A-LightGBM,CU,F1,0.1813,0.5403,0.8108,1.0023614009088873,559,0.7211,0.00129,0.1431,0.5939
1.5R,S1_PATH_ONLY-A-LightGBM,M,F1,1.0231,2.6903,0.5952,1.1120067017237096,559,34.2448,0.061261,0.0572,0.3274
1.5R,S1_PATH_ONLY-A-LightGBM,RB,F1,0.4085,1.2251,0.8044,1.0303907663446306,559,9.3932,0.016803,0.1073,0.3059
1.5R,S1_PATH_ONLY-A-LightGBM,AG,F2,1.2185,2.8973,0.8855,1.1898067796663498,714,69.6384,0.097533,0.091,0.8655
1.5R,S1_PATH_ONLY-A-LightGBM,CU,F2,1.0605,2.5992,1.0762,1.1627428548813583,714,59.0219,0.082664,0.1261,1.1162
1.5R,S1_PATH_ONLY-A-LightGBM,M,F2,1.1111,2.7258,0.9896,1.1500633899621917,714,56.5102,0.079146,0.0574,0.4692
1.5R,S1_PATH_ONLY-A-LightGBM,RB,F2,1.1745,2.7034,1.0616,1.1639571758987595,714,62.9301,0.088137,0.021,0.1933
1.5R,S1_PATH_ONLY-A-LightGBM,AG,F3,0.4456,2.3972,0.3165,1.1880962207960977,139,13.374,0.096216,0.1079,0.3525
1.5R,S1_PATH_ONLY-A-LightGBM,CU,F3,-0.052,-0.3567,0.4892,0.8896626965474398,139,-7.4719,-0.053755,0.295,1.1727
1.5R,S1_PATH_ONLY-A-LightGBM,M,F3,0.4633,2.1819,0.4117,1.1860800131895106,139,14.0486,0.101069,0.0216,0.2806
1.5R,S1_PATH_ONLY-A-LightGBM,RB,F3,0.5382,2.5391,0.354,1.2443182043794896,139,18.0482,0.129843,0.0144,0.0432
1.5R,S1_PATH_ONLY-A-LightGBM,AG,F4,-0.5084,-1.7536,0.8473,0.7588223361134796,202,-35.2356,-0.174434,0.0941,1.2426
