目标,退出方式,品种,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
2.0R,S1_PATH_ONLY-A-线性,RB,F1,0.5213,1.4352,0.6987,1.055976831749242,559,19.1584,0.034273,0.0143,0.873
2.0R,S1_PATH_ONLY-A-线性,AG,F2,1.1142,2.1854,1.2253,1.1808796160903834,714,75.227,0.10536,0.0266,1.4314
2.0R,S1_PATH_ONLY-A-线性,CU,F2,0.9709,1.968,1.1754,1.1547814412597825,714,64.4584,0.090278,0.0602,1.7955
2.0R,S1_PATH_ONLY-A-线性,M,F2,1.1209,2.2606,1.2005,1.1806096603678793,714,75.0813,0.105156,0.0154,0.7451
2.0R,S1_PATH_ONLY-A-线性,RB,F2,1.0785,2.1297,1.1997,1.1698394542790747,714,70.862,0.099247,0.0098,0.3347
2.0R,S1_PATH_ONLY-A-线性,AG,F3,0.4456,2.2842,0.3213,1.2332963443253664,139,17.8908,0.128711,0.0647,0.8633
2.0R,S1_PATH_ONLY-A-线性,CU,F3,0.1264,0.6977,0.4953,1.0020839845311793,139,0.1636,0.001177,0.2374,2.518
2.0R,S1_PATH_ONLY-A-线性,M,F3,0.2962,1.4486,0.47,1.1240934762829735,139,9.8886,0.071141,0.0144,0.3669
2.0R,S1_PATH_ONLY-A-线性,RB,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453,0.0,0.0791
2.0R,S1_PATH_ONLY-A-线性,AG,F4,-0.4798,-1.6435,0.8176,0.7862686220905373,202,-33.4637,-0.165662,0.0149,1.6287
2.0R,S1_PATH_ONLY-A-线性,CU,F4,-0.3939,-1.3336,0.7319,0.8153703924951561,202,-28.7226,-0.142191,0.0198,1.5396
2.0R,S1_PATH_ONLY-A-线性,M,F4,-0.4755,-1.6232,0.8127,0.7860075341581595,202,-33.5045,-0.165864,0.0099,0.7079
2.0R,S1_PATH_ONLY-A-线性,RB,F4,-0.4665,-1.5976,0.8037,0.7897535896844092,202,-32.918,-0.16296,0.0,0.0297
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F1,1.0706,3.1817,0.6659,1.1550117428537339,559,46.0931,0.082456,0.1538,0.8605
