目标,视图,目标类型,模型,样本数,AUC,准确率,正类精确率,正类召回率,负类精确率,负类召回率,预测EXIT组真实值,预测HOLD组真实值,两组差值
1.5R,S0_CURRENT,A,LightGBM,27502,0.4522,0.4633,0.4746,0.444,0.4529,0.4836,0.042568,0.001845,0.040723
1.5R,S0_CURRENT,A,线性,27502,0.4699,0.4806,0.491,0.3754,0.4739,0.5912,0.052088,0.001579,0.050508
1.5R,S0_CURRENT,B,LightGBM,26534,0.5096,0.3155,0.7006,0.055,0.2929,0.9433,0.178367,0.440439,-0.262073
1.5R,S1_PATH_ONLY,A,LightGBM,27502,0.466,0.4801,0.4798,0.1749,0.4801,0.8007,0.0259,0.020322,0.005578
1.5R,S1_PATH_ONLY,A,线性,27502,0.4182,0.4753,0.4017,0.0493,0.4802,0.9228,0.053442,0.019211,0.034231
1.5R,S1_PATH_ONLY,B,LightGBM,26534,0.4848,0.2952,0.5699,0.0115,0.2913,0.9791,0.057216,0.431233,-0.374017
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,27502,0.4447,0.4619,0.4736,0.4506,0.4508,0.4738,0.023404,0.019424,0.00398
1.5R,S2_CURRENT_PLUS_PATH,A,线性,27502,0.4718,0.4803,0.4906,0.3746,0.4736,0.5913,0.048969,0.003625,0.045344
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,26534,0.5054,0.3113,0.6775,0.0487,0.2917,0.9441,0.140683,0.441168,-0.300485
2.0R,S0_CURRENT,A,LightGBM,33909,0.4487,0.4582,0.4815,0.4572,0.4351,0.4593,-0.002401,0.005517,-0.007918
2.0R,S0_CURRENT,A,线性,33909,0.4742,0.4798,0.5038,0.4191,0.4614,0.5466,0.039135,-0.027382,0.066517
2.0R,S0_CURRENT,B,LightGBM,32866,0.4932,0.3043,0.6741,0.0437,0.2864,0.9478,0.167607,0.524307,-0.3567
2.0R,S1_PATH_ONLY,A,LightGBM,33909,0.463,0.4737,0.4926,0.183,0.4691,0.793,0.030771,-0.005463,0.036235
2.0R,S1_PATH_ONLY,A,线性,33909,0.4166,0.4656,0.4081,0.0467,0.4692,0.9257,0.003547,0.001457,0.002091
2.0R,S1_PATH_ONLY,B,LightGBM,32866,0.4661,0.2902,0.5687,0.0115,0.2861,0.9785,0.073995,0.514188,-0.440194
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,33909,0.4579,0.466,0.4889,0.4462,0.445,0.4876,0.021464,-0.016606,0.03807
2.0R,S2_CURRENT_PLUS_PATH,A,线性,33909,0.4762,0.4823,0.5066,0.4222,0.4636,0.5485,0.042519,-0.030086,0.072606
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,32866,0.4839,0.3014,0.6493,0.0404,0.2853,0.9461,0.136644,0.525073,-0.388429
2.5R,S0_CURRENT,A,LightGBM,37870,0.4563,0.4722,0.5101,0.4941,0.4309,0.4467,0.013436,-0.013503,0.026939
2.5R,S0_CURRENT,A,线性,37870,0.4709,0.4752,0.5148,0.4361,0.4419,0.5208,0.026424,-0.021146,0.047571
2.5R,S0_CURRENT,B,LightGBM,36804,0.4712,0.2983,0.6089,0.0356,0.2848,0.9438,0.104807,0.585572,-0.480765
2.5R,S1_PATH_ONLY,A,LightGBM,37870,0.4693,0.462,0.5008,0.1834,0.4524,0.7869,0.025955,-0.005693,0.031648
2.5R,S1_PATH_ONLY,A,线性,37870,0.4256,0.4514,0.4363,0.065,0.4528,0.902,0.02118,-0.001255,0.022435
2.5R,S1_PATH_ONLY,B,LightGBM,36804,0.4485,0.2899,0.5196,0.0132,0.2857,0.97,0.010332,0.575801,-0.565469
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,37870,0.4556,0.4746,0.5127,0.4829,0.4353,0.4649,0.026393,-0.026034,0.052427
2.5R,S2_CURRENT_PLUS_PATH,A,线性,37870,0.4719,0.4752,0.5148,0.4374,0.4418,0.5192,0.024994,-0.020066,0.04506
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,36804,0.4682,0.2955,0.5897,0.0289,0.2848,0.9506,0.077155,0.583227,-0.506072
