目标,视图,目标类型,模型,状态数,皮尔逊,斯皮尔曼,MAE,RMSE
1.5R,S0_CURRENT,A,LightGBM,28194,0.0158,0.013,0.966919,1.174302
1.5R,S0_CURRENT,A,线性,28194,0.0126,0.0148,0.952188,1.169373
1.5R,S0_CURRENT,B,LightGBM,28194,0.08,0.0994,0.641837,0.824672
1.5R,S1_PATH_ONLY,A,LightGBM,28194,0.0043,0.0034,0.940794,1.154094
1.5R,S1_PATH_ONLY,A,线性,28194,0.0018,-0.0036,0.939568,1.146797
1.5R,S1_PATH_ONLY,B,LightGBM,28194,0.1268,0.1481,0.619118,0.811495
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,28194,-0.0086,-0.0104,0.970822,1.181724
1.5R,S2_CURRENT_PLUS_PATH,A,线性,28194,0.0117,0.0138,0.95248,1.172984
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,28194,0.0817,0.0997,0.640881,0.822586
2.0R,S0_CURRENT,A,LightGBM,34985,0.0093,-0.0114,1.0373,1.290433
2.0R,S0_CURRENT,A,线性,34985,0.0086,0.0137,1.016571,1.280699
2.0R,S0_CURRENT,B,LightGBM,34985,0.1179,0.1234,0.700028,0.90095
2.0R,S1_PATH_ONLY,A,LightGBM,34985,0.0044,-0.0099,1.003512,1.259414
2.0R,S1_PATH_ONLY,A,线性,34985,-0.0004,-0.0325,1.001334,1.252609
2.0R,S1_PATH_ONLY,B,LightGBM,34985,0.1608,0.1666,0.683282,0.887169
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,34985,0.0202,0.0039,1.032447,1.285565
2.0R,S2_CURRENT_PLUS_PATH,A,线性,34985,0.0091,0.0143,1.016336,1.281343
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,34985,0.1293,0.1363,0.696736,0.896969
2.5R,S0_CURRENT,A,LightGBM,39221,0.0061,-0.0139,1.082346,1.377174
2.5R,S0_CURRENT,A,线性,39221,0.0009,-0.0025,1.063397,1.363483
2.5R,S0_CURRENT,B,LightGBM,39221,0.1352,0.1358,0.754297,0.979326
2.5R,S1_PATH_ONLY,A,LightGBM,39221,0.0085,-0.0148,1.052535,1.346922
2.5R,S1_PATH_ONLY,A,线性,39221,-0.0027,-0.0493,1.050415,1.34085
2.5R,S1_PATH_ONLY,B,LightGBM,39221,0.181,0.1797,0.741313,0.964267
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,39221,-0.0026,-0.0145,1.084209,1.379294
2.5R,S2_CURRENT_PLUS_PATH,A,线性,39221,0.0009,-0.0037,1.063399,1.363888
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,39221,0.1398,0.1436,0.752721,0.977649
