目标,退出方式,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
2.5R,S0_CURRENT-A-线性,F3,-0.3628,-2.5034,0.599,0.7198433985199881,206,-24.0901,-0.116942,0.6117,1.7184
2.5R,S0_CURRENT-A-线性,F4,-0.6137,-2.2767,0.8447,0.6944242354872457,202,-42.9578,-0.212662,0.3267,3.3564
2.5R,S0_CURRENT-B-LightGBM,F1,1.1349,2.9016,0.5957,1.1417617387997694,559,48.9324,0.087536,0.2004,4.5027
2.5R,S0_CURRENT-B-LightGBM,F2,1.7286,2.9737,0.9956,1.239089431387282,714,101.7295,0.142478,0.1569,4.9328
2.5R,S0_CURRENT-B-LightGBM,F3,0.3876,1.4257,0.7777,1.1424360927707617,206,17.7637,0.086232,0.1214,4.835
2.5R,S0_CURRENT-B-LightGBM,F4,-0.6629,-2.1273,1.08,0.7002081166314654,202,-49.4772,-0.244937,0.0891,4.5891
2.5R,S1_PATH_ONLY-A-LightGBM,F1,0.2862,0.898,0.799,1.0247196064795947,559,6.5511,0.011719,0.483,2.5331
2.5R,S1_PATH_ONLY-A-LightGBM,F2,0.9436,2.6614,0.5957,1.1383682320784383,714,50.4046,0.070595,0.402,3.4132
2.5R,S1_PATH_ONLY-A-LightGBM,F3,-0.6821,-4.2543,0.8393,0.6905045230225462,206,-30.3894,-0.147521,0.5388,2.3786
2.5R,S1_PATH_ONLY-A-LightGBM,F4,-0.8558,-2.9574,1.0926,0.599637940915196,202,-59.3819,-0.29397,0.3168,3.6535
2.5R,S1_PATH_ONLY-A-线性,F1,0.8165,2.1552,0.6864,1.1090316782212422,559,37.2407,0.06662,0.1664,4.3918
2.5R,S1_PATH_ONLY-A-线性,F2,1.1643,2.47,1.0678,1.1732363618034807,714,73.7062,0.10323,0.1723,4.7871
2.5R,S1_PATH_ONLY-A-线性,F3,0.0819,0.3841,0.6473,1.0367948183401323,206,4.4785,0.021741,0.3058,3.9612
2.5R,S1_PATH_ONLY-A-线性,F4,-0.6488,-2.0968,1.0453,0.7076258662625364,202,-48.253,-0.238876,0.0545,4.6139
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,F1,1.0639,2.9174,0.857,1.1313094355028384,559,30.2463,0.054108,0.5456,2.2594
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,F2,1.8621,3.7839,0.5938,1.354592205382255,714,104.8424,0.146838,0.5322,2.8543
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,F3,-0.1617,-0.9297,0.6586,0.9031824312083191,206,-10.0588,-0.048829,0.4612,2.9951
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,F4,-0.3091,-1.1403,0.6975,0.7926332447554356,202,-24.7385,-0.122468,0.4901,2.5248
2.5R,S2_CURRENT_PLUS_PATH-A-线性,F1,0.9262,2.5919,0.5083,1.1342494616559962,559,39.1784,0.070087,0.2844,3.3918
2.5R,S2_CURRENT_PLUS_PATH-A-线性,F2,1.1307,2.7152,0.6434,1.1943623426308358,714,52.8163,0.073972,0.5784,2.2129
2.5R,S2_CURRENT_PLUS_PATH-A-线性,F3,-0.3299,-2.2425,0.5882,0.7410563024446084,206,-22.331,-0.108403,0.6165,1.6699
2.5R,S2_CURRENT_PLUS_PATH-A-线性,F4,-0.6308,-2.3521,0.8415,0.6917157956152392,202,-43.6468,-0.216073,0.3267,3.3812
