目标,视图,目标类型,模型,状态数,真实EXIT有利比例,AUC,准确率,正类精确率,正类召回率,负类精确率,负类召回率,预测EXIT组真实值,预测HOLD组真实值
1.5R,S0_CURRENT,A,LightGBM,634,0.8423,0.5205,0.3586,0.8556,0.2884,0.1611,0.7374,-0.034299,-0.114371
1.5R,S0_CURRENT,A,线性,634,0.8423,0.4721,0.3017,0.8433,0.2116,0.1563,0.7879,-0.023007,-0.110022
1.5R,S0_CURRENT,B,LightGBM,634,0.3265,0.4989,0.6576,0.3636,0.0386,0.6683,0.9663,0.362363,0.260964
1.5R,S1_PATH_ONLY,A,LightGBM,634,0.8423,0.4403,0.237,0.8,0.1273,0.1496,0.8283,-0.18983,-0.076366
1.5R,S1_PATH_ONLY,A,线性,634,0.8423,0.4198,0.1532,0.0,0.0,0.1537,0.9798,-1.197569,-0.088096
1.5R,S1_PATH_ONLY,B,LightGBM,634,0.3265,0.4684,0.6431,0.2414,0.0338,0.6627,0.947,0.096405,0.272774
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,634,0.8423,0.452,0.3476,0.827,0.2865,0.1496,0.6768,-0.135388,-0.073521
1.5R,S2_CURRENT_PLUS_PATH,A,线性,634,0.8423,0.4625,0.3049,0.831,0.221,0.1527,0.7576,-0.078361,-0.095431
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,634,0.3265,0.4887,0.6495,0.3226,0.0483,0.6667,0.9494,0.352699,0.259927
2.0R,S0_CURRENT,A,LightGBM,662,0.8414,0.4819,0.346,0.8214,0.289,0.1447,0.6569,-0.069289,-0.098487
2.0R,S0_CURRENT,A,线性,662,0.8414,0.4811,0.3369,0.8659,0.2549,0.1616,0.7843,-0.023728,-0.111695
2.0R,S0_CURRENT,B,LightGBM,662,0.3323,0.5004,0.6502,0.2308,0.0136,0.6588,0.9767,0.204412,0.291782
2.0R,S1_PATH_ONLY,A,LightGBM,662,0.8414,0.4046,0.2109,0.7606,0.0969,0.1446,0.8333,-0.235897,-0.072162
2.0R,S1_PATH_ONLY,A,线性,662,0.8414,0.3965,0.1548,,0.0,0.1548,1.0,,-0.089803
2.0R,S1_PATH_ONLY,B,LightGBM,662,0.3323,0.5097,0.6549,0.4167,0.0455,0.664,0.9674,0.233888,0.292188
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,662,0.8414,0.4759,0.3263,0.8087,0.2657,0.1408,0.6569,-0.114409,-0.080343
2.0R,S2_CURRENT_PLUS_PATH,A,线性,662,0.8414,0.4764,0.3596,0.8689,0.2855,0.1639,0.7647,-0.012557,-0.1195
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,662,0.3323,0.4816,0.6533,0.3684,0.0318,0.6619,0.972,0.299593,0.289743
2.5R,S0_CURRENT,A,LightGBM,670,0.8418,0.5184,0.3628,0.8717,0.289,0.1646,0.767,-0.034627,-0.111999
2.5R,S0_CURRENT,A,线性,670,0.8418,0.4913,0.3448,0.8671,0.266,0.1619,0.7767,-0.036061,-0.109304
2.5R,S0_CURRENT,B,LightGBM,670,0.3328,0.5366,0.6454,0.2727,0.0269,0.6583,0.9631,0.186425,0.305803
2.5R,S1_PATH_ONLY,A,LightGBM,670,0.8418,0.4111,0.1904,0.7609,0.0621,0.1481,0.8932,-0.198481,-0.082294
2.5R,S1_PATH_ONLY,A,线性,670,0.8418,0.382,0.1529,0.0,0.0,0.1532,0.9903,-0.80172,-0.089239
2.5R,S1_PATH_ONLY,B,LightGBM,670,0.3328,0.4964,0.6591,0.4762,0.0448,0.6651,0.9747,0.354439,0.300067
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,670,0.8418,0.5073,0.3163,0.8699,0.2252,0.1612,0.8155,-0.012459,-0.112122
2.5R,S2_CURRENT_PLUS_PATH,A,线性,670,0.8418,0.4875,0.3523,0.8548,0.2819,0.158,0.7379,-0.056684,-0.103309
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,670,0.3328,0.4936,0.6332,0.125,0.0135,0.6524,0.9516,0.129362,0.308343
