特征,重要性,分组
bg_target_fit_swing_15m,3970,现有状态
bg_stop_structure_swing_1h,3863,现有状态
bg_target_fit_internal_15m,3820,现有状态
bg_target_fit_swing_1h,3720,现有状态
bg_stop_structure_swing_15m,3716,现有状态
bg_target_fit_ob_1h,3692,现有状态
bg_stop_structure_internal_15m,3684,现有状态
bg_target_fit_internal_5m,3618,现有状态
bg_target_fit_ob_15m,3473,现有状态
bg_stop_structure_ob_15m,3447,现有状态
bg_target_fit_ob_5m,3433,现有状态
bg_stop_structure_ob_1h,3374,现有状态
bg_stop_structure_ob_5m,3338,现有状态
bg_target_fit_swing_5m,3272,现有状态
bg_stop_structure_internal_5m,2999,现有状态
bg_stop_structure_swing_5m,2919,现有状态
dyn_bar_index,2746,现有状态
bg_stop_structure_internal_1h,2724,现有状态
bg_target_fit_internal_1h,2694,现有状态
bg_dsa_vwap_dev_rel_5m,2629,现有状态
bg_dsa_vwap_dev_rel_1h,2585,现有状态
bg_momentum_value_rel_1h,2537,现有状态
bg_dsa_vwap_dev_rel_15m,2520,现有状态
bg_momentum_delta_rel_15m,2449,现有状态
bg_momentum_delta_rel_1h,2342,现有状态
bg_momentum_delta_rel_5m,2326,现有状态
bg_momentum_value_rel_15m,2305,现有状态
dyn_dsa_direction__bars_since_change,2092,现有状态
bg_momentum_value_rel_5m,1943,现有状态
dyn_vol20,1833,现有状态
max_adverse_excursion_R_so_far,1567,现有状态
bg_quant_width_percentile_train,1328,现有状态
dyn_dsa_raw_dsa_vwap_dev_pct,1268,现有状态
bg_source_ob_width_atr5,1124,现有状态
rebound_from_MAE_R,1066,MFE回撤
dyn_sqzmom_val,884,现有状态
max_favorable_excursion_R_so_far,824,现有状态
drawdown_from_MFE_R,657,MFE回撤
dyn_momentum_direction__bars_since_change,591,现有状态
dyn_sqzmom_val__slope_6,524,现有状态
dyn_vol20__slope_6,488,现有状态
bg_touch_ordinal,424,现有状态
current_unrealized_R,363,现有状态
dyn_sqzmom_delta,278,现有状态
unrealized_R_delta_2,267,短期收益变化
step,255,现有状态
bg_swing_bias_rel_1h,220,现有状态
dyn_vol_part__slope_6,218,现有状态
dyn_vol_part__delta_1,205,现有状态
dyn_dsa_raw_dsa_vwap_dev_pct__slope_6,197,现有状态
bg_momentum_direction_15m,186,现有状态
unrealized_R_delta_3,181,短期收益变化
dyn_vol_part,177,现有状态
dyn_dsa_direction,174,现有状态
bg_backward_active_ob_structure_class_15m,163,现有状态
dyn_sqzmom_delta__slope_6,162,现有状态
bg_dsa_alignment_1h,155,现有状态
MFE_delta_3,154,MAE修复
bg_forward_active_ob_structure_class_5m,152,现有状态
bg_internal_bias_rel_15m,152,现有状态
bg_momentum_direction_1h,149,现有状态
distance_to_target_delta_3,148,目标距离变化
bg_source_ob_bias,145,现有状态
bg_swing_bias_rel_5m,142,现有状态
bg_dsa_alignment_5m,141,现有状态
bg_swing_bias_rel_15m,139,现有状态
distance_to_target_delta_1,129,目标距离变化
MAE_delta_1,124,MAE修复
bg_backward_active_ob_bias_1h,120,现有状态
MAE_delta_3,118,MAE修复
bg_backward_active_ob_structure_class_1h,117,现有状态
MFE_delta_1,114,MFE回撤
bg_forward_active_ob_structure_class_1h,113,现有状态
bg_momentum_direction_5m,110,现有状态
bg_forward_active_ob_structure_class_15m,107,现有状态
distance_to_stop_R,107,现有状态
bg_dsa_alignment_15m,107,现有状态
bg_backward_active_ob_bias_5m,101,现有状态
bg_forward_active_ob_bias_rel_15m,101,现有状态
bg_quant_state,101,现有状态
bg_backward_active_ob_structure_class_5m,97,现有状态
previous_step_price_change_R,96,现有状态
dyn_vol20__delta_1,91,现有状态
distance_to_target_R,88,现有状态
bg_backward_active_ob_bias_15m,88,现有状态
bg_internal_bias_rel_1h,82,现有状态
bg_internal_bias_rel_5m,72,现有状态
dyn_sqzmom_delta__delta_1,66,现有状态
dyn_dsa_raw_dsa_vwap_dev_pct__delta_1,63,现有状态
bars_since_MAE,51,极值时间
bg_forward_active_ob_bias_rel_1h,48,现有状态
distance_to_stop_delta_1,46,止损距离变化
distance_to_stop_delta_3,45,止损距离变化
bg_trade_mode,42,现有状态
bg_source_tf,30,现有状态
bg_touch_behavior,28,现有状态
bars_since_MFE,23,极值时间
minutes_since_previous_valid_bar,18,现有状态
dyn_momentum_direction__changed_last_3,12,现有状态
bg_trade_direction,6,现有状态
bg_source_ob_structure,5,现有状态
dyn_dsa_direction__changed_last_3,3,现有状态
unrealized_R_delta_1,0,短期收益变化
trade_direction,0,现有状态
target_R,0,现有状态
bg_target_R,0,现有状态
dyn_sqzmom_val__delta_1,0,现有状态
dyn_momentum_direction_code,0,现有状态
crossed_session_break,0,现有状态
bg_forward_active_ob_bias_rel_5m,0,现有状态
bars_remaining,0,现有状态
bars_held,0,现有状态
unrealized_R_slope_3,0,短期收益变化
