risk_ATR,wf,pair,numerator,denominator,dROC_point,dROC_lo,dROC_hi,dBottom20gain_lo,dBottom20gain_hi
0.25,WF1,OB_vs_M0,M_ob,M0,-0.0057247960520923,-0.0125707249891262,0.0017147453596271,-0.0273098513364493,-0.0019331013380691
0.25,WF2,OB_vs_M0,M_ob,M0,-0.0116180648275225,-0.0180980478664053,-0.0057587465039754,-0.0292587686345841,0.0008997008419387
0.25,WF3,OB_vs_M0,M_ob,M0,-0.0003103183064974,-0.0053134988030012,0.0044812993752479,-0.0129801144679542,0.0154768838899934
0.5,WF1,OB_vs_M0,M_ob,M0,-0.0067807422008579,-0.0126735709269458,-0.0007408317406399,-0.0269564857724571,0.0018855263456375
0.5,WF2,OB_vs_M0,M_ob,M0,-0.0042409281366545,-0.0092197358764711,0.0006607160071356,-0.0231410426821158,0.0038595978719936
0.5,WF3,OB_vs_M0,M_ob,M0,0.0031987827805419,-0.0013031028173978,0.0077394098753341,-0.0068461737863402,0.0223571169019933
0.75,WF1,OB_vs_M0,M_ob,M0,-0.0043638359253125,-0.0105311985522214,0.0013337576037658,-0.0076782567520588,0.0165668795072768
0.75,WF2,OB_vs_M0,M_ob,M0,-0.0091066545079371,-0.014105937072218,-0.0040384068468338,-0.0213592612679839,0.003136202533159
0.75,WF3,OB_vs_M0,M_ob,M0,0.0015024264967401,-0.0029981571521936,0.0062489166877817,-0.0003319341312327,0.0313104296532425
1.0,WF1,OB_vs_M0,M_ob,M0,-0.0070907081599971,-0.0118006504209648,-0.0023208744963303,-0.0184856269354849,0.0044439974407692
1.0,WF2,OB_vs_M0,M_ob,M0,-0.012995518567423,-0.018753000718834,-0.0073111483456305,-0.0245459184848195,0.0026696348830144
1.0,WF3,OB_vs_M0,M_ob,M0,0.0020966458374562,-0.0035185281828692,0.0074772431675199,-0.0035694949277438,0.0246022805553078
1.5,WF1,OB_vs_M0,M_ob,M0,-0.0074076350645904,-0.0136519098159877,-0.0012323198377646,-0.0170782380348545,0.0044861730191612
1.5,WF2,OB_vs_M0,M_ob,M0,-0.0130373039228525,-0.0204846286460326,-0.0057803858421798,-0.033208827963901,-0.0018812923674592
1.5,WF3,OB_vs_M0,M_ob,M0,-0.0075336011320411,-0.0159839524338579,0.0018346495675202,-0.0026838086995199,0.022314618452712
2.0,WF1,OB_vs_M0,M_ob,M0,-0.0069090818834493,-0.0132456105963992,-0.0007486350172134,-0.0094748051607051,0.003169698263764
2.0,WF2,OB_vs_M0,M_ob,M0,-0.0129924971855667,-0.0236055298502851,-0.0025217162727681,-0.0219573042374379,-0.0049855449501348
2.0,WF3,OB_vs_M0,M_ob,M0,-0.0044397505150754,-0.0156319161101487,0.0067622298640649,-0.0099526421586999,0.0173326516262816
3.0,WF1,OB_vs_M0,M_ob,M0,-0.0034732466104285,-0.0133222159972433,0.0070511794877775,-0.0072908228430002,0.0026720607100354
3.0,WF2,OB_vs_M0,M_ob,M0,-0.0116765053613123,-0.0348928514303422,0.0074245733181914,-0.0077769458297968,0.0055863557191404
3.0,WF3,OB_vs_M0,M_ob,M0,0.0058321290493687,-0.0019433762104408,0.013634840760603,-0.0012587206344724,0.0088757146506202
0.25,WF1,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0018534577572839,-0.0035902268813905,0.0001203163166897,-0.0093383050752675,0.0068931014149014
0.25,WF2,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0002826047358951,-0.0016900305070331,0.0009686556375984,-0.0079600280354448,0.0071693060952076
0.25,WF3,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0020938350668255,-0.0038871927445276,-1.2212297809083428e-05,-0.0045733991767955,0.0122221152808523
0.5,WF1,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0035011483592918,-0.0055742101437234,-0.0014512382403233,-0.0197968979549695,-0.0019676368150625
0.5,WF2,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0012531529808487,-0.0023996548849448,-0.0001946995123108,-0.0109398247006738,0.0034315997450493
0.5,WF3,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0003526334969833,-0.0015007712284396,0.0008266472503184,-0.0121755350995359,0.0034132486811025
0.75,WF1,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0031226389742998,-0.0050067801686597,-0.0012719181934926,-0.0040043938486119,0.0147989649117437
0.75,WF2,full_vs_fullminusob,M_full,M_full_minus_ob,0.0013711683104502,0.0003074141000485,0.0026583877987656,0.0008660773833126,0.0124429616587636
0.75,WF3,full_vs_fullminusob,M_full,M_full_minus_ob,0.0001213667088653,-0.000871760335621,0.0012632339074981,-0.0039240097670094,0.009971208329632
1.0,WF1,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0002054692097162,-0.0017768945501127,0.0014023986665851,-0.0065887129521378,0.0088922424933067
1.0,WF2,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0025521166513071,-0.0042116532764409,-0.0010381795180102,-0.0100267921860265,0.0075407420405217
1.0,WF3,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0022316731760596,-0.0041343081660725,-0.0003803757695377,-0.0073532550228283,0.0123239614706693
1.5,WF1,full_vs_fullminusob,M_full,M_full_minus_ob,0.0001580769652108,-0.0017845717838416,0.0021213602253741,-0.0055964052035311,0.00615782630699
1.5,WF2,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0004262523426016,-0.0019473554958957,0.0010514280147537,-0.0082612717058363,0.0071887215335231
1.5,WF3,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0065748984997559,-0.0102942695203476,-0.0026670810915515,-0.0087361296432152,0.0106882578283102
2.0,WF1,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0019472739655434,-0.0044395335644728,0.0005176462105372,-0.0121246258968472,0.0005954881899619
2.0,WF2,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0014165589544424,-0.0052869949649928,0.0021732474464289,-0.0068709528530752,0.0054818206291168
2.0,WF3,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0047863720846191,-0.0079453896540487,-0.0014902736539728,-0.0118586772889038,0.0042959016747214
3.0,WF1,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0034639752023938,-0.0058674649182676,-0.0007256373119344,-0.0061615338046023,0.0004941374974998
3.0,WF2,full_vs_fullminusob,M_full,M_full_minus_ob,0.0005694585055834,-0.0024046411936664,0.0035772778182081,-0.0048434572145666,0.0028643037878914
3.0,WF3,full_vs_fullminusob,M_full,M_full_minus_ob,-0.0029024258230381,-0.0075158673241378,0.0016829349605175,-0.008121112260818,0.0019277236775162
