wf,model,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
WF1,M0,0.6327879877884052,0.7947410076085918,0.15321900769145008,0.4663351971833705,0.8123747766387386,0.6401654680290444,0.10131326840768576
WF1,M_B2_full,0.7989308081083475,0.893002084128668,0.13008444194633728,0.40260906304018534,0.9392784336154504,0.5115525761389891,0.2299261602977411
WF1,M_B2mG1,0.7721564396144955,0.8733150669070954,0.13675670074235555,0.4241660692915154,0.9108603952954187,0.5273286291319975,0.21415010730473258
WF1,M_B2mG2,0.7991834684090365,0.8925273387258442,0.1297662939205245,0.40153915513229926,0.9367113410862183,0.5079160866704019,0.2335626497663282
WF1,M_B2mG3,0.7971341868273379,0.8925180089190314,0.1298938243549417,0.40247797891687526,0.9382336119021671,0.5113701525176017,0.23010858391912856
WF1,M_B2mG4,0.8251866418860792,0.9095709802691705,0.12187083684582632,0.374502221613557,0.952713033893048,0.4875759247032884,0.25390281173344176
WF1,M_B2mG5,0.7979582293480342,0.8926771338104003,0.13033965592214886,0.4034339259702042,0.939070067466966,0.5118437877987931,0.22963494863793696
WF1,M_G1,0.8245142573001116,0.9093817521066884,0.12181745388047982,0.374580603562659,0.9520833243255941,0.48945158475752143,0.2520271516792087
WF1,M_G2,0.6336764420984634,0.7954975381663757,0.1526891494647524,0.4644515804410037,0.8148824864279105,0.6394919494584445,0.10198678697828578
WF1,M_G3,0.7752856774514553,0.8682902097905167,0.1352728735948762,0.41226981445345323,0.9111589643215198,0.5308315484888687,0.2106471879478615
WF1,M_G4,0.7551846850123628,0.8671670400477465,0.13921615576148463,0.4312591044546602,0.9056084250859728,0.5457297289768391,0.19574900745989107
WF1,M_G5,0.6619551396175309,0.81863850812175,0.15036544901737645,0.4583674917309221,0.8505753964928411,0.6292053224822884,0.11227341395444178
WF1,M_field,0.7972718107775092,0.8923265739413683,0.13017080004193296,0.40310204858300025,0.9380426051293246,0.5125029055962811,0.22897583084044904
WF1,M_full,0.7971886142696137,0.8926315164913982,0.1306698918096175,0.40365579272617386,0.9386541645116803,0.5126150230375592,0.2288637133991709
WF1,M_full_minus_ob,0.799210880426933,0.8935765818045842,0.13024402486957906,0.4023215839678049,0.9394142015951829,0.5105751541119764,0.23090358232475383
WF1,M_ob,0.6267112535014384,0.7911292349584959,0.1547294433394276,0.46989882487447204,0.8089896190963295,0.6457891350579075,0.09568960137882272
WF1,M_simple,0.8243999985512742,0.9092710281969342,0.12199306414000866,0.3751404627386333,0.9520001771587181,0.48865945486327955,0.2528192815734506
WF2,M0,0.6220511217425612,0.772908085060679,0.16115796163299295,0.48762758772504444,0.7982461641823738,0.6117444280882468,0.10888150168380088
WF2,M_B2_full,0.7919762589445545,0.8824423071751886,0.13857479018184155,0.42563107812682943,0.9348301807926472,0.4938037006746655,0.22682222909738228
WF2,M_B2mG1,0.768349071720687,0.8620724202168013,0.14364592067688295,0.4409988223044707,0.9081531142618627,0.511864174185907,0.20876175558614066
WF2,M_B2mG2,0.7944305731329091,0.8834707555640371,0.13598720742219653,0.41768068419645005,0.9356486105162638,0.48668526436855764,0.23394066540349012
WF2,M_B2mG3,0.7905208400496289,0.8816899405695803,0.13841470945725926,0.42595303059105954,0.9337305351984801,0.4930456279232002,0.22758030184884745
WF2,M_B2mG4,0.8094193770054886,0.8962390440493652,0.1297894900503186,0.397822118061337,0.9429048179916134,0.4611861897643676,0.2594397400076801
WF2,M_B2mG5,0.7918861106478202,0.8825148035409855,0.13867735553151248,0.42597199299772687,0.9346738881591122,0.493073614920963,0.2275523148510847
WF2,M_G1,0.8099285089762006,0.896584670570495,0.12991734146395797,0.3981064499588204,0.944359263724703,0.4643668076312232,0.2562591221408246
WF2,M_G2,0.5906892541260457,0.760243836316172,0.16472030969813592,0.49962798431740374,0.7778446263340592,0.6291647153825467,0.09146121438950099
WF2,M_G3,0.7644979264958399,0.8508690362147991,0.14264184250738993,0.4330914787326603,0.900933271346947,0.509482985227529,0.21114294454451868
WF2,M_G4,0.7574369781883484,0.8583618693166785,0.1436710331127539,0.44240735249229735,0.9014747049100926,0.5183327409709689,0.20229318880107877
WF2,M_G5,0.6429318460579964,0.78907788723818,0.15948942877909136,0.4853852887129226,0.8267367354782423,0.6101028022680485,0.11052312750399931
WF2,M_field,0.7906184211447401,0.8819172755165494,0.13836117215856655,0.42576184483275636,0.9337541512329807,0.49375444625388415,0.2268714835181636
WF2,M_full,0.7908238153019476,0.8815210322600008,0.13836412593031755,0.42460629945413736,0.933681699759762,0.49376887546371895,0.2268570543083288
WF2,M_full_minus_ob,0.7913708508456925,0.8817285710077698,0.13804726741025714,0.4236647291842942,0.9341742186096511,0.4937651716257028,0.2268607581463449
WF2,M_ob,0.6112667903443789,0.7673398514701314,0.16257386945637825,0.4919764585770116,0.7866679387884217,0.6226885248713294,0.0979374049007183
WF2,M_simple,0.8083621788201514,0.8960282799623692,0.1299382497610665,0.3987099703403022,0.9444974876613784,0.46426823272202544,0.25635769705002226
WF3,M0,0.6325812436812722,0.7745924874114565,0.1607931550409823,0.48548899691598757,0.8000512099665548,0.6260733627228904,0.08829307738327381
WF3,M_B2_full,0.8052356370217508,0.8882989605238933,0.13230531379663407,0.4044204418563782,0.9398545016487976,0.471311545280077,0.2430548948260872
WF3,M_B2mG1,0.7805394101919138,0.8661383542212703,0.13879873095826906,0.42462469846507844,0.9089015940973514,0.4887125079702966,0.22565393213586754
WF3,M_B2mG2,0.8053460800041584,0.8884540543709247,0.13227998018710838,0.40431840725995477,0.9399652874607618,0.4708599585109599,0.24350648159520424
WF3,M_B2mG3,0.804810422593077,0.8882414544934544,0.13223783802756253,0.4045151043611498,0.9398394073993537,0.4679285348105542,0.24643790529560997
WF3,M_B2mG4,0.8098880155525333,0.8931633072074882,0.13102210636663073,0.400054011927051,0.9433804394782784,0.4638980218846408,0.2504684182215234
WF3,M_B2mG5,0.8051974629470079,0.8880268608275238,0.13233597117654552,0.4045559141980602,0.9387260044530394,0.4710033867528721,0.243363053353292
WF3,M_G1,0.8097947225566704,0.8931390490227152,0.13098523966388745,0.40035412014648536,0.9436813901995655,0.46096193406798375,0.25340450603818043
WF3,M_G2,0.6353780802957019,0.7821342672695918,0.1603589986793299,0.4841862655299269,0.8189407261461004,0.6356764077210401,0.07869003238512413
WF3,M_G3,0.7623815231560732,0.8483458414830037,0.1434307733648664,0.4359157426110985,0.8926859612481776,0.5043453485118858,0.21002109159427831
WF3,M_G4,0.7736359011672597,0.862075802237665,0.13976741705860454,0.4290909254404434,0.9104980358823909,0.4891891190203478,0.22517732108581642
WF3,M_G5,0.6526110110666591,0.7949798510842359,0.15870849838218365,0.4801863258763688,0.8333641408712846,0.613501756751571,0.10086468335459312
WF3,M_field,0.8048715263791087,0.8879648891377102,0.13224680259555924,0.40459792768774566,0.9386151645911719,0.46769722233778516,0.246669217768379
WF3,M_full,0.8011835401412296,0.8867431823433625,0.13319156084643258,0.40737764988523584,0.9388295378460054,0.4746957107122477,0.2396707293939165
WF3,M_full_minus_ob,0.803875135892586,0.8875836727096773,0.13278722939752668,0.4056556094858423,0.9392950311722139,0.4744145044636987,0.23995193564246547
WF3,M_ob,0.6326643849121286,0.773939340242033,0.16083777485847597,0.48614103318177054,0.8000179351556735,0.6183099702632655,0.0960564698428987
WF3,M_simple,0.8096852065677604,0.8930718886267377,0.13097474095497108,0.4003399324972329,0.9434959997471738,0.46141128378662516,0.252955156319539
