risk_ATR,wf,model,dROC_vs_M0,dBottom20gain_vs_M0
0.25,WF1,M_G1,0.18702343895245133,0.1285024154589372
0.25,WF1,M_G2,0.0021335184698417775,0.00048309178743960457
0.25,WF1,M_G3,0.11246905984319178,0.0995169082125604
0.25,WF1,M_G4,0.11257474039592097,0.08309178743961354
0.25,WF1,M_G5,0.03555991860148888,0.01376811594202898
0.25,WF1,M_simple,0.18709410365226342,0.1280193236714976
0.25,WF1,M_field,0.1601285601936644,0.12391304347826088
0.25,WF1,M_B2_full,0.16025658199896242,0.12342995169082127
0.25,WF1,M_ob,-0.0060406762519030766,-0.01376811594202898
0.25,WF1,M_full,0.1589308374488737,0.12367149758454107
0.25,WF1,M_full_minus_ob,0.1608213990905928,0.12415458937198068
0.25,WF1,M_B2mG1,0.12218929574012527,0.09734299516908212
0.25,WF1,M_B2mG2,0.15897529423522871,0.1217391304347826
0.25,WF1,M_B2mG3,0.16120501306892132,0.12487922705314011
0.25,WF1,M_B2mG4,0.18815605654918932,0.13140096618357489
0.25,WF1,M_B2mG5,0.15985032744533134,0.12270531400966184
0.25,WF2,M_G1,0.19877736547937153,0.13280652561814937
0.25,WF2,M_G2,-0.008638100740210097,-0.005353046138159567
0.25,WF2,M_G3,0.12414368273023035,0.08794290084119297
0.25,WF2,M_G4,0.14317305294700378,0.07468773897527403
0.25,WF2,M_G5,0.03511611083150279,0.012490440989039009
0.25,WF2,M_simple,0.1990358849548317,0.13433596737190925
0.25,WF2,M_field,0.17718574662302067,0.09431557481519245
0.25,WF2,M_B2_full,0.17774810372900196,0.0986489931175121
0.25,WF2,M_ob,-0.011485867264316996,-0.014274789701758828
0.25,WF2,M_full,0.17921970556751876,0.09966862095335202
0.25,WF2,M_full_minus_ob,0.17948086466229396,0.0989039000764721
0.25,WF2,M_B2mG1,0.14784621472061543,0.08080550599031355
0.25,WF2,M_B2mG2,0.1817282444264522,0.10323731837879174
0.25,WF2,M_B2mG3,0.17782851362484808,0.09737445832271222
0.25,WF2,M_B2mG4,0.1995055233218077,0.13713994392046902
0.25,WF2,M_B2mG5,0.17702906917635142,0.09609992352791233
0.25,WF3,M_G1,0.19884717248634198,0.13064073797058093
0.25,WF3,M_G2,0.008729005642439724,-0.01421091997008228
0.25,WF3,M_G3,0.12811216833290395,0.09947643979057594
0.25,WF3,M_G4,0.1572749085018479,0.10820244328097733
0.25,WF3,M_G5,0.033511603912197985,0.011717776115681866
0.25,WF3,M_simple,0.19883933931021402,0.1298927948142608
0.25,WF3,M_field,0.18997008381302083,0.1261530790326602
0.25,WF3,M_B2_full,0.18937560247543206,0.12640239341810025
0.25,WF3,M_ob,-0.00032244756774102434,0.00024931438544006923
0.25,WF3,M_full,0.18467161656485032,0.11917227624033908
0.25,WF3,M_full_minus_ob,0.18670092193864696,0.11543256045873848
0.25,WF3,M_B2mG1,0.15915340887060725,0.1012216404886562
0.25,WF3,M_B2mG2,0.19004917925442433,0.12515582149090004
0.25,WF3,M_B2mG3,0.1898826097096865,0.12540513587634008
0.25,WF3,M_B2mG4,0.19827512697982164,0.1298927948142608
0.25,WF3,M_B2mG5,0.18913287220290975,0.12415856394913988
0.5,WF1,M_G1,0.19274584011689444,0.19524510835261943
0.5,WF1,M_G2,0.001318180838187799,0.0014727540500736325
0.5,WF1,M_G3,0.12104740436924954,0.12707763517778248
0.5,WF1,M_G4,0.12460904857879085,0.12118661897748795
0.5,WF1,M_G5,0.03742277075015765,0.01704186829370924
0.5,WF1,M_simple,0.19239037963949712,0.19082684620239848
0.5,WF1,M_field,0.17071052011933452,0.16074058489375131
0.5,WF1,M_B2_full,0.17111076804759828,0.16242373237954977
0.5,WF1,M_ob,-0.0069360080492898435,-0.013254786450662748
0.5,WF1,M_full,0.16776530275127122,0.15653271617925524
0.5,WF1,M_full_minus_ob,0.1712813128800592,0.1676835682726699
0.5,WF1,M_B2mG1,0.13803454039740481,0.13907006101409636
0.5,WF1,M_B2mG2,0.1738709821883231,0.1744161582158637
0.5,WF1,M_B2mG3,0.1717044490094014,0.16200294550810018
0.5,WF1,M_B2mG4,0.19291038555481255,0.19587628865979384
0.5,WF1,M_B2mG5,0.17039124577106546,0.16347569955817381
0.5,WF2,M_G1,0.19166833792814253,0.18426407415781143
0.5,WF2,M_G2,-0.020852633476187044,-0.005878363101966988
0.5,WF2,M_G3,0.12283416442416073,0.12141080714447205
0.5,WF2,M_G4,0.13378648737709353,0.10241917250734794
0.5,WF2,M_G5,0.030183988822408803,0.0011304544426859464
0.5,WF2,M_simple,0.19181219841490182,0.18471625593488583
