risk_ATR,block,symbol,geo_bin,n,delivery_rate,no_delivery_rate
0.25,TB1,AG,<=0.25,4,0.0,1.0
0.25,TB1,AG,"(0.25,0.5]",27,0.2222222222222222,0.7777777777777778
0.25,TB1,AG,"(0.5,1]",107,0.7570093457943925,0.2429906542056075
0.25,TB1,AG,"(1,2]",170,0.3588235294117647,0.6411764705882352
0.25,TB1,AG,>2,1073,0.2059645852749301,0.7940354147250699
0.25,TB1,AL,"(0.25,0.5]",20,0.95,0.050000000000000044
0.25,TB1,AL,"(0.5,1]",155,0.5935483870967742,0.40645161290322585
0.25,TB1,AL,"(1,2]",367,0.30517711171662126,0.6948228882833787
0.25,TB1,AL,>2,1116,0.26433691756272404,0.735663082437276
0.25,TB1,AU,<=0.25,12,0.25,0.75
0.25,TB1,AU,"(0.25,0.5]",10,0.5,0.5
0.25,TB1,AU,"(0.5,1]",51,0.7058823529411765,0.2941176470588235
0.25,TB1,AU,"(1,2]",118,0.3898305084745763,0.6101694915254237
0.25,TB1,AU,>2,935,0.2053475935828877,0.7946524064171123
0.25,TB1,CF,<=0.25,2,0.0,1.0
0.25,TB1,CF,"(0.25,0.5]",6,1.0,0.0
0.25,TB1,CF,"(0.5,1]",129,0.5581395348837209,0.4418604651162791
0.25,TB1,CF,"(1,2]",669,0.3094170403587444,0.6905829596412556
0.25,TB1,CF,>2,1155,0.2701298701298701,0.7298701298701299
0.25,TB1,CU,"(0.25,0.5]",94,0.776595744680851,0.22340425531914898
0.25,TB1,CU,"(0.5,1]",76,0.4605263157894737,0.5394736842105263
0.25,TB1,CU,"(1,2]",162,0.5555555555555556,0.4444444444444444
0.25,TB1,CU,>2,887,0.24689966178128522,0.7531003382187148
0.25,TB1,I,"(0.25,0.5]",2,0.0,1.0
0.25,TB1,I,"(0.5,1]",178,0.5449438202247191,0.4550561797752809
0.25,TB1,I,"(1,2]",498,0.3614457831325301,0.6385542168674698
0.25,TB1,I,>2,1005,0.3164179104477612,0.6835820895522389
0.25,TB1,M,"(0.25,0.5]",53,0.49056603773584906,0.5094339622641509
0.25,TB1,M,"(0.5,1]",99,0.5656565656565656,0.43434343434343436
0.25,TB1,M,"(1,2]",244,0.45491803278688525,0.5450819672131147
0.25,TB1,M,>2,901,0.2730299667036626,0.7269700332963374
0.25,TB1,MA,<=0.25,7,1.0,0.0
0.25,TB1,MA,"(0.25,0.5]",28,0.6785714285714286,0.3214285714285714
0.25,TB1,MA,"(0.5,1]",181,0.5082872928176796,0.4917127071823204
0.25,TB1,MA,"(1,2]",281,0.39501779359430605,0.604982206405694
0.25,TB1,MA,>2,966,0.2795031055900621,0.7204968944099379
0.25,TB1,NI,<=0.25,16,0.0625,0.9375
0.25,TB1,NI,"(0.25,0.5]",28,0.5357142857142857,0.4642857142857143
0.25,TB1,NI,"(0.5,1]",56,0.375,0.625
0.25,TB1,NI,"(1,2]",133,0.41353383458646614,0.5864661654135339
0.25,TB1,NI,>2,949,0.2465753424657534,0.7534246575342466
0.25,TB1,P,<=0.25,3,1.0,0.0
0.25,TB1,P,"(0.25,0.5]",38,0.13157894736842105,0.868421052631579
0.25,TB1,P,"(0.5,1]",117,0.4444444444444444,0.5555555555555556
