feature,block,dtype,pipeline_route,n_unique,missing_rate
nearest_above_R,G1,float64,spline,12014,0.026635706914344685
nearest_below_R,G1,float64,spline,12464,0.009896800825593395
n_targets_L,G2,int64,ordinary,109,0.0
n_targets_S,G2,int64,ordinary,185,0.0
nearest_ahead_R,G3,float64,spline,14819,0.037719298245614034
nearest_behind_R,G3,float64,spline,16340,0.0017027863777089784
"5m_pos_(0,0.5]",G4,int64,spline,5,0.0
"5m_pos_(0.5,1]",G4,int64,spline,6,0.0
"5m_pos_(1,2]",G4,int64,spline,7,0.0
"5m_pos_(2,4]",G4,int64,spline,10,0.0
"5m_pos_(4,+inf)",G4,int64,spline,40,0.0
"5m_neg_(-inf,-4]",G4,int64,spline,88,0.0
"5m_neg_(-4,-2]",G4,int64,spline,9,0.0
"5m_neg_(-2,-1]",G4,int64,spline,7,0.0
"5m_neg_(-1,-0.5]",G4,int64,spline,6,0.0
"5m_neg_(-0.5,0]",G4,int64,spline,5,0.0
"15m_pos_(0,0.5]",G4,int64,spline,4,0.0
"15m_pos_(0.5,1]",G4,int64,spline,4,0.0
"15m_pos_(1,2]",G4,int64,spline,5,0.0
"15m_pos_(2,4]",G4,int64,spline,6,0.0
"15m_pos_(4,+inf)",G4,int64,spline,24,0.0
"15m_neg_(-inf,-4]",G4,int64,spline,51,0.0
"15m_neg_(-4,-2]",G4,int64,spline,6,0.0
"15m_neg_(-2,-1]",G4,int64,spline,5,0.0
"15m_neg_(-1,-0.5]",G4,int64,spline,4,0.0
"15m_neg_(-0.5,0]",G4,int64,spline,4,0.0
"1h_pos_(0,0.5]",G4,int64,spline,3,0.0
"1h_pos_(0.5,1]",G4,int64,spline,4,0.0
"1h_pos_(1,2]",G4,int64,spline,4,0.0
"1h_pos_(2,4]",G4,int64,spline,5,0.0
"1h_pos_(4,+inf)",G4,int64,spline,14,0.0
"1h_neg_(-inf,-4]",G4,int64,spline,22,0.0
"1h_neg_(-4,-2]",G4,int64,spline,5,0.0
"1h_neg_(-2,-1]",G4,int64,spline,3,0.0
"1h_neg_(-1,-0.5]",G4,int64,spline,3,0.0
"1h_neg_(-0.5,0]",G4,int64,spline,3,0.0
"CONTIG_SESSION_pos_(0,0.5]",G4,int64,spline,7,0.0
"CONTIG_SESSION_pos_(0.5,1]",G4,int64,spline,8,0.0
"CONTIG_SESSION_pos_(1,2]",G4,int64,spline,10,0.0
"CONTIG_SESSION_pos_(2,4]",G4,int64,spline,15,0.0
"CONTIG_SESSION_pos_(4,+inf)",G4,int64,spline,119,0.0
"CONTIG_SESSION_neg_(-inf,-4]",G4,int64,spline,188,0.0
"CONTIG_SESSION_neg_(-4,-2]",G4,int64,spline,18,0.0
"CONTIG_SESSION_neg_(-2,-1]",G4,int64,spline,10,0.0
"CONTIG_SESSION_neg_(-1,-0.5]",G4,int64,spline,7,0.0
"CONTIG_SESSION_neg_(-0.5,0]",G4,int64,spline,7,0.0
"TRADING_DAY_pos_(0,0.5]",G4,int64,spline,5,0.0
"TRADING_DAY_pos_(0.5,1]",G4,int64,spline,6,0.0
"TRADING_DAY_pos_(1,2]",G4,int64,spline,7,0.0
"TRADING_DAY_pos_(2,4]",G4,int64,spline,10,0.0
"TRADING_DAY_pos_(4,+inf)",G4,int64,spline,57,0.0
"TRADING_DAY_neg_(-inf,-4]",G4,int64,spline,92,0.0
"TRADING_DAY_neg_(-4,-2]",G4,int64,spline,11,0.0
"TRADING_DAY_neg_(-2,-1]",G4,int64,spline,6,0.0
"TRADING_DAY_neg_(-1,-0.5]",G4,int64,spline,4,0.0
"TRADING_DAY_neg_(-0.5,0]",G4,int64,spline,4,0.0
"TRADING_WEEK_pos_(0,0.5]",G4,int64,spline,3,0.0
"TRADING_WEEK_pos_(0.5,1]",G4,int64,spline,3,0.0
"TRADING_WEEK_pos_(1,2]",G4,int64,spline,4,0.0
"TRADING_WEEK_pos_(2,4]",G4,int64,spline,6,0.0
"TRADING_WEEK_pos_(4,+inf)",G4,int64,spline,23,0.0
"TRADING_WEEK_neg_(-inf,-4]",G4,int64,spline,38,0.0
"TRADING_WEEK_neg_(-4,-2]",G4,int64,spline,6,0.0
"TRADING_WEEK_neg_(-2,-1]",G4,int64,spline,4,0.0
"TRADING_WEEK_neg_(-1,-0.5]",G4,int64,spline,4,0.0
"TRADING_WEEK_neg_(-0.5,0]",G4,int64,spline,3,0.0
same_price_identity_count,G5,int64,ordinary,16,0.0
symbol,B0,str,categorical,15,0.0
side,B0,int64,categorical,2,0.0
liquidity_type,B0,str,categorical,10,0.0
liquidity_scope,B0,str,categorical,6,0.0
atr0,B0,float64,spline,6474,0.0
contact_number,B1,int64,ordinary,17,0.0
contact_type,B1,str,categorical,5,0.0
bars_since_available,B1,int64,ordinary,5718,0.0
bars_since_previous_contact,B1,float64,ordinary,1273,0.7853353973168214
penetration_depth_R,B1,float64,spline,15687,0.0
close_relative_to_level_R,B1,float64,spline,17111,0.0
bar_range_R,B1,float64,spline,11907,0.0
abs_return_R,B1,float64,spline,12062,0.0
is_first_contact,B1,bool,categorical,2,0.0
is_penetration,B1,bool,categorical,2,0.0
env_direction_4h,B3,float64,categorical,3,8.25593395252838e-05
trend_struct_1h,B3,float64,categorical,3,0.0
trend_struct_15m,B3,float64,categorical,3,0.0
trend_struct_5m,B3,float64,categorical,3,0.0
sweep_vs_5m,B3,str,categorical,3,0.0
sweep_vs_15m,B3,str,categorical,3,0.0
sweep_vs_1h,B3,str,categorical,3,0.0
env4h_vs_1h,B3,str,categorical,3,0.0
trend_1h_vs_15m,B3,str,categorical,3,0.0
trend_15m_vs_5m,B3,str,categorical,3,0.0
nearest_opposing_ob_distance_R,B4,float64,spline,14349,0.12159958720330237
nearest_opposing_ob_width_R,B4,float64,spline,8288,0.12159958720330237
nearest_opposing_ob_source_tf,B4,str,categorical,3,0.12159958720330237
nearest_opposing_ob_freshness,B4,str,categorical,2,0.12159958720330237
nearest_opposing_ob_prior_enter_count,B4,float64,ordinary,2,0.12159958720330237
nearest_same_direction_ob_distance_R,B4,float64,spline,13938,0.18113519091847266
nearest_same_direction_ob_width_R,B4,float64,spline,8035,0.18113519091847266
nearest_same_direction_ob_source_tf,B4,str,categorical,3,0.18113519091847266
nearest_same_direction_ob_freshness,B4,str,categorical,1,0.18113519091847266
nearest_same_direction_ob_prior_enter_count,B4,float64,ordinary,1,0.18113519091847266
