wf,variant,frozen_class,n,share,E_R
WF1,baseline,UNRESOLVED_CENSOR,16,0.0261,0.8634
WF1,post_veto,UNRESOLVED_CENSOR,16,0.0261,0.8634
WF1,baseline,NO_COMPARABLE_TARGET,0,0.0,
WF1,post_veto,NO_COMPARABLE_TARGET,0,0.0,
WF2,baseline,UNRESOLVED_CENSOR,29,0.0339,-0.0002
WF2,post_veto,UNRESOLVED_CENSOR,29,0.0339,-0.0002
WF2,baseline,NO_COMPARABLE_TARGET,2,0.0023,0.3226
WF2,post_veto,NO_COMPARABLE_TARGET,2,0.0023,0.3226
WF3,baseline,UNRESOLVED_CENSOR,56,0.066,-0.0126
WF3,post_veto,UNRESOLVED_CENSOR,56,0.066,-0.0126
WF3,baseline,NO_COMPARABLE_TARGET,0,0.0,
WF3,post_veto,NO_COMPARABLE_TARGET,0,0.0,
