wf,block,model,n_cohort_oof,n_toxic_oof,toxic_base_rate,roc_auc,pr_auc,brier,logloss,n_cohort_fit
WF1,G0_OUTERMOST,LOGIT,287,54,0.1882,0.4932,0.1885,0.1703,0.5819,369
WF1,G0_OUTERMOST,HGB,287,54,0.1882,0.5151,0.2237,0.1755,0.6116,369
WF2,G0_OUTERMOST,LOGIT,606,110,0.1815,0.5166,0.1837,0.1559,0.4925,986
WF2,G0_OUTERMOST,HGB,606,110,0.1815,0.556,0.1998,0.1617,0.5123,986
WF3,G0_OUTERMOST,LOGIT,848,160,0.1887,0.603,0.2348,0.1517,0.4775,1326
WF3,G0_OUTERMOST,HGB,848,160,0.1887,0.5511,0.2076,0.1648,0.5222,1326
WF1,G1_ARCH_AGG,LOGIT,287,54,0.1882,0.4777,0.1804,0.1775,0.5964,369
WF1,G1_ARCH_AGG,HGB,287,54,0.1882,0.5045,0.2119,0.1773,0.5842,369
WF2,G1_ARCH_AGG,LOGIT,606,110,0.1815,0.5199,0.1863,0.1562,0.4928,986
WF2,G1_ARCH_AGG,HGB,606,110,0.1815,0.5893,0.216,0.1595,0.4989,986
WF3,G1_ARCH_AGG,LOGIT,848,160,0.1887,0.5918,0.2397,0.1529,0.4815,1326
WF3,G1_ARCH_AGG,HGB,848,160,0.1887,0.5775,0.2266,0.161,0.508,1326
