wf,setup,mean_next_open_R,mean_ideal_close_R,delta
WF1,CONT,-0.042,-0.0376,-0.0044
WF1,REV,0.0435,0.0132,0.0304
WF2,CONT,0.0253,0.0287,-0.0034
WF2,REV,0.0481,0.0144,0.0338
WF3,CONT,-0.0376,-0.0282,-0.0095
WF3,REV,-0.0032,-0.0166,0.0134
