策略,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R
原模型,F1,0.5269,1.4731,0.6855,1.0512429209842722,570,16.8825,0.029618
原模型,F2,0.9602,2.1735,0.9926,1.1348728272159418,706,52.8064,0.074797
原模型,F3,0.4005,2.1699,0.3119,1.208700004386415,113,12.7307,0.112661
原模型,F4,-0.3218,-1.3265,0.8216,0.8343221489358552,202,-23.4557,-0.116117
简化A,F1,0.5891,1.697,0.673,1.0589146619673278,559,19.0565,0.03409
简化A,F2,1.1845,2.735,1.0787,1.1652118425061702,714,63.7682,0.089311
简化A,F3,0.51,2.3958,0.3822,1.2128987440126693,139,16.0734,0.115636
简化A,F4,-0.5214,-1.7692,0.8747,0.760525564098308,202,-35.8792,-0.17762
简化B,F1,0.5546,1.5284,0.6978,1.05865446651261,559,20.0748,0.035912
简化B,F2,1.1111,2.1922,1.1997,1.1748970610124974,714,72.9722,0.102202
简化B,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453
简化B,F4,-0.4665,-1.5976,0.8037,0.7897535896844092,202,-32.918,-0.16296
简化C,F1,0.9708,2.7874,0.6003,1.1240165471109982,559,43.3279,0.07751
简化C,F2,1.4861,2.5765,1.1078,1.2129686194971743,714,91.9099,0.128725
简化C,F3,0.45,1.6552,0.727,1.1700543346535206,206,21.3079,0.103437
简化C,F4,-0.6136,-1.9796,1.0219,0.7211461495325757,202,-46.0216,-0.22783
简化D,F1,0.5891,1.697,0.673,1.0589146619673278,559,19.0565,0.03409
简化D,F2,1.1111,2.1922,1.1997,1.1748970610124974,714,72.9722,0.102202
简化D,F3,0.51,2.3958,0.3822,1.2128987440126693,139,16.0734,0.115636
简化D,F4,-0.5214,-1.7692,0.8747,0.760525564098308,202,-35.8792,-0.17762
