策略,方向,目标,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,被选事件平均收益
原模型,六动作直选,六动作直选,1.5659,1.207,0.9926,1.0638439930391532,1591,58.9639,0.037061,0.037061
简化A,模型方向,1.5R,1.7623,1.3223,1.0787,1.0674172198212637,1614,63.019,0.039045,0.039045
简化B,模型方向,2.0R,1.5417,1.068,1.1997,1.0721861487834554,1614,71.8787,0.044535,0.044535
简化C,模型方向,2.5R,2.2933,1.4395,1.4451,1.103170486262589,1681,110.5241,0.065749,0.065749
简化D,模型方向,1.5R,1.6889,1.1772,1.1997,1.0747640611088005,1614,72.223,0.044748,0.044748
