symbol,n_ob,by_tf
AG,3700,"{'5m': 2546, '15m': 908, '1h': 246}"
AL,2674,"{'5m': 1783, '15m': 710, '1h': 181}"
AU,3681,"{'5m': 2527, '15m': 902, '1h': 252}"
CF,1917,"{'5m': 1288, '15m': 470, '1h': 159}"
CU,2915,"{'5m': 1992, '15m': 719, '1h': 204}"
I,1914,"{'5m': 1266, '15m': 488, '1h': 160}"
M,2030,"{'5m': 1360, '15m': 514, '1h': 156}"
MA,2071,"{'5m': 1418, '15m': 496, '1h': 157}"
NI,3104,"{'5m': 2173, '15m': 751, '1h': 180}"
P,2249,"{'5m': 1545, '15m': 534, '1h': 170}"
RB,2016,"{'5m': 1358, '15m': 495, '1h': 163}"
RU,2178,"{'5m': 1480, '15m': 531, '1h': 167}"
SC,3590,"{'5m': 2468, '15m': 870, '1h': 252}"
SN,3072,"{'5m': 2129, '15m': 751, '1h': 192}"
TA,2082,"{'5m': 1423, '15m': 499, '1h': 160}"
