depth_bin,n,n_hit,n_miss,hit_rate
"(-inf, 0.25]",9031,880,8151,0.0974
"(0.25, 0.5]",11271,2141,9130,0.19
"(0.5, 0.75]",7279,1979,5300,0.2719
"(0.75, 1.0]",5467,1951,3516,0.3569
"(1.0, 1.5]",6189,2624,3565,0.424
"(1.5, 2.0]",3265,1634,1631,0.5005
"(2.0, inf]",6099,3926,2173,0.6437
