variable,dimension,smd
level_age_log1p,ALL,0.175
atr_rel_pre,ALL,0.1154
pre_ret_3_R,ALL,0.0218
pre_ret_12_R,ALL,-0.0025
pre_rv_12_R,ALL,0.1537
pre_range_12_R,ALL,0.2668
volume_z_20_pre,ALL,0.07
penetration_depth_R,ALL,0.2927
close_beyond_R,ALL,0.0759
bar_range_R,ALL,0.1619
abs_return_R,ALL,0.1297
gap_R,ALL,0.1231
volume_z_t0,ALL,0.1943
minute_from_session_open,ALL,0.0404
level_age_log1p,CANONICAL_EQH,0.162
atr_rel_pre,CANONICAL_EQH,0.0066
pre_ret_3_R,CANONICAL_EQH,0.0022
pre_ret_12_R,CANONICAL_EQH,0.1711
pre_rv_12_R,CANONICAL_EQH,0.1446
pre_range_12_R,CANONICAL_EQH,0.4015
volume_z_20_pre,CANONICAL_EQH,0.1924
penetration_depth_R,CANONICAL_EQH,0.4781
close_beyond_R,CANONICAL_EQH,0.0079
bar_range_R,CANONICAL_EQH,0.3391
abs_return_R,CANONICAL_EQH,0.0125
gap_R,CANONICAL_EQH,-0.0591
volume_z_t0,CANONICAL_EQH,0.1742
minute_from_session_open,CANONICAL_EQH,-0.1005
level_age_log1p,CANONICAL_EQL,0.319
atr_rel_pre,CANONICAL_EQL,0.0655
pre_ret_3_R,CANONICAL_EQL,-0.1607
pre_ret_12_R,CANONICAL_EQL,-0.3449
pre_rv_12_R,CANONICAL_EQL,-0.0203
pre_range_12_R,CANONICAL_EQL,0.3032
volume_z_20_pre,CANONICAL_EQL,0.1452
penetration_depth_R,CANONICAL_EQL,0.3543
close_beyond_R,CANONICAL_EQL,0.0438
bar_range_R,CANONICAL_EQL,0.0072
abs_return_R,CANONICAL_EQL,-0.0801
gap_R,CANONICAL_EQL,-0.0412
volume_z_t0,CANONICAL_EQL,0.1732
minute_from_session_open,CANONICAL_EQL,-0.0377
level_age_log1p,CONFIRMED_SWING_HIGH,-0.0485
atr_rel_pre,CONFIRMED_SWING_HIGH,-0.1033
pre_ret_3_R,CONFIRMED_SWING_HIGH,0.0836
pre_ret_12_R,CONFIRMED_SWING_HIGH,-0.0165
pre_rv_12_R,CONFIRMED_SWING_HIGH,0.2114
pre_range_12_R,CONFIRMED_SWING_HIGH,0.269
volume_z_20_pre,CONFIRMED_SWING_HIGH,-0.0188
penetration_depth_R,CONFIRMED_SWING_HIGH,0.3954
close_beyond_R,CONFIRMED_SWING_HIGH,0.0353
bar_range_R,CONFIRMED_SWING_HIGH,0.3382
abs_return_R,CONFIRMED_SWING_HIGH,0.2462
gap_R,CONFIRMED_SWING_HIGH,0.203
volume_z_t0,CONFIRMED_SWING_HIGH,0.3441
minute_from_session_open,CONFIRMED_SWING_HIGH,-0.0951
level_age_log1p,CONFIRMED_SWING_LOW,-0.1278
atr_rel_pre,CONFIRMED_SWING_LOW,0.1456
pre_ret_3_R,CONFIRMED_SWING_LOW,-0.1958
pre_ret_12_R,CONFIRMED_SWING_LOW,-0.1583
pre_rv_12_R,CONFIRMED_SWING_LOW,0.2353
pre_range_12_R,CONFIRMED_SWING_LOW,0.3017
volume_z_20_pre,CONFIRMED_SWING_LOW,0.1844
penetration_depth_R,CONFIRMED_SWING_LOW,0.2955
close_beyond_R,CONFIRMED_SWING_LOW,0.0699
bar_range_R,CONFIRMED_SWING_LOW,0.3072
abs_return_R,CONFIRMED_SWING_LOW,0.1835
gap_R,CONFIRMED_SWING_LOW,0.0603
volume_z_t0,CONFIRMED_SWING_LOW,0.2524
minute_from_session_open,CONFIRMED_SWING_LOW,0.0094
