wf,model,baseline_trades,post_veto_trades,baseline_tradeoff_share,post_veto_tradeoff_share,tradeoff_share_delta,clear_retention_rate,tradeoff_removal_rate,baseline_E_R,post_veto_E_R,delta_E_R,post_veto_target_hit_rate,post_veto_LONG_trades,post_veto_SHORT_trades,post_veto_trades_per_day,n_exit_on_or_after_oos
WF1,T0_LOGIT,614,614,0.184,0.184,0.0,1.0,0.0,-0.042,-0.042,0.0,0.5065,369,245,6.0196,0
WF1,T0_HGB,614,602,0.184,0.1827,0.0013,0.9814,0.0265,-0.042,-0.0303,0.0117,0.5116,362,240,5.902,0
WF2,T0_LOGIT,856,856,0.16,0.16,0.0,1.0,0.0,0.0253,0.0253,0.0,0.5666,434,422,8.3922,0
WF2,T0_HGB,856,856,0.16,0.16,0.0,1.0,0.0,0.0253,0.0253,0.0,0.5666,434,422,8.3922,0
WF3,T0_LOGIT,848,840,0.1792,0.1786,0.0007,0.9906,0.0132,-0.0376,-0.037,0.0006,0.5405,302,538,8.3168,0
WF3,T0_HGB,848,824,0.1792,0.1808,-0.0016,0.9703,0.0197,-0.0376,-0.0369,0.0007,0.54,297,527,8.1584,0
