wf,model,baseline_trades,post_veto_trades,baseline_tradeoff_share,post_veto_tradeoff_share,tradeoff_share_delta,clear_retention_rate,tradeoff_removal_rate,baseline_E_R,post_veto_E_R,delta_E_R,post_veto_target_hit_rate,post_veto_LONG_trades,post_veto_SHORT_trades,post_veto_trades_per_day,n_exit_on_or_after_oos
WF1,T1_HGB,614,608,0.184,0.1842,-0.0002,0.9918,0.0088,-0.042,-0.0432,-0.0012,0.5082,365,243,5.9608,0
WF2,T1_HGB,856,856,0.16,0.16,0.0,1.0,0.0,0.0253,0.0253,0.0,0.5666,434,422,8.3922,0
WF3,T1_HGB,848,838,0.1792,0.1802,-0.0009,0.9859,0.0066,-0.0376,-0.0388,-0.0011,0.5406,296,542,8.297,0
