wf,stage,model,n_cohort_oof,n_toxic_oof,toxic_base_rate,roc_auc,pr_auc,brier,logloss,n_cohort_fit,max_train_lav,test_start
WF1,A,T0_LOGIT,751,159,0.2117,0.6677,0.4042,0.1649,0.5147,1120,2025-06-09 13:45:00,2025-06-09 21:05:00
WF1,A,T0_HGB,751,159,0.2117,0.6553,0.3728,0.1689,0.5503,1120,2025-06-09 13:45:00,2025-06-09 21:05:00
WF2,A,T0_LOGIT,1446,305,0.2109,0.5772,0.265,0.1732,0.535,2659,2025-11-06 14:35:00,2025-11-06 21:05:00
WF2,A,T0_HGB,1446,305,0.2109,0.6224,0.2886,0.1716,0.5274,2659,2025-11-06 14:35:00,2025-11-06 21:05:00
WF3,A,T0_LOGIT,2498,631,0.2526,0.6684,0.4322,0.1753,0.5352,4006,2026-04-10 14:05:00,2026-04-10 21:05:00
WF3,A,T0_HGB,2498,631,0.2526,0.6504,0.4045,0.1818,0.5527,4006,2026-04-10 14:05:00,2026-04-10 21:05:00
WF1,B,T1_HGB,751,159,0.2117,0.619,0.3582,0.1774,0.5696,1120,2025-06-09 13:45:00,2025-06-09 21:05:00
WF2,B,T1_HGB,1446,305,0.2109,0.5964,0.2693,0.175,0.5375,2659,2025-11-06 14:35:00,2025-11-06 21:05:00
WF3,B,T1_HGB,2498,631,0.2526,0.6435,0.3804,0.1847,0.5595,4006,2026-04-10 14:05:00,2026-04-10 21:05:00
